fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1035.79,1039.28,1041.83,1033.54,16.08,-0.26
20180126,1038.48,1030.22,1040.45,1030.22,15.04,0.90
20180125,1029.22,1043.98,1043.98,1027.58,18.09,-1.49
20180124,1044.81,1050.54,1056.01,1044.51,15.07,-0.66
20180123,1051.70,1050.00,1056.09,1046.72,14.49,0.22
20180122,1049.41,1047.26,1051.34,1043.51,13.36,0.21
20180119,1047.24,1036.93,1050.03,1036.93,15.03,1.07
20180118,1036.12,1038.69,1044.99,1035.31,15.41,-0.19
20180117,1038.09,1028.57,1039.71,1027.05,14.01,0.49
20180116,1033.05,1028.53,1034.23,1025.83,14.85,0.48
20180115,1028.13,1029.65,1030.39,1026.83,10.71,-0.15
20180112,1029.65,1034.81,1035.92,1027.30,15.16,-0.67
20180111,1036.62,1045.76,1046.02,1032.97,19.29,-0.84
20180110,1045.40,1051.17,1051.95,1042.61,16.41,-0.47
20180109,1050.34,1048.31,1053.21,1047.67,14.91,0.25
20180108,1047.69,1040.76,1048.77,1040.76,14.97,0.78
20180105,1039.54,1031.65,1039.54,1031.38,11.20,0.83
20180104,1031.00,1031.28,1035.10,1027.90,13.08,-0.01
20180103,1031.09,1025.85,1032.22,1025.85,11.34,0.51
20180102,1025.85,1024.29,1029.38,1018.36,12.64,0.16
20171229,1024.22,1024.37,1029.11,1022.59,9.81,-0.04
20171228,1024.60,1027.43,1029.49,1021.79,7.07,-0.26
20171227,1027.22,1025.43,1033.90,1025.29,10.00,0.15
20171222,1025.68,1022.28,1026.39,1020.07,9.67,0.33
20171221,1022.29,1015.52,1024.32,1014.82,12.48,0.66
20171220,1015.61,1018.87,1022.16,1014.57,13.65,-0.25
20171219,1018.11,1020.75,1025.40,1018.07,14.98,-0.28
20171218,1020.97,1005.69,1022.30,1005.69,15.13,1.57
20171215,1005.16,1016.46,1016.46,1002.00,20.04,-1.17
20171214,1017.06,1014.71,1023.10,1013.06,18.58,0.23
20171213,1014.70,1017.58,1019.40,1012.69,4.97,-0.28
20171212,1017.58,1011.23,1017.94,1005.23,14.14,0.65
20171211,1011.01,1009.38,1014.60,1007.49,13.44,0.24
20171208,1008.54,998.13,1008.54,998.10,15.50,1.01
20171207,998.50,996.55,1004.81,994.50,16.52,0.16
20171206,996.91,986.25,1000.96,986.25,17.46,1.07
20171205,986.37,998.82,1002.57,985.60,15.42,-1.22
20171204,998.59,1008.41,1009.85,998.57,13.59,-0.58
20171201,1004.40,1005.61,1018.08,999.85,16.45,-0.14
20171130,1005.76,998.64,1007.08,996.78,27.45,0.71
20171129,998.64,1001.85,1008.89,996.75,15.90,-0.12
20171128,999.82,987.78,1000.53,980.97,17.15,1.22
20171127,987.78,995.39,995.39,987.72,12.17,-0.76
20171124,995.39,1000.50,1001.77,993.63,10.83,-0.51
20171123,1000.50,1004.29,1004.29,997.93,10.79,-0.39
20171122,1004.39,1005.10,1011.28,1003.63,15.91,-0.07
20171121,1005.10,1005.48,1005.71,999.05,16.00,-0.04
20171120,1005.48,1002.14,1007.49,995.53,13.52,0.33
20171117,1002.14,1003.72,1006.84,997.16,13.47,-0.16
20171116,1003.72,990.34,1004.46,990.34,15.09,1.39
20171115,989.92,990.34,990.56,981.45,16.55,-0.04
20171114,990.34,995.82,1000.25,986.27,15.89,-0.55
20171113,995.82,1005.15,1007.51,993.05,16.06,-0.93
20171110,1005.15,1006.24,1008.27,1002.51,17.48,-0.11
20171109,1006.24,1035.68,1037.18,1003.13,25.94,-2.84
20171108,1035.68,1030.44,1036.45,1029.62,17.63,0.51
20171107,1030.44,1039.85,1041.00,1030.44,17.08,-0.96
20171106,1040.47,1030.87,1042.94,1030.66,15.15,0.95
20171103,1030.69,1041.40,1043.71,1029.45,20.79,-1.03
20171102,1041.40,1051.83,1061.81,1039.00,21.93,-0.99
20171101,1051.83,1050.46,1054.42,1042.51,17.47,0.13
20171031,1050.46,1050.83,1053.51,1046.89,17.56,-0.04
20171030,1050.83,1045.40,1051.25,1043.64,13.35,0.52
20171027,1045.40,1036.28,1047.52,1036.28,15.78,0.95
20171026,1035.57,1036.87,1039.19,1030.65,17.98,-0.13
20171025,1036.87,1034.58,1043.03,1032.55,13.17,0.22
20171024,1034.58,1042.17,1042.88,1032.57,11.95,-0.73
20171023,1042.17,1041.31,1047.34,1040.80,9.73,0.08
20171020,1041.31,1039.64,1044.33,1039.49,12.18,0.19
20171019,1039.35,1043.42,1055.35,1036.62,15.89,-0.39
20171018,1043.42,1032.19,1046.45,1032.19,16.11,1.09
20171017,1032.19,1037.59,1039.34,1027.69,13.98,-0.52
20171016,1037.59,1025.68,1039.98,1023.25,15.60,1.15
20171013,1025.75,1040.40,1040.40,1023.75,18.00,-1.41
20171012,1040.40,1042.31,1046.66,1040.36,29.17,-0.22
20171011,1042.69,1035.84,1043.02,1035.84,12.38,0.66
20171010,1035.84,1036.88,1037.81,1030.60,13.95,-0.10
20171009,1036.88,1035.79,1038.02,1033.25,11.46,0.11
20171006,1035.79,1039.01,1043.70,1034.93,11.75,-0.31
20171005,1039.01,1040.50,1042.89,1036.15,13.94,-0.14
20171004,1040.50,1035.88,1040.56,1035.53,14.56,0.45
20171003,1035.88,1037.73,1039.59,1035.26,10.61,-0.18
20171002,1037.73,1024.14,1037.79,1024.14,12.73,1.33
20170929,1024.14,1028.40,1029.03,1023.04,13.43,-0.39
