fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,4064.34,4057.93,4078.99,4056.59,46.48,0.37
20180126,4049.48,4027.40,4059.87,4010.02,42.84,0.57
20180125,4026.42,4077.03,4077.03,4021.16,48.83,-1.26
20180124,4077.67,4114.95,4119.89,4073.32,38.86,-0.89
20180123,4114.49,4120.65,4129.43,4091.97,36.11,0.04
20180122,4112.94,4093.07,4126.66,4093.07,37.93,0.54
20180119,4090.90,4054.48,4102.43,4054.38,40.72,0.88
20180118,4055.10,4039.24,4058.34,4038.24,50.02,0.43
20180117,4037.83,4028.83,4058.41,4015.91,40.29,0.22
20180116,4029.02,4024.25,4053.88,4024.25,36.94,0.13
20180115,4023.69,4036.65,4041.47,4020.61,30.71,-0.32
20180112,4036.65,4026.15,4038.29,4011.75,45.14,0.32
20180111,4023.69,4033.99,4042.60,4017.48,37.18,-0.24
20180110,4033.17,4051.99,4051.99,4022.74,40.54,-0.51
20180109,4053.87,4029.42,4057.29,4025.29,35.00,0.59
20180108,4030.28,4018.84,4040.30,4018.84,30.38,0.30
20180105,4018.41,3992.52,4018.46,3991.11,38.07,0.59
20180104,3994.84,3967.24,4002.39,3967.24,40.47,0.78
20180103,3963.76,3931.17,3970.54,3931.17,41.11,0.85
20180102,3930.17,3919.61,3932.65,3905.44,41.37,0.31
20171229,3917.97,3929.57,3937.55,3909.21,30.73,-0.30
20171228,3929.72,3947.77,3947.77,3925.59,29.09,-0.46
20171227,3947.85,3942.54,3949.52,3924.18,31.10,0.14
20171222,3942.27,3944.82,3951.63,3932.22,33.45,-0.07
20171221,3945.00,3920.43,3950.46,3910.32,48.49,0.63
20171220,3920.41,3944.69,3945.69,3917.23,37.98,-0.62
20171219,3944.67,3944.15,3962.04,3937.16,36.23,-0.01
20171218,3944.90,3906.71,3948.15,3906.71,39.82,1.06
20171215,3903.50,3899.07,3904.01,3878.64,67.30,0.10
20171214,3899.57,3922.96,3929.64,3756.82,45.49,-0.64
20171213,3924.65,3899.65,3924.65,3899.65,16.69,0.64
20171212,3899.65,3893.49,3899.65,3860.99,45.64,0.16
20171211,3893.60,3889.30,3899.68,3874.82,41.30,0.12
20171208,3888.94,3868.79,3899.73,3868.79,43.64,0.64
20171207,3864.18,3884.81,3895.65,3863.04,54.28,-0.61
20171205,3887.73,3889.62,3913.21,3877.51,39.12,-0.11
20171204,3892.01,3879.23,3911.55,3879.23,53.84,0.44
20171201,3874.82,3914.33,3915.10,3872.44,43.25,-1.01
20171130,3914.40,3924.15,3935.57,3911.87,68.21,-0.63
20171129,3939.09,3921.08,3958.99,3921.08,29.76,0.59
20171128,3915.81,3901.54,3918.14,3899.26,35.11,0.37
20171127,3901.54,3942.38,3942.38,3901.26,31.79,-1.04
20171124,3942.38,3941.88,3955.58,3931.92,28.07,0.02
20171123,3941.49,3951.20,3951.20,3916.57,26.45,-0.25
20171122,3951.21,3967.63,3984.61,3951.21,33.86,-0.41
20171121,3967.63,3963.76,3984.29,3935.89,45.01,0.10
20171120,3963.76,3935.72,3972.07,3924.04,39.79,0.71
20171117,3935.72,3949.04,3962.33,3928.99,41.00,-0.34
20171116,3949.04,3918.33,3959.04,3918.33,38.96,0.86
20171115,3915.26,3929.04,3929.04,3883.70,43.63,-0.35
20171114,3929.04,3950.72,3967.79,3920.91,42.10,-0.55
20171113,3950.72,3969.43,3980.10,3926.76,36.08,-0.47
20171110,3969.43,3981.18,3993.58,3969.43,36.23,-0.30
20171109,3981.18,4042.68,4042.68,3974.91,42.70,-1.52
20171108,4042.68,4047.35,4071.97,4021.07,44.86,-0.12
20171107,4047.35,4076.38,4080.46,4043.70,54.70,-0.67
20171106,4074.78,4059.44,4082.61,4056.58,45.97,0.33
20171103,4061.38,4049.38,4069.34,4043.36,33.95,0.30
20171102,4049.38,4051.33,4063.94,4037.29,44.45,-0.04
20171101,4051.14,4026.98,4070.64,4026.86,49.73,0.60
20171031,4026.98,4044.41,4045.83,4026.98,54.49,-0.43
20171030,4044.41,4078.91,4085.53,4036.08,52.08,-0.85
20171027,4078.91,4034.56,4085.81,4020.92,91.49,1.11
20171026,4034.02,4100.13,4107.80,4014.96,156.47,-1.61
20171025,4100.13,4123.22,4123.22,4086.69,36.71,-0.56
20171024,4123.22,4124.15,4144.44,4107.01,34.10,-0.02
20171023,4124.15,4090.51,4124.67,4081.21,37.42,0.82
20171020,4090.51,4053.32,4093.15,4053.32,48.52,0.93
20171019,4052.96,4053.00,4061.51,4024.50,32.37,-0.00
20171018,4053.00,4049.12,4065.81,4040.17,29.10,0.10
20171017,4049.12,4048.70,4054.91,4041.10,26.01,0.01
20171016,4048.70,4048.17,4054.39,4044.37,23.06,0.01
20171013,4048.17,4043.23,4052.88,4033.38,30.98,0.12
20171012,4043.23,4040.55,4054.46,4033.50,35.69,0.08
20171011,4039.83,4046.32,4053.80,4033.00,31.05,-0.16
20171010,4046.32,4051.41,4052.85,4034.18,29.79,-0.13
20171009,4051.41,4028.09,4053.90,4022.54,26.80,0.58
20171006,4028.09,4042.77,4053.34,4024.57,28.41,-0.36
20171005,4042.77,4028.13,4045.11,4026.24,30.64,0.36
20171004,4028.13,4026.43,4035.14,4016.98,31.73,0.04
20171003,4026.43,3995.05,4026.59,3995.05,25.49,0.79
20171002,3995.05,3976.23,3999.65,3975.95,28.64,0.47
20170929,3976.23,3979.38,3979.38,3945.99,45.45,-0.08
20170928,3979.38,3944.60,3979.38,3944.60,32.24,0.88
20170927,3944.71,3941.09,3953.82,3936.38,35.07,0.09
20170926,3941.09,3938.09,3951.59,3929.73,29.68,0.08
20170925,3938.09,3945.88,3945.98,3931.86,32.94,-0.20
20170922,3945.88,3954.27,3954.27,3929.10,39.16,-0.25
20170921,3955.60,3953.26,3964.53,3942.94,35.21,0.07
20170920,3952.86,3950.90,3968.52,3948.85,35.82,0.05
20170919,3950.90,3946.26,3961.31,3943.85,31.55,0.12
20170918,3946.26,3918.44,3952.57,3918.44,34.21,0.71
20170915,3918.44,3923.12,3934.14,3913.16,71.14,-0.12
20170914,3923.12,3943.84,3943.84,3915.32,37.03,-0.53
20170913,3943.84,3956.71,3956.71,3933.33,36.26,-0.33
20170912,3956.71,3925.42,3965.59,3925.42,39.48,0.80
20170911,3925.42,3883.26,3931.24,3883.26,39.67,1.09
20170908,3883.26,3888.95,3888.95,3866.32,56.59,-0.15
20170907,3888.95,3879.78,3896.07,3870.85,40.34,0.24
20170906,3879.78,3868.94,3885.92,3854.05,33.71,0.28
20170905,3868.94,3886.05,3913.15,3868.68,29.45,-0.44
20170904,3886.05,3903.34,3903.34,3869.64,24.89,-0.44
20170901,3903.34,3883.81,3919.19,3883.81,32.20,0.50
20170831,3883.81,3852.24,3889.51,3852.24,40.39,0.82
20170830,3852.24,3811.96,3855.35,3811.96,32.09,1.06
20170829,3811.96,3850.17,3850.17,3794.87,41.44,-0.99
20170828,3850.17,3889.43,3889.43,3847.56,24.42,-1.06
20170825,3891.36,3884.81,3910.91,3880.44,26.27,0.17
20170824,3884.81,3891.90,3901.52,3884.67,26.06,-0.18
20170823,3891.90,3895.53,3907.93,3889.00,25.96,-0.09
20170822,3895.53,3859.97,3895.53,3859.97,24.14,0.92
20170821,3859.97,3872.17,3879.82,3850.29,28.99,-0.32
20170818,3872.17,3907.40,3907.40,3863.92,38.38,-0.90
20170817,3907.40,3912.56,3927.13,3895.39,35.01,-0.13
20170816,3912.56,3880.08,3918.64,3880.08,27.11,0.84
20170815,3880.08,3887.16,3899.45,3874.42,21.33,-0.18
20170814,3887.16,3842.77,3889.65,3842.77,26.11,1.16
20170811,3842.77,3867.91,3867.91,3813.95,33.93,-0.65
20170810,3867.91,3901.19,3903.36,3863.32,29.69,-0.85
20170809,3901.19,3929.74,3929.74,3875.62,35.84,-0.73
20170808,3929.74,3918.63,3931.68,3910.03,28.33,0.28
20170807,3918.63,3919.86,3933.77,3916.68,23.58,-0.03
20170804,3919.86,3889.08,3927.07,3877.84,34.46,0.79
20170803,3889.10,3885.97,3899.33,3857.46,32.16,0.08
20170802,3885.90,3892.42,3910.41,3883.65,32.84,-0.17
20170801,3892.42,3872.95,3897.29,3865.95,42.11,0.50
20170731,3872.95,3888.81,3891.25,3872.95,45.52,-0.39
20170728,3888.20,3928.66,3928.73,3882.61,45.47,-1.03
20170727,3928.66,3914.72,3958.76,3913.65,64.43,0.34
20170726,3915.22,3873.19,3921.92,3872.86,39.64,1.09
20170725,3873.19,3928.10,3928.19,3851.49,65.81,-1.51
20170724,3932.61,3968.20,3976.28,3930.66,36.17,-0.90
20170721,3968.20,4017.47,4017.47,3953.78,45.74,-1.30
20170720,4020.49,4035.59,4061.08,4007.22,49.52,-0.32
20170719,4033.51,4062.20,4079.74,4024.47,36.06,-0.70
20170718,4062.14,4110.16,4110.82,4054.25,52.73,-1.17
20170717,4110.16,4094.13,4116.61,4085.71,28.00,0.40
20170714,4093.69,4089.91,4103.83,4078.74,31.41,0.16
20170713,4087.30,4080.02,4110.85,4074.17,41.75,0.16
20170712,4080.84,4005.08,4081.20,4005.08,37.25,1.89
20170711,4005.08,4024.01,4035.44,4004.64,29.09,-0.47
20170710,4024.01,3996.48,4024.01,3996.48,24.86,0.69
20170707,3996.48,3985.44,3996.48,3963.78,26.46,0.28
20170706,3985.44,4005.61,4013.91,3957.85,36.93,-0.50
20170705,4005.61,3987.12,4021.57,3978.10,33.48,0.45
20170704,3987.68,3998.95,3998.95,3971.16,21.41,-0.28
20170703,3998.95,3940.76,3998.95,3940.76,32.03,1.48
20170630,3940.76,3942.56,3968.12,3928.86,42.88,-0.05
20170629,3942.56,4014.78,4040.94,3936.17,45.02,-1.80
20170628,4014.69,4011.65,4018.59,3974.98,39.70,0.08
20170627,4011.65,4058.99,4058.99,4004.83,41.19,-1.17
20170626,4058.99,4058.50,4074.24,4045.25,37.39,-0.04
20170622,4060.80,4082.61,4082.61,4046.66,33.69,-0.55
20170621,4083.06,4110.10,4110.10,4071.19,39.63,-0.68
20170620,4110.82,4139.85,4149.71,4110.82,39.02,-0.70
20170619,4139.81,4085.27,4141.52,4085.27,36.52,1.39
20170616,4083.22,4034.91,4083.56,4034.65,77.58,1.20
20170615,4034.70,4068.67,4068.67,4018.88,48.13,-0.83
20170614,4068.61,4077.36,4104.34,4068.61,43.21,-0.26
20170613,4079.09,4035.85,4083.49,4035.80,37.08,1.07
20170612,4035.85,4079.24,4079.24,4022.70,42.12,-1.00
20170609,4076.71,4036.91,4078.60,4036.91,30.81,0.99
20170608,4036.91,4054.19,4069.05,4031.26,29.82,-0.43
20170607,4054.19,4030.72,4073.08,4029.47,33.37,0.58
20170606,4030.71,4037.14,4039.07,4019.48,32.39,-0.17
20170605,4037.56,4058.96,4069.14,4030.58,21.91,-0.54
20170602,4059.59,4041.27,4074.00,4041.27,36.27,0.47
20170601,4040.44,3996.41,4045.63,3994.14,47.94,1.09
20170531,3996.96,4021.48,4023.78,3994.98,50.02,-0.60
20170530,4020.92,4030.91,4030.91,4000.53,31.65,-0.26
20170529,4031.55,4037.78,4037.78,4020.03,17.57,-0.15
20170526,4037.78,4033.78,4047.59,4015.98,37.38,0.09
20170524,4034.28,4024.45,4036.12,4014.47,45.73,0.24
20170523,4024.45,3976.13,4025.94,3976.04,66.09,1.22
20170522,3976.13,3974.19,3994.62,3966.40,37.22,0.07
20170519,3973.26,3921.82,3976.97,3921.82,29.74,1.31
20170518,3921.74,3934.53,3938.97,3886.64,50.71,-0.48
20170517,3940.55,4010.94,4010.94,3936.23,39.56,-1.78
20170516,4011.87,4002.51,4019.46,3983.50,36.69,0.23
20170515,4002.51,3989.42,4003.93,3983.75,29.60,0.37
20170512,3987.77,3999.42,4002.83,3974.71,36.03,-0.28
20170511,3999.14,4006.29,4019.07,3985.57,46.95,-0.23
20170510,4008.20,4008.06,4014.11,3984.42,38.82,0.01
20170509,4007.95,3989.00,4016.56,3988.53,39.60,0.46
20170508,3989.47,4013.54,4023.94,3972.30,37.64,-0.49
20170505,4008.97,3980.50,4008.97,3968.44,43.48,0.70
20170504,3981.20,3955.32,3982.13,3951.57,49.36,0.63
20170503,3956.36,3967.25,3967.25,3929.21,43.42,-0.47
20170502,3975.24,3930.04,3975.28,3930.04,52.40,1.15
20170428,3930.03,3952.14,3961.13,3928.70,61.08,-0.51
20170427,3950.32,3959.01,4006.50,3943.14,88.62,-0.12
20170426,3954.99,3931.30,3957.14,3921.96,47.69,0.61
20170425,3930.87,3889.67,3935.94,3889.67,44.03,1.06
20170424,3889.67,3806.53,3890.99,3806.53,58.05,2.30
20170421,3802.27,3815.64,3823.84,3800.01,42.57,-0.37
20170420,3816.37,3774.96,3817.47,3774.36,43.74,1.11
20170419,3774.65,3779.10,3794.16,3770.78,31.14,-0.14
20170418,3779.76,3814.59,3829.70,3778.35,36.57,-0.88
20170413,3813.42,3811.14,3817.12,3785.62,25.64,0.04
20170412,3811.96,3779.33,3811.96,3779.33,31.21,0.86
20170411,3779.57,3791.29,3793.84,3766.26,36.28,-0.48
20170410,3797.77,3787.53,3797.77,3781.13,28.90,0.29
20170407,3786.83,3780.00,3787.30,3757.34,35.24,0.18
20170406,3779.97,3760.87,3780.17,3729.63,37.04,0.49
20170405,3761.72,3792.32,3799.23,3761.62,44.06,-0.72
20170404,3789.10,3782.24,3797.99,3773.39,37.08,0.22
20170403,3780.87,3792.40,3804.49,3779.88,30.91,-0.22
20170331,3789.14,3777.90,3789.19,3762.72,39.22,0.29
20170330,3778.10,3776.75,3778.10,3750.50,29.28,0.04
20170329,3776.42,3769.48,3780.81,3757.96,27.24,0.22
20170328,3768.03,3760.56,3769.34,3746.58,32.31,0.24
20170327,3759.15,3772.93,3772.93,3725.94,33.88,-0.37
20170324,3772.93,3788.66,3788.66,3757.86,27.92,-0.39
20170323,3787.83,3757.09,3788.00,3739.49,34.21,0.83
20170322,3756.47,3772.19,3772.19,3711.00,46.55,-0.42
20170321,3772.38,3825.43,3834.51,3770.64,43.41,-1.39
20170320,3825.51,3814.50,3832.57,3810.10,32.14,0.29
20170317,3814.30,3802.69,3814.30,3779.60,58.51,0.22
20170316,3805.84,3787.48,3817.87,3787.48,39.88,0.68
20170315,3780.25,3756.48,3780.25,3756.48,36.39,0.64
20170314,3756.25,3757.15,3762.15,3744.01,33.29,-0.00
20170313,3756.33,3750.78,3758.99,3741.75,28.44,0.16
20170310,3750.47,3751.17,3773.35,3750.39,32.14,-0.01
20170309,3751.00,3754.36,3754.95,3729.42,37.91,-0.10
20170308,3754.61,3760.58,3768.06,3749.64,32.16,-0.16
