fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1368.94,1366.43,1370.45,1354.41,90.89,-0.39
20180126,1374.30,1386.55,1388.09,1371.34,131.04,-0.88
20180125,1386.55,1382.32,1389.87,1382.32,157.24,0.31
20180124,1382.32,1384.11,1384.28,1375.88,113.38,-0.13
20180123,1384.11,1377.63,1385.90,1377.63,409.12,0.47
20180122,1377.63,1371.80,1379.77,1371.80,78.90,0.42
20180119,1371.80,1369.93,1373.79,1359.03,131.76,0.14
20180118,1369.93,1358.82,1371.35,1358.82,274.94,0.82
20180117,1358.82,1336.20,1361.83,1336.20,217.86,1.69
20180116,1336.20,1338.30,1342.35,1330.61,84.33,-0.16
20180115,1338.30,1342.23,1343.26,1338.30,11.96,-0.29
20180112,1342.23,1338.71,1344.98,1336.06,78.33,0.26
20180111,1338.71,1331.72,1340.44,1331.72,170.06,0.52
20180110,1331.72,1316.54,1331.94,1316.54,151.96,1.15
20180109,1316.54,1303.34,1317.02,1302.65,109.85,1.01
20180108,1303.34,1299.54,1308.81,1299.54,85.99,0.29
20180105,1299.54,1283.41,1302.98,1283.41,128.15,1.26
20180104,1283.41,1279.49,1283.41,1277.75,53.60,0.31
20180103,1279.49,1289.42,1289.42,1279.01,85.38,-0.77
20180102,1289.42,1289.95,1290.20,1285.95,20.27,-0.04
20171229,1289.95,1286.76,1289.95,1285.75,30.74,0.25
20171228,1286.76,1290.57,1290.57,1284.93,34.97,-0.30
20171227,1290.57,1297.92,1297.92,1290.00,139.67,-0.57
20171222,1297.92,1271.83,1297.92,1270.21,139.60,2.05
20171221,1271.83,1271.44,1274.53,1269.31,69.20,0.03
20171220,1271.44,1275.50,1276.21,1266.92,84.30,-0.32
20171219,1275.50,1260.00,1277.77,1260.00,165.91,1.23
20171218,1260.00,1266.99,1266.99,1252.88,115.50,-0.55
20171215,1266.99,1269.60,1273.81,1266.87,58.54,-0.21
20171214,1269.60,1272.91,1276.53,1269.60,98.99,-0.26
20171213,1272.91,1283.15,1283.15,1154.13,141.88,-0.80
20171212,1283.15,1280.40,1283.97,1278.31,94.18,0.21
20171211,1280.40,1284.28,1284.28,1277.15,103.05,-0.30
20171208,1284.28,1286.88,1288.69,1284.28,224.86,-0.20
20171207,1286.88,1288.12,1290.25,1286.88,129.80,-0.10
20171206,1288.12,1293.31,1295.84,1286.25,95.89,-0.40
20171205,1293.31,1294.93,1296.17,1291.84,205.52,-0.13
20171204,1294.93,1286.92,1296.17,1286.92,212.44,0.62
20171201,1286.92,1295.82,1297.48,1286.92,118.37,-0.69
20171130,1295.82,1316.13,1316.13,1294.14,79.13,-1.54
20171129,1316.13,1309.90,1315.22,1306.95,69.78,0.48
20171128,1309.90,1301.19,1313.46,1299.04,70.96,0.67
20171127,1301.19,1307.62,1308.04,1300.91,90.86,-0.49
20171124,1307.62,1310.76,1311.58,1307.62,33.82,-0.24
20171123,1310.76,1320.80,1320.80,1302.77,104.27,-0.76
20171122,1320.80,1312.68,1320.80,1302.17,77.20,0.62
20171121,1312.68,1319.73,1319.91,1310.96,56.20,-0.53
20171120,1319.73,1328.18,1330.59,1319.28,133.60,-0.64
20171117,1328.18,1328.08,1336.62,1327.17,146.22,0.01
20171116,1328.08,1327.35,1331.49,1322.02,64.27,0.05
