fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1610.43,1613.25,1620.44,1608.53,102.88,-0.14
20180126,1612.63,1606.61,1614.60,1601.73,131.19,0.51
20180125,1604.49,1630.00,1630.00,1600.89,155.41,-1.64
20180124,1631.20,1644.24,1645.06,1629.98,84.28,-0.76
20180123,1643.71,1636.77,1647.69,1636.77,89.62,0.50
20180122,1635.47,1631.15,1639.05,1628.70,80.62,0.30
20180119,1630.62,1624.12,1631.63,1623.63,89.10,0.36
20180118,1624.78,1623.18,1630.54,1619.88,95.07,0.12
20180117,1622.85,1623.05,1629.67,1614.46,99.79,-0.03
20180116,1623.33,1626.80,1630.01,1620.46,80.64,-0.24
20180115,1627.29,1628.40,1630.22,1622.93,80.84,-0.07
20180112,1628.40,1630.99,1634.58,1621.24,85.39,-0.12
20180111,1630.29,1629.75,1632.90,1620.52,97.59,0.06
20180110,1629.29,1631.78,1631.91,1621.85,117.07,-0.18
20180109,1632.29,1618.90,1633.96,1618.90,111.11,0.81
20180108,1619.13,1612.98,1622.41,1612.98,98.83,0.49
20180105,1611.31,1604.08,1611.31,1604.08,52.90,0.48
20180104,1603.67,1587.88,1606.71,1587.88,101.59,1.01
20180103,1587.56,1580.21,1591.10,1577.61,88.73,0.49
20180102,1579.82,1577.08,1583.38,1573.76,87.19,0.18
20171229,1576.94,1588.56,1591.58,1573.56,76.56,-0.73
20171228,1588.51,1594.95,1594.95,1584.25,62.24,-0.41
20171227,1594.99,1606.36,1613.76,1589.78,72.25,-0.70
20171222,1606.25,1615.97,1616.22,1602.11,66.28,-0.62
20171221,1616.27,1599.99,1616.98,1593.26,77.32,1.00
20171220,1600.29,1611.87,1613.69,1597.42,102.86,-0.69
20171219,1611.43,1615.48,1620.57,1610.62,98.75,-0.26
20171218,1615.63,1593.71,1616.26,1593.71,133.72,1.33
20171215,1594.35,1609.39,1610.59,1585.79,158.81,-0.95
20171214,1609.60,1618.01,1622.08,1609.60,99.20,-0.63
20171213,1619.82,1623.75,1624.32,1584.53,96.50,-0.24
20171212,1623.75,1620.79,1625.05,1612.97,89.62,0.26
20171211,1619.47,1610.93,1627.94,1610.93,106.45,0.54
20171208,1610.82,1599.57,1621.38,1599.57,107.84,0.72
20171207,1599.29,1596.28,1606.94,1594.77,84.70,0.24
20171206,1595.44,1609.21,1609.21,1591.25,81.10,-1.11
20171205,1613.36,1616.62,1620.45,1607.03,81.66,-0.21
20171204,1616.80,1595.59,1624.05,1595.59,96.64,1.55
20171201,1592.20,1609.26,1611.07,1592.20,88.06,-1.11
20171130,1610.11,1613.56,1624.47,1609.10,135.43,-0.21
20171129,1613.56,1621.08,1628.77,1613.56,61.26,-0.45
20171128,1620.81,1608.74,1622.11,1608.31,94.51,0.75
20171127,1608.74,1614.62,1618.85,1607.15,78.66,-0.36
20171124,1614.62,1612.57,1620.26,1606.60,72.83,0.13
20171123,1612.57,1616.64,1616.79,1607.64,117.17,-0.31
20171122,1617.52,1636.65,1637.99,1617.52,81.01,-1.17
20171121,1636.65,1623.54,1639.92,1618.65,98.83,0.81
20171120,1623.54,1617.70,1626.02,1607.77,77.47,0.36
20171117,1617.70,1633.66,1633.94,1613.90,111.26,-0.98
20171116,1633.66,1627.16,1636.96,1624.89,79.72,0.41
20171115,1627.00,1628.48,1628.48,1612.49,102.72,-0.09
20171114,1628.48,1630.51,1635.55,1623.09,80.21,-0.12
20171113,1630.51,1634.68,1634.88,1618.46,89.47,-0.26
20171110,1634.68,1643.26,1646.15,1634.22,82.60,-0.52
20171109,1643.26,1662.99,1662.99,1641.19,98.99,-1.19
20171108,1662.99,1670.24,1672.76,1657.13,119.92,-0.43
20171107,1670.24,1676.27,1681.67,1669.98,89.24,-0.35
20171106,1676.14,1677.36,1681.75,1671.60,101.04,-0.09
20171103,1677.65,1672.78,1678.45,1672.78,46.53,0.29
20171102,1672.78,1672.03,1674.77,1665.42,87.58,0.04
20171101,1672.03,1671.63,1681.13,1671.32,145.31,0.02
20171031,1671.63,1662.32,1675.61,1662.32,114.45,0.56
20171030,1662.32,1665.02,1667.26,1659.45,100.17,-0.16
20171027,1665.02,1659.04,1666.07,1658.79,129.69,0.38
20171026,1658.79,1649.74,1659.65,1641.28,190.59,0.55
20171025,1649.74,1650.46,1657.42,1642.19,113.96,-0.04
20171024,1650.46,1661.54,1661.54,1644.73,132.13,-0.67
20171023,1661.54,1667.51,1669.42,1660.80,115.60,-0.36
20171020,1667.51,1646.96,1671.41,1646.68,155.29,1.25
20171019,1646.96,1644.73,1647.32,1635.46,116.70,0.14
20171018,1644.73,1636.94,1648.70,1634.21,102.06,0.48
20171017,1636.94,1638.33,1641.30,1636.09,91.86,-0.08
20171016,1638.33,1642.49,1644.19,1637.37,84.57,-0.25
20171013,1642.49,1644.65,1644.85,1638.62,95.58,-0.13
20171012,1644.65,1642.29,1649.42,1637.80,71.36,0.18
20171011,1641.70,1644.34,1647.22,1638.22,75.85,-0.16
20171010,1644.34,1647.92,1651.13,1642.21,78.11,-0.22
20171009,1647.92,1646.28,1653.76,1646.28,78.35,0.10
20171006,1646.28,1653.15,1655.17,1643.20,75.92,-0.42
20171005,1653.15,1651.09,1655.97,1646.33,96.18,0.12
20171004,1651.09,1649.18,1651.73,1645.57,89.80,0.12
20171003,1649.18,1640.65,1650.46,1640.65,87.81,0.52
20171002,1640.65,1637.82,1641.65,1634.69,85.37,0.17
