fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,820.33,823.18,827.12,819.41,71.81,-0.34
20180126,823.12,828.67,829.05,823.12,73.44,-0.67
20180125,828.67,836.71,837.05,827.04,83.28,-0.96
20180124,836.70,839.48,840.75,835.69,105.56,-0.33
20180123,839.47,840.16,843.49,837.67,106.95,-0.08
20180122,840.13,835.31,840.14,834.89,103.26,0.57
20180119,835.33,832.76,836.66,829.49,76.94,0.32
20180118,832.67,834.99,836.08,831.92,75.74,-0.29
20180117,835.05,839.88,839.89,833.10,93.44,-0.58
20180116,839.88,839.82,842.62,837.73,79.65,0.01
20180115,839.79,839.78,843.39,837.33,79.04,0.00
20180112,839.78,839.04,840.38,835.35,85.21,0.09
20180111,839.04,840.22,841.65,835.68,81.02,-0.14
20180110,840.22,840.64,841.63,836.37,78.04,-0.05
20180109,840.64,834.76,843.74,834.51,94.92,0.71
20180108,834.73,833.42,836.07,831.22,97.28,0.25
20180105,832.67,825.90,832.69,825.58,126.79,0.82
20180104,825.90,817.60,825.91,817.60,116.91,1.02
20180103,817.59,815.23,819.10,815.23,120.82,0.29
20180102,815.22,814.51,819.15,812.05,110.18,0.09
20171229,814.45,818.05,819.66,814.44,45.74,-0.44
20171228,818.03,814.96,818.87,812.66,52.32,0.37
20171227,815.01,806.67,815.01,806.67,75.11,1.03
20171222,806.68,807.93,810.93,806.35,78.04,-0.15
20171221,807.93,799.15,807.93,799.06,171.86,1.10
20171220,799.13,800.32,801.67,798.21,149.19,-0.15
20171219,800.35,799.22,803.94,798.74,117.74,0.14
20171218,799.22,790.76,799.28,790.75,110.54,1.07
20171215,790.76,795.53,797.67,789.94,71.98,-0.60
20171214,795.50,798.14,798.14,793.21,94.28,-0.33
20171213,798.13,800.93,801.67,798.13,72.94,-0.35
20171212,800.93,791.88,800.96,791.87,72.12,1.14
20171211,791.88,786.69,792.01,784.87,70.09,0.66
20171208,786.69,782.59,787.90,782.59,80.36,0.52
20171207,782.59,786.31,787.83,781.73,85.31,-0.47
20171206,786.30,792.07,792.13,784.34,61.90,-0.73
20171205,792.07,800.41,800.41,791.33,74.78,-1.04
20171204,800.37,798.73,803.25,798.67,54.14,0.25
20171201,798.41,796.78,798.65,791.25,93.23,0.20
20171130,796.83,797.19,798.66,789.29,64.85,-0.04
20171129,797.18,795.03,799.39,794.96,56.66,0.25
20171128,795.19,792.93,795.46,790.91,54.31,0.29
20171127,792.93,800.32,801.32,792.91,66.71,-0.92
20171124,800.32,803.92,804.37,799.31,50.71,-0.45
20171123,803.95,807.06,807.17,801.20,86.09,-0.39
20171122,807.07,808.46,808.86,803.81,70.93,-0.17
20171121,808.46,800.22,808.48,799.58,55.80,1.03
20171120,800.22,795.98,800.35,793.79,45.59,0.51
20171117,796.14,802.22,803.60,794.77,59.94,-0.76
20171116,802.20,795.12,802.24,795.08,59.53,0.90
20171115,795.02,801.73,801.76,793.64,76.47,-0.85
20171114,801.85,805.92,805.92,800.86,70.23,-0.51
20171113,805.95,808.20,810.00,801.23,58.78,-0.28
20171110,808.20,811.21,812.97,807.29,79.58,-0.37
20171109,811.19,822.13,822.19,808.93,106.62,-1.34
20171108,822.17,819.40,822.17,817.03,89.55,0.34
20171107,819.40,818.00,821.45,818.00,94.36,0.19
20171106,817.85,820.62,820.62,815.20,94.65,0.25
20171103,815.85,809.01,816.20,808.94,67.43,0.84
20171102,809.02,815.43,815.51,807.00,106.38,-0.78
20171101,815.41,807.09,816.26,807.08,144.77,1.05
20171031,806.95,809.85,810.55,806.57,184.39,-0.36
20171030,809.85,801.53,809.86,799.62,163.38,1.04
20171027,801.53,795.47,802.51,795.47,77.70,0.76
20171026,795.49,798.10,799.56,791.20,66.60,-0.33
20171025,798.10,790.88,799.25,790.21,97.69,0.91
20171024,790.87,791.83,792.63,789.06,101.23,-0.12
20171023,791.83,794.90,795.35,791.83,101.06,-0.38
20171020,794.88,787.70,794.97,787.59,75.15,0.94
20171019,787.46,788.08,792.62,785.81,95.24,-0.08
20171018,788.08,788.71,789.62,786.28,80.73,-0.07
20171017,788.67,790.94,791.97,786.75,82.38,-0.28
20171016,790.87,792.40,793.76,790.87,89.17,-0.20
20171013,792.44,790.39,792.98,788.37,61.68,0.26
20171012,790.39,788.30,791.27,785.83,53.32,0.25
20171011,788.38,788.09,789.76,785.63,74.56,0.04
20171010,788.03,785.80,789.70,784.08,57.46,0.28
20171009,785.80,784.91,787.40,783.81,97.88,0.13
20171006,784.79,789.22,790.60,783.55,73.66,-0.56
20171005,789.24,784.08,789.92,782.96,60.13,0.67
20171004,783.95,788.82,789.07,783.55,68.25,-0.62
20171003,788.82,784.71,789.43,784.71,74.55,0.52
20171002,784.71,783.06,787.54,782.58,78.86,0.21
20170929,783.09,782.59,783.86,777.78,65.82,0.06
20170928,782.60,778.98,782.90,778.29,73.36,0.46
20170927,778.98,774.26,779.16,774.26,64.43,0.65
20170926,773.96,777.96,778.97,772.95,88.15,-0.51
20170925,777.92,773.22,778.37,772.00,65.14,0.61
20170922,773.22,771.91,773.75,769.10,70.53,0.17
20170921,771.91,765.38,771.91,765.22,122.83,0.85
20170920,765.38,763.53,765.73,762.87,93.45,0.24
20170919,763.53,762.47,763.65,760.32,87.41,0.14
20170918,762.49,758.93,764.89,758.93,81.48,0.48
20170915,758.88,762.69,762.69,758.78,76.47,-0.50
20170914,762.71,761.47,763.47,759.51,109.19,0.17
20170913,761.44,756.34,761.92,755.08,110.50,0.67
20170912,756.34,751.69,756.57,751.62,115.54,0.62
20170911,751.68,745.38,751.77,745.28,65.70,0.84
20170908,745.42,747.41,748.40,743.97,92.74,-0.26
20170907,747.40,745.65,749.69,745.32,89.64,0.27
20170906,745.41,748.80,748.80,742.41,138.27,-0.45
20170905,748.81,745.87,749.73,744.58,108.49,0.39
20170904,745.87,747.19,747.19,742.44,54.91,-0.19
20170901,747.27,740.20,747.27,739.64,101.78,1.00
20170831,739.87,729.95,740.27,729.36,75.70,1.34
20170830,730.06,723.18,730.38,723.17,88.18,0.95
20170829,723.18,728.60,728.60,718.03,79.20,-0.74
20170828,728.60,730.43,730.45,727.06,63.49,-0.25
20170825,730.42,730.64,732.32,728.04,98.05,-0.01
20170824,730.50,729.17,731.53,725.36,102.49,0.18
20170823,729.16,730.54,731.78,728.23,61.66,-0.19
20170822,730.54,725.66,730.61,725.58,45.78,0.66
20170821,725.72,726.50,731.70,724.71,49.56,-0.10
20170818,726.46,726.43,727.23,723.05,53.12,-0.03
20170817,726.71,736.46,736.49,726.71,68.31,-1.33
20170816,736.47,730.53,736.86,730.53,99.20,0.81
20170815,730.54,735.77,735.96,729.62,94.33,-0.71
20170814,735.75,727.80,736.15,727.80,129.01,1.09
20170811,727.80,735.75,735.76,725.40,64.88,-1.08
20170810,735.76,741.65,741.65,735.58,48.39,-0.78
20170809,741.54,742.27,744.36,738.52,60.89,-0.13
20170808,742.51,742.26,743.31,739.54,47.53,0.02
20170807,742.37,738.07,742.57,737.99,56.69,0.58
20170804,738.06,736.06,738.45,734.93,49.14,0.27
20170803,736.06,735.48,736.98,732.21,63.78,0.08
20170802,735.45,737.34,737.35,732.51,83.33,-0.26
20170801,737.36,732.53,738.51,732.25,91.40,0.66
20170731,732.51,734.48,735.33,731.44,55.38,-0.26
20170728,734.42,732.82,734.42,727.71,54.23,0.22
20170727,732.82,732.52,737.22,731.71,53.55,0.04
20170726,732.54,724.64,733.43,724.54,62.22,1.11
20170725,724.49,723.05,726.28,719.41,52.83,0.20
20170724,723.05,723.23,724.41,720.18,46.93,-0.03
20170721,723.24,734.12,734.19,721.53,83.67,-1.48
20170720,734.09,728.26,735.15,728.12,119.04,0.80
20170719,728.25,725.93,728.46,723.74,70.93,0.33
20170718,725.89,729.14,730.05,725.18,46.91,-0.45
20170717,729.18,721.22,730.43,721.22,46.81,1.10
20170714,721.22,722.00,723.06,719.09,47.69,-0.11
20170713,722.00,717.33,722.59,716.12,61.35,0.72
20170712,716.81,702.38,716.81,701.69,92.33,2.05
20170711,702.38,702.26,704.47,698.92,42.42,0.02
20170710,702.25,696.70,702.33,696.70,45.13,0.81
20170707,696.64,701.83,701.83,696.22,61.48,-0.74
20170706,701.80,701.93,706.03,699.98,57.47,-0.01
20170705,701.85,707.54,707.56,701.20,50.61,-0.80
20170704,707.52,705.08,708.29,704.15,36.19,0.35
20170703,705.06,698.64,705.37,698.64,38.02,0.93
20170630,698.58,695.35,699.07,693.74,49.03,0.51
20170629,695.01,698.86,704.66,694.93,46.75,-0.55
20170628,698.87,693.76,698.87,690.80,51.27,0.74
20170627,693.76,693.17,695.23,690.98,47.08,0.09
20170626,693.17,693.37,698.28,693.02,40.93,-0.02
20170623,693.32,693.79,695.50,691.13,46.83,-0.06
20170622,693.74,699.64,699.68,691.72,51.11,-0.85
20170621,699.68,704.08,704.28,696.85,54.02,-0.62
20170620,704.07,705.12,708.98,703.50,63.17,-0.15
20170619,705.14,699.15,705.70,699.11,60.99,0.86
20170616,699.16,696.82,700.48,696.74,69.29,0.34
20170615,696.79,708.31,708.31,695.39,72.47,-1.63
20170614,708.31,710.05,713.01,707.88,80.69,-0.25
20170613,710.06,711.97,713.21,708.20,48.85,-0.26
20170612,711.91,706.68,711.98,704.47,54.83,0.74
20170609,706.68,704.99,706.79,701.19,55.88,0.25
20170608,704.95,711.06,711.18,703.00,60.13,-0.86
20170607,711.06,709.38,713.54,707.79,57.52,0.24
20170606,709.37,712.08,712.10,705.37,58.93,-0.38
20170602,712.08,713.15,716.09,710.55,150.77,-0.16
20170601,713.19,710.34,715.18,710.34,55.85,0.40
20170531,710.34,718.32,718.49,709.24,66.99,-1.11
20170530,718.32,718.01,719.64,713.87,51.86,0.02
20170529,718.20,718.73,718.90,716.63,28.10,-0.08
20170526,718.74,725.87,725.91,716.73,48.97,-0.99
20170524,725.95,721.62,725.95,721.02,55.25,0.62
20170523,721.49,723.82,723.92,719.49,38.39,-0.31
20170522,723.76,722.71,726.11,721.21,42.10,0.15
20170519,722.70,712.67,722.84,712.67,53.47,1.41
20170518,712.67,728.28,728.28,708.04,98.65,-2.14
20170516,728.29,724.81,728.33,723.12,69.30,0.50
20170515,724.66,721.17,726.80,721.17,66.18,0.49
20170512,721.14,718.13,722.58,718.11,55.68,0.42
20170511,718.13,719.18,724.11,717.39,109.92,-0.15
20170510,719.18,719.51,720.27,716.58,66.44,-0.04
20170509,719.50,712.93,719.99,712.81,64.23,0.92
20170508,712.95,709.62,712.95,707.03,60.48,0.47
20170505,709.61,699.99,709.97,696.40,67.86,1.38
20170504,699.97,703.80,708.87,699.06,70.59,-0.54
20170503,703.79,704.94,705.21,700.62,107.43,-0.16
20170502,704.89,697.69,704.89,696.94,68.51,1.04
20170428,697.66,698.80,700.24,696.06,69.76,-0.15
20170427,698.73,698.48,701.36,696.66,87.30,0.03
20170426,698.50,698.53,699.89,695.34,117.98,-0.00
20170425,698.52,691.50,698.52,691.50,60.42,1.02
20170424,691.44,683.02,693.46,683.02,61.07,1.23
20170421,683.02,683.39,686.41,681.38,64.86,-0.06
