fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,334.56,333.48,334.70,332.71,-,0.34
20180126,333.44,333.15,333.44,333.15,-,0.18
20180125,332.85,332.03,332.85,331.78,-,0.23
20180124,332.10,331.95,332.10,331.64,-,-0.01
20180123,332.13,331.72,332.13,331.53,-,0.11
20180122,331.75,331.39,331.92,331.39,-,0.14
20180119,331.28,330.88,331.28,330.82,-,0.15
20180118,330.77,334.27,334.31,330.36,-,-1.03
20180117,334.21,334.05,334.21,333.90,-,0.01
20180116,334.18,334.12,334.18,332.70,-,-0.06
20180115,334.37,332.97,334.37,332.81,-,0.32
20180112,333.30,331.50,333.62,331.35,-,0.67
20180111,331.09,323.75,331.45,323.75,-,2.27
20180110,323.73,318.47,323.73,318.32,-,1.60
20180109,318.63,316.99,318.63,316.26,-,0.59
20180105,316.77,315.64,316.77,315.53,-,0.26
20180104,315.96,315.59,316.46,314.91,-,0.07
20180103,315.74,314.87,315.74,314.81,-,0.22
20171228,315.06,314.17,315.06,314.17,-,0.29
20171227,314.15,312.96,314.15,312.96,-,0.41
20171226,312.88,312.03,312.88,312.03,-,0.31
20171222,311.92,310.64,311.92,310.48,-,0.37
20171221,310.76,310.57,310.92,310.12,-,0.07
20171220,310.53,309.90,311.30,309.90,-,0.23
20171219,309.81,309.80,309.90,308.43,-,0.03
20171218,309.71,307.22,310.12,306.86,-,0.80
20171215,307.25,306.53,307.32,306.37,-,0.24
20171214,306.51,305.37,306.51,305.29,-,0.35
20171213,305.43,304.80,305.43,304.59,-,0.20
20171212,304.82,303.84,304.82,303.57,-,0.31
20171211,303.88,303.89,303.94,303.83,-,0.00
20171208,303.87,303.66,303.88,303.57,-,0.03
20171207,303.78,303.78,303.78,303.49,-,-0.01
20171206,303.82,304.24,304.24,303.53,-,-0.15
20171205,304.29,304.52,304.52,304.13,-,-0.10
20171204,304.60,304.36,304.60,304.21,-,0.05
20171201,304.45,304.18,304.45,304.01,-,0.06
20171130,304.27,304.02,304.27,303.69,-,0.06
20171129,304.10,303.88,304.10,303.71,-,0.04
20171128,303.98,303.99,303.99,303.71,-,-0.03
20171127,304.08,303.83,304.08,303.07,-,0.07
20171124,303.86,303.36,303.86,303.15,-,0.13
20171123,303.47,303.00,303.47,302.89,-,0.10
20171122,303.18,302.71,303.18,302.71,-,0.16
20171121,302.71,302.69,302.84,302.48,-,0.01
20171120,302.69,302.96,303.24,302.69,-,-0.07
20171117,302.90,302.66,302.90,302.34,-,0.04
20171116,302.78,302.07,302.78,301.78,-,0.18
20171115,302.24,302.58,302.59,302.20,-,-0.15
20171114,302.69,302.99,303.43,302.69,-,-0.13
20171113,303.09,302.49,303.09,302.49,-,0.22
20171110,302.41,302.16,302.41,301.99,-,0.07
20171109,302.20,301.56,302.20,301.56,-,0.23
20171108,301.50,300.14,301.50,299.76,-,0.43
20171107,300.22,299.21,300.25,299.21,-,0.33
20171106,299.23,300.46,300.46,299.23,-,-0.44
20171103,300.56,299.45,300.56,299.45,-,0.43
20171102,299.27,300.95,301.74,299.19,-,-0.52
20171101,300.83,301.32,301.32,300.74,-,-0.17
20171031,301.34,300.60,301.34,300.34,-,0.23
20171030,300.65,299.75,300.69,299.48,-,0.24
20171027,299.92,298.63,299.92,298.56,-,0.41
20171026,298.71,297.88,298.71,297.88,-,0.33
20171025,297.72,297.89,297.89,297.57,-,-0.08
20171024,297.96,298.27,298.53,297.90,-,-0.09
