fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,577.65,578.98,578.98,571.65,4.34,-0.23
20180128,578.98,578.35,578.98,574.00,174.02k,0.11
20180125,578.35,579.91,579.91,577.31,778.90k,-0.27
20180124,579.91,578.47,580.27,577.31,487.80k,0.25
20180122,578.47,579.36,579.36,575.28,493.90k,-0.15
20180121,579.36,582.85,582.85,578.29,218.13k,-0.60
20180118,582.85,581.17,582.85,578.31,294.59k,0.29
20180117,581.17,582.24,582.29,576.45,432.13k,-0.18
20180116,582.24,581.27,582.36,578.62,540.89k,0.17
20180115,581.27,578.28,581.27,575.21,386.22k,0.52
20180114,578.28,578.10,579.54,576.20,690.45k,0.03
20180111,578.10,574.80,578.10,573.01,295.57k,0.57
20180110,574.80,576.02,576.39,571.79,556.10k,-0.21
20180109,576.02,576.97,577.55,573.89,1.10,-0.16
20180108,576.97,574.72,576.97,571.93,909.04k,0.39
20180104,574.72,580.44,580.52,573.51,817.18k,-0.99
20180103,580.44,576.96,580.44,575.02,449.74k,0.60
20180102,576.96,574.58,576.96,572.84,227.89k,0.41
20171231,574.58,573.22,574.58,569.99,2.87,0.24
20171228,573.22,575.16,575.16,568.74,1.28,-0.34
20171227,575.16,573.08,575.16,569.43,1.28,0.36
20171226,573.08,573.84,573.84,569.21,334.29k,-0.13
20171224,573.84,573.36,573.84,569.59,699.21k,0.08
20171221,573.36,571.22,573.36,569.25,234.92k,0.37
20171220,571.22,569.94,571.22,568.14,425.07k,0.22
20171219,569.94,566.56,570.41,565.77,4.00,0.60
20171218,566.56,569.68,569.68,565.72,334.24k,-0.55
20171217,569.68,568.17,570.05,565.99,274.02k,0.27
20171214,568.17,563.81,568.17,563.81,179.75k,0.77
20171213,563.81,558.96,564.03,558.13,5.20,0.87
20171212,558.96,558.52,560.46,556.07,465.98k,0.08
20171211,558.52,559.00,559.55,556.93,1.22,-0.09
20171210,559.00,560.12,561.12,557.71,842.28k,-0.20
20171207,560.12,562.80,562.80,557.23,561.63k,-0.48
20171206,562.80,564.26,564.26,559.53,418.23k,-0.26
20171205,564.26,565.12,565.82,563.70,1.20,-0.15
20171204,565.12,560.42,565.12,560.27,238.16k,0.84
