fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,9058.62,9071.11,9071.11,9008.41,119.56k,0.19
20180126,9041.20,8995.61,9041.20,8945.32,116.74k,0.47
20180125,8999.17,8907.45,8999.17,8907.24,148.08k,0.88
20180124,8920.23,8992.37,8992.37,8898.21,96.37k,-0.88
20180123,8999.02,8952.81,8999.02,8916.07,112.60k,0.54
20180122,8950.62,8893.14,8975.12,8883.00,98.60k,0.39
20180119,8915.92,8824.72,8915.92,8802.78,124.47k,1.08
20180118,8820.74,8790.05,8822.40,8772.45,173.13k,-0.32
20180117,8848.99,8879.67,8902.27,8821.41,162.53k,-0.18
20180116,8865.13,8890.74,8969.18,8865.13,141.74k,0.08
20180115,8857.72,8844.35,8897.56,8809.53,147.11k,0.49
20180112,8814.62,8836.29,8868.56,8803.62,125.85k,0.02
20180111,8813.25,8908.64,8909.00,8745.63,141.64k,-1.20
20180110,8920.29,8914.25,8926.78,8877.98,96.73k,-0.04
20180109,8923.72,8758.96,8923.72,8755.40,116.13k,2.04
20180108,8745.12,8818.90,8820.53,8713.86,99.60k,-0.28
20180105,8770.00,8743.41,8858.07,8739.74,158.23k,0.35
20180104,8739.83,8710.00,8760.26,8690.34,124.75k,0.18
20180103,8724.13,8584.46,8724.13,8580.50,129.60k,1.94
20180102,8558.42,8562.86,8640.04,8535.10,170.54k,0.00
20171229,8558.42,8562.86,8640.04,8535.10,170.54k,0.27
20171228,8535.09,8474.99,8571.46,8468.19,106.54k,0.52
20171227,8490.91,8427.05,8490.91,8412.89,47.95k,0.69
20171222,8432.31,8377.92,8432.31,8364.42,47.02k,0.64
20171221,8378.28,8371.91,8378.28,8323.01,88.10k,0.19
20171220,8362.61,8376.32,8377.57,8343.99,57.72k,-0.04
20171219,8365.96,8422.09,8422.77,8348.88,88.31k,-0.68
20171218,8422.82,8345.97,8422.82,8345.32,68.25k,1.03
20171215,8337.04,8425.66,8425.66,8337.04,226.81k,-1.47
20171214,8461.06,8366.60,8461.06,8344.02,111.08k,1.21
20171213,8359.61,8341.81,8363.15,8321.59,77.58k,0.31
20171212,8334.06,8346.27,8362.28,8311.68,118.57k,-0.29
20171211,8358.57,8296.23,8358.57,8277.26,82.52k,0.65
20171208,8304.70,8176.21,8304.70,8167.60,119.25k,1.59
