fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,5730.22,5768.24,5773.56,5717.73,78.41,-0.66
20180126,5768.48,5776.86,5793.38,5765.28,64.23,0.03
20180125,5766.67,5751.38,5779.67,5751.16,94.32,0.25
20180124,5752.26,5786.63,5789.54,5750.09,104.46,-0.68
20180123,5791.88,5777.42,5793.14,5760.02,150.19,0.82
20180122,5744.83,5693.88,5749.16,5691.11,118.81,0.98
20180119,5689.05,5663.39,5692.12,5651.24,77.72,0.31
20180118,5671.54,5633.31,5673.68,5613.52,92.25,0.94
20180117,5618.69,5618.13,5630.68,5589.98,58.48,0.09
20180116,5613.58,5620.85,5672.51,5607.65,82.10,-0.13
20180115,5620.95,5637.64,5640.18,5596.98,55.98,-0.04
20180112,5623.41,5665.13,5665.13,5611.93,85.64,-0.37
20180111,5644.26,5659.70,5668.56,5630.69,65.20,-0.24
20180110,5657.95,5651.65,5674.88,5641.83,74.48,0.07
20180109,5654.24,5666.23,5702.94,5654.24,103.58,0.15
20180108,5645.53,5634.54,5657.77,5629.60,98.13,0.53
20180105,5615.63,5628.10,5639.00,5610.44,111.40,-0.13
20180104,5622.72,5573.38,5624.86,5569.84,158.68,1.53
20180103,5537.97,5483.29,5549.14,5482.45,153.47,1.25
20180102,5469.60,5405.83,5469.60,5399.61,96.42,1.51
20171229,5388.33,5362.74,5388.33,5354.91,59.99,0.36
20171228,5368.83,5380.96,5393.12,5365.85,64.92,-0.19
20171227,5379.20,5367.85,5386.92,5354.18,68.20,-0.08
20171222,5383.33,5386.93,5406.91,5378.43,73.60,-0.24
20171221,5396.53,5397.67,5415.30,5384.96,57.57,-0.19
20171220,5406.64,5445.62,5448.88,5406.64,102.38,-0.45
20171219,5431.01,5429.65,5438.89,5414.95,108.62,0.04
20171218,5428.89,5411.21,5435.81,5406.88,72.74,0.80
20171215,5385.63,5350.31,5386.41,5324.90,125.12,0.55
20171214,5356.12,5386.55,5390.20,5355.65,82.57,-0.51
20171213,5383.69,5390.01,5414.47,5381.67,98.07,-0.27
20171212,5398.02,5366.68,5403.92,5355.54,68.55,0.65
20171211,5363.00,5370.32,5379.02,5347.56,69.58,0.05
20171208,5360.26,5402.03,5420.31,5360.26,74.62,-0.58
20171207,5391.67,5387.06,5424.25,5378.30,65.26,0.20
20171206,5381.00,5381.42,5387.44,5360.05,95.42,-0.26
20171205,5395.26,5368.18,5424.31,5359.09,140.38,0.59
20171204,5363.56,5382.64,5386.80,5346.04,77.27,0.24
20171201,5350.84,5374.85,5393.48,5350.36,85.66,-0.23
20171130,5363.07,5342.09,5368.39,5337.45,117.92,0.21
20171129,5351.77,5297.04,5367.61,5295.23,153.81,1.42
20171128,5276.95,5276.10,5292.63,5252.09,67.97,0.28
20171127,5262.22,5269.05,5271.48,5229.54,67.87,-0.40
20171124,5283.35,5303.83,5324.37,5276.61,36.07,-0.50
20171123,5309.76,5307.68,5316.37,5294.14,40.70,0.09
20171122,5305.06,5295.91,5334.98,5286.94,88.56,0.25
20171121,5291.59,5288.54,5300.83,5249.25,61.84,0.21
20171120,5280.34,5250.42,5288.53,5246.38,50.11,0.41
20171117,5258.75,5274.68,5274.76,5249.12,53.53,-0.25
20171116,5271.75,5273.00,5339.07,5264.30,62.09,0.22
20171115,5260.18,5243.58,5270.74,5208.84,67.88,-0.16
20171114,5268.66,5259.99,5300.01,5257.81,99.01,0.20
20171113,5258.14,5308.55,5317.14,5232.79,61.72,-0.82
20171110,5301.70,5335.21,5339.85,5290.34,57.89,-0.38
20171109,5321.82,5337.55,5388.88,5309.69,63.90,-0.15
20171108,5330.00,5360.86,5367.06,5315.88,76.28,-0.40
20171107,5351.24,5369.03,5388.68,5351.24,52.17,0.03
20171106,5349.73,5377.75,5377.98,5320.88,49.16,-0.35
20171103,5368.64,5442.74,5442.74,5347.05,81.29,-1.44
20171102,5446.82,5449.98,5465.92,5428.00,59.40,0.15
20171101,5438.62,5442.73,5466.91,5434.71,72.10,-0.68
20171031,5475.67,5466.26,5495.87,5465.87,57.71,0.54
20171030,5446.51,5408.82,5458.48,5399.14,83.77,0.70
20171027,5408.46,5415.63,5429.22,5402.29,47.98,0.12
20171026,5402.15,5359.03,5412.94,5345.87,83.57,0.62
20171025,5368.70,5417.41,5420.78,5366.65,56.61,-0.84
20171024,5414.31,5436.40,5442.41,5405.83,60.48,-0.40
20171023,5436.28,5458.79,5470.00,5433.51,73.01,-0.29
20171020,5451.91,5455.73,5479.46,5446.32,119.66,-0.15
20171019,5460.35,5463.00,5470.77,5426.99,72.74,-0.02
20171018,5461.19,5434.82,5474.02,5414.35,102.30,0.19
20171017,5450.85,5449.21,5454.47,5425.26,100.02,-0.03
20171016,5452.53,5445.58,5453.15,5422.40,134.03,-0.10
20171013,5457.96,5458.73,5466.79,5437.34,152.88,0.01
20171012,5457.15,5443.95,5464.63,5428.14,117.46,0.33
20171011,5439.32,5431.15,5444.87,5423.41,110.81,0.56
20171010,5408.81,5413.85,5442.83,5403.81,122.85,-0.05
20171009,5411.50,5396.44,5429.75,5396.44,94.56,0.30
20171006,5395.27,5426.64,5440.79,5389.88,106.49,-0.60
20171005,5427.77,5393.96,5427.77,5392.04,99.74,0.78
20171004,5385.92,5441.73,5445.80,5373.10,162.53,-0.99
20171003,5439.99,5409.58,5439.99,5404.10,126.74,0.76
20171002,5399.04,5412.04,5416.62,5379.93,114.18,-0.19
20170929,5409.58,5390.12,5409.58,5382.75,138.64,0.63
20170928,5375.61,5345.32,5376.77,5339.22,141.35,0.79
20170927,5333.61,5325.73,5347.59,5319.56,124.33,0.32
20170926,5316.69,5302.88,5324.37,5299.61,59.71,0.07
20170925,5313.09,5307.67,5330.92,5300.00,119.43,0.06
20170922,5310.06,5299.01,5324.62,5286.04,91.72,0.08
20170921,5305.98,5301.65,5309.17,5288.50,108.68,0.19
20170920,5296.17,5317.00,5321.17,5281.79,105.81,-0.13
20170919,5302.89,5290.46,5310.48,5285.94,135.43,0.37
20170918,5283.14,5262.07,5310.34,5260.34,178.99,1.56
20170915,5201.88,5177.16,5221.82,5175.11,147.69,0.01
20170914,5201.51,5165.83,5201.51,5156.54,76.87,0.63
20170913,5168.88,5133.76,5175.47,5133.76,73.81,0.60
20170912,5138.27,5123.84,5160.33,5123.84,102.78,0.61
20170911,5107.22,5108.85,5123.65,5079.75,119.27,0.11
20170908,5101.67,5065.63,5101.67,5014.62,241.00,0.54
20170907,5074.49,5146.84,5146.84,5070.68,167.13,-1.08
20170906,5129.71,5122.22,5149.32,5111.08,76.55,-0.12
20170905,5136.00,5165.04,5184.22,5129.20,74.65,-0.53
20170904,5163.50,5175.85,5179.39,5154.63,38.91,-0.61
20170901,5195.28,5166.42,5210.41,5166.42,68.76,0.75
20170831,5156.67,5131.81,5163.14,5119.74,73.52,0.87
20170830,5111.96,5128.98,5138.49,5109.13,38.91,0.01
20170829,5111.37,5101.32,5116.05,5052.15,100.31,-0.35
20170828,5129.53,5164.55,5164.55,5129.53,39.56,-0.70
20170825,5165.92,5196.01,5203.35,5165.92,41.53,-0.58
20170824,5196.28,5183.21,5207.53,5173.26,52.21,0.45
20170823,5173.09,5191.64,5192.89,5157.62,40.86,-0.35
20170822,5191.24,5191.80,5194.29,5171.96,40.43,0.47
20170821,5166.77,5173.09,5178.64,5158.20,36.83,-0.37
20170818,5186.10,5214.70,5216.03,5178.46,61.19,-1.09
20170817,5243.07,5255.75,5270.09,5218.60,56.09,-0.32
20170816,5259.68,5256.80,5266.99,5252.39,50.15,0.31
20170815,5243.23,5280.85,5283.93,5243.20,46.13,-0.48
20170814,5268.59,5219.10,5275.78,5217.77,64.12,1.29
20170811,5201.59,5226.50,5228.60,5186.13,54.01,-0.97
20170810,5252.71,5239.62,5256.86,5227.58,49.84,0.01
20170809,5252.32,5251.76,5254.99,5218.88,59.48,-0.47
20170808,5276.86,5271.56,5287.22,5262.72,52.06,0.02
20170807,5275.75,5257.40,5277.65,5246.78,53.58,0.43
20170804,5253.33,5168.61,5267.72,5160.87,114.99,1.43
20170803,5179.31,5214.96,5216.67,5148.75,129.23,-0.56
20170802,5208.34,5242.60,5242.60,5201.28,89.71,-0.54
20170801,5236.69,5191.43,5245.98,5158.48,80.77,0.91
20170731,5189.23,5195.67,5208.83,5162.54,107.16,0.32
20170728,5172.76,5243.53,5248.13,5169.96,150.35,-1.49
20170727,5250.84,5273.76,5279.21,5239.97,47.22,-0.36
20170726,5269.71,5271.41,5291.72,5262.26,90.19,-0.27
20170725,5283.75,5275.97,5289.60,5265.47,78.03,0.38
20170724,5263.68,5300.00,5301.14,5257.71,65.31,-0.61
20170721,5296.15,5322.04,5332.10,5293.00,65.07,-0.34
20170720,5314.35,5323.77,5341.15,5306.18,101.77,0.23
20170719,5302.36,5316.40,5324.03,5295.97,115.39,-0.11
20170718,5308.44,5286.00,5314.38,5283.66,86.81,0.30
20170717,5292.74,5309.64,5317.80,5274.83,110.20,-0.19
20170714,5302.57,5322.49,5326.48,5288.46,134.66,-0.31
20170713,5319.28,5226.31,5319.28,5224.10,162.32,2.00
20170712,5215.15,5200.25,5230.42,5183.37,102.73,0.77
20170711,5175.07,5194.53,5202.24,5158.51,71.26,0.08
20170710,5171.12,5159.04,5181.30,5145.31,70.23,0.33
20170707,5153.96,5158.89,5159.57,5129.52,41.26,-0.29
20170706,5169.10,5208.60,5208.81,5142.94,68.43,-0.66
20170705,5203.30,5170.74,5212.23,5155.55,88.03,0.43
20170704,5181.15,5192.65,5194.47,5164.36,90.69,0.01
20170703,5180.43,5190.43,5201.47,5162.92,108.83,0.53
20170630,5152.96,5149.73,5182.56,5138.65,77.28,0.22
20170629,5141.44,5202.99,5213.21,5123.89,119.60,-0.89
20170628,5187.35,5174.13,5210.50,5140.19,98.35,-0.09
20170627,5192.16,5234.00,5243.61,5187.62,65.58,-0.81
20170626,5234.67,5222.73,5259.93,5215.55,79.58,0.65
20170623,5200.64,5244.86,5250.06,5188.81,76.48,-0.85
20170622,5244.98,5260.50,5260.50,5220.10,142.84,-0.51
20170621,5271.90,5294.31,5295.21,5261.53,81.93,-0.49
20170620,5298.05,5337.49,5351.58,5298.05,91.10,-0.61
20170619,5330.60,5295.10,5330.60,5290.17,99.53,1.07
20170616,5273.98,5272.15,5297.02,5228.45,146.22,0.23
20170615,5262.02,5285.36,5305.41,5244.34,98.21,-1.01
20170614,5315.86,5313.85,5359.19,5313.03,181.37,0.23
20170613,5303.85,5267.85,5309.43,5262.80,94.20,0.87
20170612,5258.00,5271.30,5290.16,5245.57,178.03,-0.77
20170609,5298.94,5241.34,5301.08,5234.48,188.70,1.12
20170608,5240.37,5298.20,5302.16,5213.53,166.08,-0.93
20170607,5289.56,5320.37,5342.45,5289.56,122.15,-0.56
20170606,5319.21,5269.33,5323.42,5264.50,87.73,0.78
20170605,5278.13,5307.06,5307.76,5255.11,70.05,-0.74
20170602,5317.41,5303.32,5343.75,5285.76,189.23,0.07
20170601,5313.59,5294.07,5319.76,5292.45,88.14,0.45
20170531,5289.98,5279.27,5309.06,5271.00,131.94,0.19
20170530,5279.80,5217.21,5281.05,5204.75,112.95,1.02
20170529,5226.48,5213.45,5241.46,5210.78,59.51,-0.00
20170526,5226.58,5234.74,5243.84,5207.18,126.87,-0.35
20170525,5244.80,5229.23,5245.02,5213.87,170.74,0.59
20170524,5213.97,5190.66,5224.11,5187.06,124.62,-0.00
20170523,5214.18,5171.60,5225.70,5166.59,92.60,0.70
