fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,9450.07,9390.44,9450.07,9346.63,4.90,0.41
20180128,9411.53,9455.74,9468.36,9386.46,6.50,-0.51
20180125,9459.61,9355.05,9459.61,9343.36,6.34,1.08
20180124,9358.60,9316.47,9358.60,9292.86,12.18,1.12
20180123,9254.61,9182.86,9274.52,9166.41,9.66,0.47
20180122,9211.02,9141.68,9211.02,9114.84,9.55,0.72
20180121,9145.44,9174.22,9211.62,9137.50,8.53,-0.59
20180118,9200.10,9169.48,9200.10,9137.07,6.63,0.45
20180117,9158.77,9180.11,9232.04,9047.91,10.61,-0.21
20180116,9178.18,9016.76,9183.05,9016.76,6.49,2.58
20180115,8946.97,9168.71,9252.92,8946.97,11.32,-2.48
20180114,9174.66,9131.94,9245.07,9127.51,12.46,0.42
20180111,9135.86,9037.84,9135.86,9028.06,8.51,0.97
20180110,9048.17,8979.61,9096.32,8978.13,8.79,0.51
20180109,9002.46,8985.10,9002.46,8856.25,6.83,0.30
20180108,8975.82,8764.53,8975.82,8764.44,9.79,2.57
20180107,8751.20,8632.46,8755.45,8631.96,5.25,1.40
20180104,8630.67,8627.37,8672.16,8627.22,6.18,0.26
20180103,8608.31,8618.52,8683.36,8608.31,6.70,-0.14
20180102,8620.26,8516.79,8657.21,8509.74,6.06,1.14
20171231,8523.38,8534.62,8570.22,8494.25,7.05,-0.03
20171228,8526.00,8494.67,8526.00,8454.49,4.90,0.30
20171227,8500.08,8541.05,8557.39,8482.73,7.28,-0.01
20171226,8501.03,8569.98,8589.38,8501.03,8.33,-0.80
20171225,8569.58,8606.93,8617.88,8547.54,9.40,-0.36
20171224,8600.20,8630.16,8653.24,8582.07,8.73,-0.25
20171221,8621.34,8529.43,8629.37,8529.43,9.04,1.19
20171220,8520.21,8530.76,8549.81,8456.86,9.46,-0.03
20171219,8522.83,8210.93,8522.83,8210.43,12.73,3.79
20171214,8211.94,8188.44,8222.07,8099.20,9.38,0.06
20171213,8206.87,8022.31,8206.87,8017.62,13.33,2.16
20171212,8033.28,7918.58,8033.28,7907.89,7.61,1.39
20171211,7923.07,7840.48,7923.07,7811.51,3.84,1.22
20171210,7827.71,7770.46,7895.03,7767.45,2.91,0.70
20171207,7773.59,7757.31,7845.11,7729.12,5.60,-0.31
20171206,7798.10,7834.45,7834.45,7747.22,4.87,-1.45
20171205,7912.48,7948.84,8001.34,7857.07,8.19,-0.23
20171204,7930.38,7750.58,7952.64,7750.58,10.70,2.24
20171203,7756.55,7735.44,7776.76,7728.23,4.72,0.55
20171130,7714.26,7802.65,7817.45,7664.00,10.76,-0.87
20171129,7782.18,7726.40,7782.18,7715.18,5.78,0.62
20171128,7734.41,7787.74,7787.74,7675.48,4.58,-0.43
20171127,7767.70,7784.26,7824.46,7752.77,8.54,0.12
20171126,7758.08,7730.52,7773.67,7709.17,9.47,0.20
20171123,7742.46,7798.99,7817.04,7742.46,4.72,-0.72
20171122,7798.39,7753.09,7820.61,7753.09,8.17,0.38
20171121,7768.52,7806.86,7814.98,7702.80,7.45,-0.51
20171120,7808.18,7816.05,7816.05,7737.32,5.67,-0.25
20171119,7827.50,7791.72,7828.49,7765.63,1.65,0.02
20171116,7825.77,7736.61,7825.77,7734.18,4.15,0.83
20171115,7761.25,7854.47,7890.63,7761.25,5.05,-1.43
20171114,7873.84,7870.97,7874.27,7801.83,3.94,0.21
20171113,7856.99,7883.86,7883.86,7825.23,4.02,-0.24
20171112,7875.63,7855.09,7892.23,7832.49,2.22,-0.13
20171109,7885.50,7862.37,7885.91,7820.22,2.96,0.37
20171108,7856.24,7905.50,7938.13,7848.35,2.71,-0.94
20171107,7930.78,8004.09,8024.72,7789.45,5.47,-1.05
20171106,8014.71,8079.13,8136.60,8002.67,5.38,-1.38
20171105,8126.89,8135.48,8135.85,8040.81,3.24,-0.24
20171102,8146.23,8171.43,8174.98,8138.13,2.04,-0.31
20171101,8171.20,8165.69,8185.52,8139.00,1.58,0.08
20171031,8165.06,8183.71,8198.10,8157.91,3.04,-0.38
20171030,8196.54,8123.90,8196.54,8118.78,3.25,0.76
20171029,8134.46,8121.32,8166.49,8116.69,6.87,0.08
20171026,8128.25,8121.58,8133.71,8100.16,3.17,0.04
20171025,8124.73,8090.88,8124.73,8064.56,5.50,0.18
20171024,8110.16,8132.91,8149.29,8089.27,2.72,-0.09
20171023,8117.41,8158.33,8159.53,8084.65,5.19,-0.50
20171022,8158.33,8173.36,8175.98,8147.50,9.63,-0.17
20171019,8172.18,8130.44,8183.39,8124.68,6.90,0.34
20171018,8144.11,8233.79,8237.26,8110.23,2.69,-1.03
20171017,8229.27,8300.33,8304.09,8187.33,6.62,-0.85
20171016,8299.71,8325.93,8350.48,8263.81,3.11,-0.50
20171015,8341.11,8333.61,8376.10,8323.63,1.50,-0.01
20171012,8342.09,8326.92,8342.09,8270.50,4.65,0.10
20171011,8333.84,8218.79,8333.84,8210.48,4.97,0.98
20171010,8253.34,8218.98,8272.78,8152.92,3.14,0.49
20171009,8212.86,8142.83,8230.22,8142.83,6.15,0.93
20171008,8137.57,8132.06,8137.57,8004.15,4.64,0.07
20171005,8132.05,8164.88,8172.32,8122.28,4.18,-0.26
20171004,8152.98,8289.66,8294.14,8152.98,4.62,-1.59
20171003,8284.68,8318.29,8323.96,8246.58,4.23,-0.21
