fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1035.62,1034.48,1035.62,1033.29,-,0.07
20180126,1034.90,1039.27,1039.45,1022.87,-,-0.46
20180125,1039.68,1031.48,1039.68,1025.61,-,0.79
20180124,1031.48,1037.22,1038.74,1031.25,-,-0.55
20180123,1037.19,1038.67,1042.11,1035.55,-,-0.14
20180122,1038.67,1041.24,1041.52,1038.67,-,-0.15
20180119,1040.25,1036.44,1046.33,1036.44,-,0.70
20180118,1033.02,1027.00,1033.42,1027.00,-,0.59
20180117,1027.00,1025.12,1032.05,1025.12,-,0.30
20180116,1023.92,1025.76,1025.76,1022.44,-,-0.15
20180115,1025.50,1029.78,1031.24,1023.60,-,-0.42
20180112,1029.78,1020.61,1029.78,1020.61,-,0.23
20180111,1027.44,1030.87,1037.26,1027.44,-,-0.33
20180110,1030.87,1032.69,1036.03,1026.34,-,0.16
20180109,1029.27,1032.01,1032.01,1027.12,-,-0.22
20180108,1031.57,1030.90,1034.91,1030.38,-,0.33
20180105,1028.20,1016.25,1030.61,1015.43,-,1.43
20180104,1013.67,1001.69,1013.67,1001.69,-,1.10
20180103,1002.64,1001.45,1009.20,1001.45,-,0.12
20180102,1001.45,993.91,1001.45,993.91,-,0.53
20171229,996.13,1000.88,1002.52,994.71,-,-0.47
20171228,1000.88,992.36,1001.62,992.36,-,0.80
20171227,992.93,999.45,1002.76,992.93,-,-0.55
20171222,998.45,993.77,998.45,993.58,-,0.55
20171221,993.01,998.45,1006.68,992.70,-,-1.23
20171220,1005.42,1008.83,1008.83,1005.26,-,-0.45
20171219,1009.95,1018.76,1020.35,1007.14,-,-0.65
20171218,1016.60,1018.55,1024.86,1016.22,-,-0.15
20171215,1018.17,1010.47,1018.17,1010.47,-,0.95
20171214,1008.57,1025.48,1025.48,1008.12,-,-1.61
20171213,1025.04,1019.60,1025.06,1018.03,-,0.53
20171212,1019.60,1010.85,1020.51,1010.85,-,1.15
20171211,1008.00,1019.72,1020.86,998.89,-,-1.00
20171208,1018.18,1026.49,1026.49,1016.00,-,-0.26
20171207,1020.83,1025.64,1026.35,1019.28,-,-0.56
20171206,1026.59,1037.79,1037.79,1024.32,-,-0.72
20171205,1034.08,1039.21,1039.21,1028.73,-,-0.44
20171204,1038.60,1024.23,1039.18,1023.23,-,1.43
20171201,1023.91,1045.34,1045.34,1022.54,-,-2.74
20171130,1052.77,1054.80,1074.60,1044.88,-,1.33
20171129,1039.00,1035.81,1054.88,1035.81,-,0.27
20171128,1036.19,1041.81,1041.81,1031.35,-,-0.54
20171127,1041.81,1043.27,1043.27,1040.13,-,-0.46
20171124,1046.64,1040.48,1046.64,1037.44,-,0.56
20171123,1040.76,1040.57,1041.47,1033.33,-,0.66
20171122,1033.95,1031.63,1040.95,1029.64,-,0.24
20171121,1031.51,1036.67,1044.89,1031.51,-,-0.50
20171117,1036.67,1031.45,1036.71,1028.99,-,0.49
20171116,1031.61,1029.48,1033.91,1023.83,-,-0.13
20171115,1032.91,1035.65,1036.52,1032.91,-,-0.26
20171114,1035.65,1032.60,1035.65,1030.55,-,0.30
20171113,1032.60,1033.74,1034.69,1025.86,-,0.04
20171110,1032.21,1038.74,1038.74,1032.21,-,-0.63
20171109,1038.74,1029.43,1038.74,1029.28,-,1.20
20171108,1026.40,1024.95,1036.09,1023.47,-,0.10
20171107,1025.37,1024.68,1027.57,1023.74,-,0.07
20171106,1024.68,1026.84,1026.84,1022.05,-,0.03
20171103,1024.34,1024.26,1026.00,1023.83,-,0.01
20171102,1024.26,1024.89,1024.93,1022.13,-,-0.06
20171101,1024.89,1020.78,1024.89,1018.60,-,0.31
20171031,1021.68,1020.01,1023.85,1020.01,-,0.16
20171030,1020.01,1019.18,1020.76,1016.16,-,0.08
20171027,1019.18,1019.67,1020.27,1018.43,-,-0.01
20171026,1019.29,1017.10,1020.06,1016.16,-,0.22
20171025,1017.10,1021.21,1021.83,1013.70,-,-0.33
20171024,1020.42,1011.96,1020.42,1009.91,-,0.84
20171023,1011.96,1011.06,1012.21,1007.68,-,-0.51
20171020,1017.16,1024.26,1024.26,1016.57,-,-0.69
20171019,1024.19,1022.49,1024.69,1019.59,-,0.17
20171018,1022.49,1022.80,1023.60,1019.94,-,0.24
20171017,1020.07,1017.25,1020.07,1013.97,-,0.13
20171016,1018.71,1019.05,1021.03,1014.86,-,-0.12
20171013,1019.94,997.52,1020.18,997.52,-,2.25
20171012,997.52,992.51,997.76,992.50,-,0.53
20171011,992.27,997.17,1005.98,992.27,-,-0.37
20171010,995.97,998.43,1010.75,995.97,-,-0.21
20171009,998.10,997.03,1000.70,995.95,-,0.11
20171006,997.01,992.77,997.01,992.49,-,0.13
20171005,995.74,992.27,995.94,992.27,-,0.16
20171004,994.14,994.34,994.81,990.65,-,-0.02
20171003,994.34,998.66,1000.66,992.87,-,-0.43
20171002,998.65,1001.73,1001.73,998.65,-,-0.03
20170929,998.91,1001.09,1016.13,997.51,-,-0.22
20170928,1001.09,993.92,1001.09,993.92,-,0.61
20170927,994.98,1005.29,1005.29,991.15,-,-1.03
20170926,1005.29,992.74,1005.88,990.75,-,1.26
20170925,992.74,991.80,998.81,991.80,-,0.15
20170922,991.28,992.83,994.10,991.28,-,-0.16
20170921,992.83,993.61,994.67,992.83,-,0.06
20170920,992.19,997.63,997.63,992.19,-,-0.55
20170919,997.63,999.44,1001.12,997.27,-,-0.14
20170918,999.06,999.50,1000.77,997.39,-,-0.23
20170915,1001.37,997.70,1002.90,997.43,-,0.37
20170914,997.70,988.20,997.84,988.20,-,0.96
20170913,988.20,988.43,988.43,987.07,-,0.03
