fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,133.26,133.26,133.26,133.26,-,0.00
20180125,133.26,133.26,133.26,133.26,-,0.00
20180124,133.26,133.26,133.26,133.26,-,0.11
20180123,133.11,133.11,133.11,133.11,-,-0.23
20180122,133.42,133.42,133.42,133.42,-,0.00
20180119,133.42,133.42,133.42,133.42,-,0.00
20180118,133.42,133.42,133.42,133.42,-,0.00
20180117,133.42,133.42,133.42,133.42,-,-0.01
20180116,133.44,133.44,133.44,133.44,-,-0.03
20180115,133.48,133.48,133.48,133.48,-,0.04
20180112,133.43,133.43,133.43,133.43,-,0.00
20180111,133.43,133.43,133.43,133.43,-,0.00
20180110,133.43,133.43,133.43,133.43,-,-0.04
20180109,133.48,133.48,133.48,133.48,-,0.00
20180108,133.48,133.48,133.48,133.48,-,0.00
20180105,133.48,133.48,133.48,133.48,-,0.00
20180104,133.48,133.48,133.48,133.48,-,0.00
20180103,133.48,133.48,133.48,133.48,-,0.00
20171229,133.48,133.48,133.48,133.48,-,0.00
20171228,133.48,133.48,133.48,133.48,-,0.00
20171227,133.48,133.48,133.48,133.48,-,0.00
20171222,133.48,133.48,133.48,133.48,-,0.00
20171221,133.48,133.48,133.48,133.48,-,0.00
20171220,133.48,133.48,133.48,133.48,-,-0.01
20171219,133.49,133.49,133.49,133.49,-,0.00
20171215,133.49,133.49,133.49,133.49,-,0.00
20171214,133.49,133.49,133.49,133.49,-,0.00
20171213,133.49,133.49,133.49,133.49,-,0.11
20171212,133.34,133.34,133.34,133.34,-,0.00
20171211,133.34,133.34,133.34,133.34,-,0.00
20171208,133.34,133.34,133.34,133.34,-,0.00
20171207,133.34,133.34,133.34,133.34,-,0.23
20171206,133.03,133.03,133.03,133.03,-,-0.23
20171205,133.34,133.34,133.34,133.34,-,0.12
20171204,133.18,133.18,133.18,133.18,-,0.00
20171201,133.18,133.18,133.18,133.18,-,0.00
20171130,133.18,133.18,133.18,133.18,-,-0.02
20171129,133.20,133.20,133.20,133.20,-,0.00
20171128,133.20,133.20,133.20,133.20,-,0.17
20171127,132.98,132.98,132.98,132.98,-,0.00
20171124,132.98,133.04,133.04,132.98,-,-0.05
20171123,133.04,133.04,133.04,133.04,-,0.00
20171122,133.04,133.04,133.04,133.04,-,0.00
20171121,133.04,133.04,133.04,133.04,-,0.00
20171120,133.04,133.04,133.04,133.04,-,-0.18
20171117,133.28,133.30,133.30,133.28,-,-0.02
20171116,133.30,133.30,133.30,133.30,-,0.00
20171115,133.30,133.30,133.30,133.30,-,-0.01
20171114,133.31,133.31,133.31,133.31,-,0.00
20171113,133.31,133.31,133.31,133.31,-,0.00
20171110,133.31,133.31,133.31,133.31,-,0.00
20171109,133.31,133.31,133.31,133.31,-,0.00
20171108,133.31,133.31,133.31,133.31,-,0.02
20171107,133.29,133.29,133.29,133.29,-,0.18
20171106,133.05,133.05,133.05,133.05,-,-0.05
20171103,133.12,133.25,133.25,133.12,-,-0.10
20171102,133.25,133.25,133.25,133.25,-,-0.02
20171101,133.27,133.27,133.27,133.27,-,0.70
20171031,132.35,132.35,132.35,132.35,-,-0.02
20171030,132.38,132.38,132.38,132.38,-,-0.17
20171027,132.61,132.38,132.61,132.38,-,0.17
20171026,132.38,132.38,132.38,132.38,-,-0.01
20171025,132.39,132.39,132.39,132.39,-,0.00
20171024,132.39,132.39,132.39,132.39,-,0.03
20171023,132.35,132.35,132.35,132.35,-,-0.18
20171020,132.59,132.37,132.59,132.37,-,0.17
20171019,132.37,132.37,132.37,132.37,-,-0.17
20171018,132.60,132.60,132.60,132.60,-,0.00
20171017,132.60,132.60,132.60,132.60,-,0.17
20171016,132.37,132.37,132.37,132.37,-,0.00
20171013,132.37,132.07,132.37,132.07,-,0.23
20171012,132.07,132.07,132.07,132.07,-,0.20
20171011,131.80,131.80,131.80,131.80,-,-0.11
20171010,131.95,131.95,131.95,131.95,-,0.29
20171009,131.57,131.57,131.57,131.57,-,-0.11
20171006,131.72,131.64,131.72,131.64,-,0.06
20171005,131.64,131.64,131.64,131.64,-,-0.05
20171004,131.70,131.70,131.70,131.70,-,-0.01
20171003,131.71,131.71,131.71,131.71,-,0.00
20171002,131.71,131.71,131.71,131.71,-,0.00
20170929,131.71,131.71,131.71,131.71,-,0.00
20170928,131.71,131.71,131.71,131.71,-,0.00
20170927,131.71,131.71,131.71,131.71,-,-0.02
20170926,131.73,131.73,131.73,131.73,-,0.00
20170925,131.73,131.73,131.73,131.73,-,1.03
20170922,130.39,130.39,130.39,130.39,-,0.00
20170921,130.39,130.39,130.39,130.39,-,0.00
20170920,130.39,130.39,130.39,130.39,-,0.00
20170919,130.39,130.39,130.39,130.39,-,0.00
20170918,130.39,130.39,130.39,130.39,-,0.00
20170915,130.39,130.39,130.39,130.39,-,0.00
20170914,130.39,130.39,130.39,130.39,-,0.00
20170913,130.39,130.39,130.39,130.39,-,0.00
20170912,130.39,130.39,130.39,130.39,-,0.00
20170911,130.39,130.39,130.39,130.39,-,0.01
20170908,130.38,130.37,130.38,130.37,-,0.01
20170907,130.37,130.37,130.37,130.37,-,-0.01
20170906,130.38,130.38,130.38,130.38,-,4.06
20170905,125.29,125.29,125.29,125.29,-,0.00
20170904,125.29,125.29,125.29,125.29,-,0.00
20170831,125.29,125.40,125.40,125.29,-,-0.09
20170830,125.40,125.40,125.40,125.40,-,0.36
20170829,124.95,124.95,124.95,124.95,-,-0.66
20170825,125.78,125.01,125.78,125.01,-,0.62
20170824,125.01,125.01,125.01,125.01,-,0.05
