fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,16076.71,16172.00,16172.00,16075.65,-,-1.00
20180126,16239.22,16227.23,16239.70,16180.69,202.11,0.22
20180125,16204.01,16309.41,16315.11,16194.33,234.94,-0.49
20180124,16284.21,16360.77,16365.02,16238.35,245.79,-0.45
20180123,16357.55,16341.98,16383.78,16252.41,234.09,0.06
20180122,16347.98,16348.90,16360.49,16303.39,205.28,-0.03
20180119,16353.46,16311.31,16364.27,16288.43,201.14,0.42
20180118,16284.47,16339.82,16344.05,16270.64,212.31,-0.26
20180117,16326.70,16320.79,16358.24,16277.59,221.46,0.17
20180116,16298.88,16368.64,16373.27,16270.94,246.63,-0.45
20180115,16371.81,16321.79,16384.52,16313.45,123.89,0.39
20180112,16308.18,16296.12,16323.46,16278.11,242.89,0.13
20180111,16286.94,16276.23,16301.42,16244.87,231.16,0.24
20180110,16247.95,16314.21,16341.14,16229.26,243.95,-0.44
20180109,16319.24,16351.35,16358.17,16309.82,236.91,0.01
20180108,16317.65,16355.44,16373.53,16297.86,166.10,-0.19
20180105,16349.44,16362.61,16370.26,16309.93,160.31,-0.39
20180104,16412.94,16385.37,16421.42,16344.90,195.98,0.25
20180103,16371.55,16336.70,16386.28,16322.61,196.86,0.38
20180102,16309.99,16213.37,16309.99,16181.04,157.07,0.62
20171229,16209.13,16232.24,16232.24,16162.28,179.57,-0.08
20171228,16221.95,16185.47,16221.95,16131.79,133.91,0.12
20171227,16203.13,16180.39,16207.52,16163.49,131.76,0.23
20171222,16165.27,16180.45,16197.00,16147.05,133.17,-0.11
20171221,16182.63,16138.99,16195.45,16111.61,159.27,0.14
20171220,16159.67,16163.87,16173.36,16099.65,178.80,0.16
20171219,16133.35,16172.07,16199.25,16133.35,191.02,0.01
20171218,16131.64,16107.79,16200.81,16099.59,172.51,0.56
20171215,16041.98,16035.60,16104.58,16035.60,414.09,0.16
20171214,16016.46,16124.36,16161.47,16008.53,187.15,-0.74
20171213,16136.59,16135.35,16187.85,16131.61,211.58,0.14
20171212,16114.03,16121.76,16142.80,16111.36,192.68,0.07
20171211,16103.51,16095.98,16124.83,16073.07,150.67,0.05
