fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,334.65,335.41,335.41,333.64,-,-0.23
20180126,335.41,337.43,337.43,335.41,-,-0.12
20180125,335.80,337.96,337.96,335.80,-,-1.09
20180124,339.49,341.50,341.50,339.49,-,-0.64
20180123,341.68,338.66,341.68,338.66,-,0.89
20180122,338.66,338.66,338.66,338.66,-,0.00
20180119,338.66,338.66,338.66,338.66,-,-1.04
20180118,342.21,335.84,342.21,335.84,-,1.14
20180117,338.36,335.39,338.36,335.39,-,-0.69
20180116,340.72,335.68,341.26,335.68,-,1.35
20180115,336.19,336.19,336.19,336.19,-,0.00
20180112,336.19,336.19,336.19,336.19,-,0.05
20180111,336.01,336.01,336.01,336.01,-,0.00
20180110,336.01,336.01,336.01,336.01,-,2.63
20180109,327.39,326.88,327.39,326.88,-,0.47
20180108,325.87,325.87,325.87,325.87,-,0.00
20180105,325.87,325.87,325.87,325.87,-,0.08
20180104,325.61,325.61,325.61,325.61,-,0.00
20180103,325.61,325.61,325.61,325.61,-,-0.00
20171229,325.62,325.62,325.62,325.62,-,0.00
20171228,325.62,325.62,325.62,325.62,-,0.00
20171227,325.62,325.62,325.62,325.62,-,0.16
20171222,325.09,325.09,325.09,325.09,-,0.00
20171221,325.09,326.53,326.53,325.09,-,-0.73
20171220,327.48,327.48,327.48,327.48,-,0.38
20171219,326.23,326.75,326.76,326.23,-,-0.17
20171218,326.78,323.63,326.78,323.63,-,0.50
20171215,325.16,325.16,325.16,325.16,-,0.00
20171214,325.16,325.16,325.16,325.16,-,0.00
20171213,325.16,323.75,326.99,323.75,-,0.44
20171212,323.72,319.88,323.72,319.88,-,0.43
20171211,322.33,327.07,327.60,322.33,-,-1.17
20171208,326.14,326.14,326.14,326.14,-,1.89
20171207,320.09,320.63,320.63,320.09,-,-0.15
20171206,320.57,320.57,320.57,320.57,-,0.01
20171205,320.54,320.54,320.54,320.54,-,0.00
20171204,320.54,320.54,320.54,320.54,-,0.00
20171201,320.54,320.54,320.54,320.54,-,-0.72
20171130,322.85,322.85,322.85,322.85,-,0.00
20171129,322.85,322.19,322.85,322.19,-,0.20
20171128,322.19,322.34,322.34,322.19,-,-0.05
20171127,322.34,322.19,322.34,322.19,-,-0.42
20171124,323.69,323.69,323.69,323.69,-,0.00
20171123,323.69,323.69,323.69,323.69,-,0.00
20171122,323.69,323.15,323.69,323.15,-,0.00
20171121,323.69,320.98,323.69,320.98,-,0.82
20171120,321.06,321.04,321.06,321.04,-,-0.65
20171116,323.16,321.05,323.16,321.05,-,1.20
20171115,319.32,316.19,319.32,316.19,-,1.14
20171114,315.71,315.71,315.71,315.71,-,-1.49
20171113,320.48,320.48,320.48,320.48,-,0.00
20171110,320.48,320.48,320.48,320.48,-,0.00
20171109,320.48,320.86,320.86,320.48,-,0.31
20171108,319.49,319.49,319.49,319.49,-,0.79
20171107,316.99,316.99,316.99,316.99,-,-1.56
20171106,322.01,317.84,322.01,317.84,-,1.07
20171103,318.60,318.60,318.60,318.60,-,0.00
20171102,318.60,320.51,320.51,318.60,-,-0.60
20171031,320.51,318.01,320.51,318.01,-,0.79
20171030,318.01,317.74,318.01,317.74,-,0.00
20171027,318.01,318.01,318.01,318.01,-,-0.12
20171026,318.39,318.39,318.39,318.39,-,0.00
20171025,318.39,322.90,322.90,318.39,-,-1.23
20171024,322.37,317.59,322.37,317.59,-,1.42
20171023,317.86,317.59,317.86,317.59,-,2.40
20171020,310.42,310.42,310.42,310.42,-,0.00
20171019,310.42,310.69,310.69,310.42,-,0.00
20171018,310.42,310.42,310.42,310.42,-,0.17
20171017,309.89,309.89,309.89,309.89,-,0.00
20171016,309.89,312.51,312.51,309.89,-,-0.84
20171013,312.51,312.51,312.51,312.51,-,-2.32
20171012,319.94,319.95,319.95,319.94,-,-0.75
20171011,322.35,317.32,322.35,317.32,-,1.76
20171010,316.79,316.79,316.79,316.79,-,-1.48
20171009,321.54,321.81,321.81,321.54,-,-0.36
20171006,322.71,322.71,322.71,322.71,-,-0.63
20171005,324.74,324.74,324.74,324.74,-,0.28
20171004,323.83,317.78,323.83,317.78,-,1.90
20171003,317.78,317.78,317.78,317.78,-,0.00
20171002,317.78,317.78,317.78,317.78,-,0.32
20170929,316.77,316.77,316.77,316.77,-,0.17
20170928,316.23,316.26,316.26,316.23,-,-0.28
20170927,317.12,319.76,319.76,317.10,-,-3.08
20170926,327.19,327.19,327.19,327.19,-,0.00
20170925,327.19,330.34,330.34,327.19,-,-1.48
20170922,332.09,333.45,335.97,332.09,-,-0.35
20170921,333.27,335.17,335.17,333.27,-,-0.56
20170920,335.16,335.17,335.68,335.16,-,1.15
20170919,331.36,331.36,331.36,331.36,-,0.61
20170918,329.35,328.86,331.36,328.86,-,-0.13
20170914,329.77,330.75,330.75,329.77,-,-0.15
20170913,330.25,330.25,330.25,330.25,-,0.16
20170912,329.71,333.07,333.57,329.71,-,-0.86
20170911,332.56,332.55,332.56,332.55,-,0.00
20170908,332.55,332.55,332.55,332.55,-,0.00
20170907,332.55,328.84,332.55,328.84,-,1.13
20170906,328.84,328.84,328.84,328.84,-,0.00
20170905,328.84,333.91,334.17,328.84,-,-1.60
20170904,334.17,334.17,334.17,334.17,-,0.23
20170831,333.39,333.92,333.92,333.39,-,-0.16
20170830,333.92,333.92,333.92,333.92,-,1.63
20170828,328.58,329.85,329.85,328.58,-,-0.39
20170825,329.87,329.87,329.87,329.87,-,0.00
20170824,329.87,338.09,338.35,329.87,-,-1.98
20170823,336.55,330.79,336.55,330.79,-,1.98
20170822,330.03,323.09,330.03,323.09,-,2.20
20170821,322.93,322.93,322.93,322.93,-,0.00
20170818,322.93,325.54,326.08,322.93,-,-0.80
20170817,325.54,325.54,325.54,325.54,-,-0.17
20170816,326.08,327.00,327.00,326.08,-,-2.28
20170815,333.69,327.00,333.69,327.00,-,2.05
20170814,327.00,336.43,336.43,327.00,-,-2.23
20170811,334.45,333.44,334.45,333.44,-,0.30
20170810,333.44,334.42,337.58,333.44,-,-0.59
20170809,335.43,334.42,335.43,334.42,-,0.00
20170808,335.43,334.15,335.43,334.15,-,-1.52
20170807,340.61,340.61,340.61,340.61,-,-0.13
20170804,341.07,338.04,341.07,338.04,-,0.90
20170803,338.04,336.52,338.04,336.52,-,-0.30
20170802,339.05,338.52,339.05,338.52,-,0.91
20170801,336.00,336.00,336.00,336.00,-,0.23
20170731,335.23,335.23,337.94,335.23,-,0.81
20170728,332.53,336.13,336.13,332.53,-,-1.07
20170727,336.13,336.13,336.13,336.13,-,0.06
20170726,335.92,335.92,335.92,335.92,-,0.00
20170725,335.92,335.92,335.92,335.92,-,0.00
20170724,335.92,335.92,335.92,335.92,-,-0.55
20170721,337.77,337.34,337.77,337.34,-,-0.40
20170720,339.14,339.14,339.14,339.14,-,0.93
20170719,336.00,331.09,336.36,330.87,-,1.49
20170718,331.08,331.10,331.31,331.08,-,-1.10
20170717,334.76,334.74,334.76,334.74,-,0.07
20170714,334.51,334.51,334.51,334.51,-,0.00
20170713,334.51,334.51,334.51,334.51,-,0.00
20170712,334.51,334.74,336.31,334.51,-,-0.07
20170711,334.74,334.96,334.96,334.74,-,-0.07
20170710,334.96,334.96,334.96,334.96,-,0.13
20170707,334.51,334.49,334.51,334.49,-,1.80
20170706,328.61,328.61,328.61,328.61,-,0.21
20170704,327.92,327.25,327.92,326.78,-,0.20
20170703,327.25,328.58,328.58,327.25,-,-0.48
20170630,328.84,327.51,328.84,327.51,-,4.93
20170629,313.40,313.40,313.40,313.40,-,0.00
20170628,313.40,312.88,313.40,311.55,-,1.06
20170627,310.10,308.75,310.10,308.75,-,0.58
20170626,308.30,308.30,308.30,308.30,-,0.00
20170623,308.30,307.83,308.30,307.83,-,0.15
20170622,307.83,307.83,307.83,307.83,-,-0.29
20170621,308.73,308.73,308.73,308.73,-,-0.15
20170620,309.20,309.20,309.20,309.20,-,0.00
20170619,309.20,309.20,309.20,309.20,-,0.00
20170616,309.20,309.20,309.21,309.20,-,-0.89
20170615,311.98,311.98,311.98,311.98,-,0.14
20170614,311.54,311.54,311.54,311.54,-,0.00
20170613,311.54,311.54,311.54,311.54,-,-0.55
20170612,313.25,313.25,313.25,313.25,-,0.29
20170609,312.35,309.58,312.35,309.58,-,0.69
20170608,310.22,310.22,310.22,310.22,-,0.90
20170607,307.44,307.44,307.44,307.44,-,0.17
20170606,306.92,306.92,306.92,306.92,-,0.00
20170605,306.92,306.92,306.92,306.92,-,0.00
20170602,306.92,306.92,306.92,306.92,-,0.00
20170601,306.92,306.92,306.92,306.92,-,0.92
20170531,304.13,304.13,304.13,304.13,-,0.00
20170530,304.13,306.19,306.19,304.13,-,-1.11
20170529,307.54,308.12,308.12,305.29,-,-0.19
20170526,308.12,307.65,308.12,307.65,-,-0.14
20170525,308.55,307.65,308.55,307.65,-,0.14
20170524,308.12,308.12,308.12,308.12,-,0.16
20170523,307.62,306.57,307.62,306.57,-,0.34
20170522,306.57,306.57,306.57,306.57,-,0.99
20170519,303.57,303.57,303.57,303.57,-,0.14
20170518,303.15,305.00,305.00,303.15,-,-0.61
20170517,305.00,305.00,305.00,305.00,-,0.17
20170516,304.47,304.47,304.47,304.47,-,-0.91
20170515,307.26,307.78,307.78,307.26,-,-0.46
20170512,308.68,308.68,308.68,308.68,-,0.17
20170511,308.16,308.16,308.16,308.16,-,0.00
20170510,308.16,306.36,308.16,306.36,-,0.06
20170509,307.99,307.99,307.99,307.99,-,0.00
20170505,307.99,307.99,307.99,307.99,-,-1.16
20170504,311.59,311.59,311.59,311.59,-,-0.44
20170503,312.96,312.96,312.96,312.96,-,0.01
20170502,312.94,312.94,312.94,312.94,-,0.16
20170428,312.44,312.94,312.96,312.44,-,-0.17
20170427,312.96,312.96,312.96,312.96,-,0.00
20170426,312.96,312.96,312.96,312.96,-,0.00
20170425,312.96,312.96,312.96,312.96,-,0.74
20170424,310.65,308.80,310.65,308.80,-,0.69
20170421,308.53,308.53,308.53,308.53,-,0.03
20170420,308.44,304.84,308.44,304.84,-,1.18
20170419,304.84,303.85,304.84,303.85,-,-0.32
20170418,305.83,301.26,305.83,301.26,-,-1.06
20170413,309.11,309.11,309.11,309.11,-,0.04
20170412,308.99,308.99,308.99,308.99,-,0.01
20170411,308.95,306.64,308.95,306.64,-,0.75
20170410,306.64,306.64,306.64,306.64,-,0.06
20170407,306.46,306.46,306.46,305.93,-,1.94
20170406,300.64,300.34,300.64,299.34,-,-1.86
20170405,306.34,305.29,306.34,305.29,-,-0.82
20170404,308.88,306.19,308.88,306.19,-,0.71
20170403,306.71,306.04,308.46,306.04,-,0.59
20170331,304.91,304.91,304.91,304.91,-,-0.15
20170330,305.38,305.38,305.38,304.85,-,0.00
20170329,305.38,305.38,305.38,305.38,-,0.17
20170328,304.85,307.62,307.62,304.85,-,-0.73
20170327,307.10,307.10,307.10,307.10,-,0.00
20170324,307.10,307.10,307.10,307.10,-,0.00
20170323,307.09,302.09,307.09,301.16,-,0.91
20170322,304.33,302.51,304.33,302.51,-,0.83
20170321,301.83,301.83,301.83,301.83,-,0.00
20170320,301.83,301.83,301.83,301.83,-,-0.61
20170317,303.67,304.19,304.19,303.67,-,-0.17
20170316,304.19,304.19,304.19,304.19,-,-0.49
20170315,305.69,305.69,305.69,305.69,-,0.00
20170314,305.69,305.69,305.69,305.69,-,-2.07
20170313,312.15,312.15,312.15,312.15,-,0.00
20170310,312.15,312.15,312.15,312.15,-,0.01
20170309,312.11,312.11,312.11,312.11,-,0.00
20170308,312.11,309.54,312.11,309.54,-,0.83
20170307,309.54,309.54,309.54,309.54,-,0.00
20170306,309.54,309.54,309.54,309.54,-,0.00
20170303,309.54,303.10,309.54,303.10,-,1.82
20170302,304.00,305.36,305.36,304.00,-,-0.60
20170301,305.84,307.89,307.89,305.32,-,-1.24
20170228,309.68,310.13,310.13,309.68,-,-0.15
20170227,310.13,310.13,310.13,310.13,-,0.01
20170224,310.11,306.82,310.11,306.29,-,0.77
20170223,307.73,306.84,307.73,306.84,-,0.37
20170222,306.60,309.19,309.19,306.59,-,-0.55
20170221,308.29,307.77,308.29,307.77,-,0.17
20170220,307.77,308.68,308.68,307.77,-,-1.30
20170217,311.82,308.77,311.82,308.77,-,1.58
20170216,306.97,307.49,307.49,306.97,-,-0.17
20170215,307.49,307.94,307.94,307.49,-,-0.15
20170214,307.94,307.94,307.94,307.94,-,0.30
20170213,307.02,307.04,307.94,307.02,-,-0.01
20170210,307.04,305.20,307.04,305.20,-,0.35
20170209,305.98,305.98,305.98,305.98,-,0.30
20170208,305.08,306.15,306.15,304.30,-,-0.90
20170207,307.86,307.60,307.86,307.60,-,-0.08
20170206,308.12,308.12,308.12,308.12,-,0.00
20170203,308.12,308.12,308.12,308.12,-,0.56
20170202,306.41,308.21,308.21,305.88,-,0.02
20170201,306.36,308.23,308.23,306.36,-,-0.27
20170131,307.18,307.71,312.21,307.18,-,-0.17
20170130,307.71,307.69,307.71,307.69,-,0.00
20170127,307.71,307.71,307.71,307.71,-,0.01
20170126,307.69,307.69,307.69,307.69,-,0.59
20170125,305.88,306.80,306.80,305.35,-,-0.88
20170124,308.59,308.59,308.59,308.59,-,0.00
20170123,308.59,307.16,308.59,307.16,-,-2.42
20170120,316.23,316.23,316.23,316.23,-,-0.00
20170119,316.24,316.24,316.24,316.24,-,0.17
20170118,315.70,315.70,315.70,315.70,-,0.00
20170117,315.70,315.70,315.70,315.70,-,-0.45
20170116,317.13,317.13,317.13,317.13,-,-0.17
20170113,317.67,318.12,318.12,317.67,-,-0.14
20170112,318.12,317.64,318.12,317.64,-,0.15
20170111,317.64,318.18,318.18,317.64,-,-0.32
20170110,318.66,318.66,318.66,318.66,-,0.00
20170109,318.66,318.66,318.66,318.66,-,-0.25
20170105,319.46,319.46,323.30,317.07,-,0.26
20170104,318.63,318.63,318.63,318.63,-,0.00
20170103,318.63,316.77,318.63,316.77,-,0.02
20170102,318.57,318.57,318.57,318.57,-,0.00
20161230,318.57,318.57,318.57,318.57,-,0.74
20161229,316.23,316.23,316.23,316.23,-,-0.73
20161228,318.57,318.57,318.57,318.57,-,0.00
20161227,318.57,318.04,318.57,318.04,-,0.17
20161223,318.04,318.04,318.04,318.04,-,0.00
20161222,318.04,318.04,318.04,318.04,-,0.00
20161221,318.04,318.04,318.04,318.04,-,0.84
20161220,315.39,315.39,315.39,315.39,-,-0.83
20161219,318.04,316.24,318.04,316.24,-,0.86
20161216,315.34,317.14,317.14,315.34,-,-0.57
20161215,317.14,312.83,317.14,312.83,-,1.32
20161214,313.01,313.01,313.01,313.01,-,0.00
20161213,313.01,313.01,313.01,313.01,-,0.00
20161212,313.01,303.12,313.01,303.12,-,3.26
20161209,303.12,303.12,303.12,303.12,-,0.00
20161208,303.12,303.65,303.65,303.12,-,-0.60
20161207,304.95,304.95,304.95,304.95,-,0.00
20161206,304.95,306.75,306.75,304.95,-,-2.74
20161205,313.55,313.55,313.55,313.55,-,-0.00
20161202,313.56,305.57,313.56,305.57,-,2.61
20161201,305.57,306.05,306.05,305.57,-,0.12
20161130,305.20,304.85,305.20,304.00,-,0.07
20161129,305.00,311.81,311.81,305.00,-,-2.18
