fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,2246.19,2246.19,2246.19,2246.19,-,-0.31
20180126,2253.28,2253.28,2253.28,2253.28,-,-0.47
20180125,2263.91,2263.91,2263.91,2263.91,-,-0.20
20180124,2268.53,2268.53,2268.53,2268.53,-,0.12
20180123,2265.76,2265.76,2265.76,2265.76,-,0.19
20180122,2261.43,2261.43,2261.43,2261.43,-,0.16
20180119,2257.80,2257.80,2257.80,2257.80,-,0.01
20180116,2257.47,2257.47,2257.47,2257.47,-,-0.08
20180115,2259.17,2259.17,2259.17,2259.17,-,0.01
20180112,2258.84,2258.84,2258.84,2258.84,-,0.44
20180111,2248.87,2248.87,2248.87,2248.87,-,0.32
20180110,2241.71,2241.71,2241.71,2241.71,-,0.28
20180109,2235.37,2235.37,2235.37,2235.37,-,0.30
20180108,2228.74,2228.74,2228.74,2228.74,-,0.24
20180105,2223.49,2223.49,2223.49,2223.49,-,0.13
20180104,2220.52,2220.52,2220.52,2220.52,-,0.22
20180103,2215.67,2215.67,2215.67,2215.67,-,0.61
20171229,2202.14,2202.14,2202.14,2202.14,-,0.29
20171228,2195.84,2195.84,2195.84,2195.84,-,0.14
20171227,2192.72,2192.72,2192.72,2192.72,-,-0.02
20171226,2193.07,2193.07,2193.07,2193.07,-,0.02
20171222,2192.68,2192.68,2192.68,2192.68,-,-0.13
20171221,2195.53,2195.53,2195.53,2195.53,-,0.28
20171220,2189.30,2189.30,2189.30,2189.30,-,0.34
20171219,2181.98,2181.98,2181.98,2181.98,-,0.27
20171218,2176.06,2176.06,2176.06,2176.06,-,0.96
20171215,2155.47,2155.47,2155.47,2155.47,-,0.12
20171214,2152.94,2152.94,2152.94,2152.94,-,-0.19
20171213,2156.97,2156.97,2156.97,2156.97,-,-0.23
20171212,2162.00,2162.00,2162.00,2162.00,-,-0.14
20171211,2164.97,2164.97,2164.97,2164.97,-,0.04
20171208,2164.19,2164.19,2164.19,2164.19,-,-0.45
20171207,2173.92,2173.92,2173.92,2173.92,-,-0.19
20171206,2178.14,2178.14,2178.14,2178.14,-,0.04
20171205,2177.21,2177.21,2177.21,2177.21,-,-0.00
20171204,2177.24,2177.24,2177.24,2177.24,-,-0.18
20171201,2181.27,2181.27,2181.27,2181.27,-,0.06
20171130,2179.89,2179.89,2179.89,2179.89,-,-1.01
20171129,2202.10,2198.90,2202.10,2198.90,-,-0.43
20171128,2211.62,2211.62,2211.62,2211.62,-,-0.28
20171127,2217.91,2217.91,2217.91,2217.91,-,-0.12
20171124,2220.59,2220.59,2220.59,2220.59,-,-0.08
20171123,2222.47,2222.47,2222.47,2222.47,-,0.06
20171122,2221.08,2221.08,2221.08,2221.08,-,0.06
20171121,2219.75,2219.75,2219.75,2219.75,-,-0.08
20171120,2221.50,2221.50,2221.50,2221.50,-,-0.05
20171117,2222.58,2222.58,2222.58,2222.58,-,0.22
20171116,2217.78,2217.78,2217.78,2217.78,-,0.29
20171115,2211.28,2211.28,2211.28,2211.28,-,0.38
20171114,2202.89,2202.89,2202.89,2202.89,-,-0.21
20171113,2207.42,2207.42,2207.42,2207.42,-,-0.35
20171110,2215.13,2215.13,2215.13,2215.13,-,0.44
20171109,2205.51,2205.51,2205.51,2205.51,-,0.16
20171108,2201.97,2201.97,2201.97,2201.97,-,0.18
20171107,2197.97,2197.97,2197.97,2197.97,-,0.04
20171106,2197.09,2197.09,2197.09,2197.09,-,-0.03
