fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,36283.25,36106.36,36443.98,36093.36,17.38k,0.65
20180125,36050.44,36208.39,36247.02,35823.35,15.62k,-0.31
20180124,36161.64,36161.62,36268.19,36036.51,26.04k,0.06
20180123,36139.98,35868.19,36170.83,35863.98,27.82k,0.96
20180122,35798.01,35613.97,35827.70,35544.68,14.14k,0.81
20180119,35511.58,35339.11,35542.17,35221.16,36.30k,0.71
20180118,35260.29,35366.45,35507.36,35166.44,16.17k,0.51
20180117,35081.82,34753.80,35118.61,34700.82,36.09k,0.89
20180116,34771.05,34877.71,34936.03,34735.55,55.31k,-0.21
20180115,34843.51,34687.21,34963.69,34687.21,15.00k,0.73
20180112,34592.39,34578.99,34638.42,34342.16,8.02k,0.26
20180111,34503.49,34471.48,34558.88,34400.61,8.25k,0.20
20180110,34433.07,34538.78,34565.63,34311.63,8.75k,-0.03
20180109,34443.19,34431.61,34488.03,34343.41,11.48k,0.26
20180108,34352.79,34216.33,34385.67,34216.33,13.90k,0.58
20180105,34153.85,34021.27,34188.85,34020.84,15.20k,0.54
20180104,33969.64,33912.49,33995.40,33802.13,10.82k,0.52
20180103,33793.38,33929.61,33998.37,33765.43,9.33k,-0.06
20180102,33812.26,33913.55,33964.14,33703.37,10.95k,-0.00
20180101,33812.75,34059.99,34101.13,33766.15,7.74k,-0.72
20171229,34056.83,33889.39,34086.05,33889.39,12.46k,0.62
20171228,33848.03,33928.86,34023.65,33752.03,9.81k,-0.19
20171227,33911.81,34087.32,34137.97,33839.51,11.17k,-0.29
20171226,34010.61,33980.76,34061.88,33889.75,13.31k,0.21
20171222,33940.30,33768.47,33964.28,33767.73,7.97k,0.55
20171221,33756.28,33826.25,33860.99,33707.80,10.23k,-0.06
20171220,33777.38,33928.59,33956.31,33754.94,7.31k,-0.18
20171219,33836.74,33732.08,33862.07,33666.62,21.23k,0.70
20171218,33601.68,33364.52,33801.90,32595.63,21.79k,0.41
20171215,33462.97,33456.02,33621.96,33405.82,24.90k,0.65
20171214,33246.70,33114.69,33321.52,32886.93,11.53k,0.59
20171213,33053.04,33229.73,33404.26,32988.82,25.29k,-0.53
20171212,33227.99,33426.59,33458.41,33179.75,8.46k,-0.68
20171211,33455.79,33317.72,33535.97,33313.17,12.44k,0.62
20171208,33250.30,33034.20,33285.68,33034.20,14.60k,0.91
20171207,32949.21,32615.05,32992.45,32598.12,9.79k,1.08
20171206,32597.18,32798.50,32804.75,32565.16,9.91k,-0.63
20171205,32802.44,32814.03,32893.05,32682.52,8.88k,-0.20
20171204,32869.72,32968.02,33008.47,32785.76,9.91k,0.11
20171201,32832.94,33247.66,33300.81,32797.78,9.52k,-0.95
20171130,33149.35,33542.50,33576.20,33108.72,7.64k,-1.35
20171129,33602.76,33664.27,33728.81,33553.12,6.82k,-0.05
20171128,33618.59,33726.65,33770.15,33576.65,8.26k,-0.31
20171127,33724.44,33640.51,33745.17,33540.46,9.16k,0.13
20171124,33679.24,33670.00,33738.53,33639.98,7.97k,0.27
20171123,33588.08,33575.91,33670.19,33468.30,7.25k,0.08
20171122,33561.55,33569.07,33654.53,33465.23,13.54k,0.25
20171121,33478.35,33438.28,33625.05,33437.61,15.31k,0.36
20171120,33359.90,33365.84,33449.53,33288.21,8.06k,0.05
20171117,33342.80,33388.47,33520.82,33278.91,11.55k,0.71
20171116,33106.82,32829.82,33165.15,32829.82,9.91k,1.06
20171115,32760.44,32944.94,32944.94,32683.59,11.55k,-0.55
20171114,32941.87,32990.03,33126.55,32907.11,12.43k,-0.28
20171113,33033.56,33397.41,33417.30,32999.98,18.83k,-0.84
20171110,33314.56,33235.75,33380.42,33108.09,21.92k,0.19
20171109,33250.93,33376.62,33463.80,33111.54,14.49k,0.10
20171108,33218.81,33417.35,33484.70,33157.68,291.82k,-0.46
20171107,33370.76,33781.01,33865.95,33341.82,16.77k,-1.07
20171106,33731.19,33710.15,33848.42,33582.38,13.53k,0.14
20171103,33685.56,33667.34,33733.71,33531.94,205.90k,0.33
20171102,33573.22,33615.84,33657.57,33527.00,12.84k,-0.08
20171101,33600.27,33344.23,33651.52,33340.62,14.63k,1.17
20171031,33213.13,33254.93,33294.30,33164.28,11.91k,-0.16
20171030,33266.16,33260.10,33340.17,33206.93,14.42k,0.33
20171027,33157.22,33228.32,33286.51,33109.41,18.92k,0.03
20171026,33147.13,33025.17,33196.17,32835.06,16.01k,0.32
20171025,33042.50,32995.28,33117.33,32804.60,30.82k,1.33
20171024,32607.34,32619.26,32670.37,32502.08,8.74k,0.31
20171023,32506.72,32411.86,32614.89,32312.74,8.65k,-0.20
20171019,32572.93,32656.75,32663.06,32533.89,0.23k,-0.04
20171018,32584.35,32518.56,32670.32,32462.85,14.50k,-0.08
20171017,32609.16,32654.41,32699.86,32556.74,5.74k,-0.08
20171016,32633.64,32488.23,32687.32,32445.43,9.46k,0.62
20171013,32432.69,32247.74,32508.59,32247.74,15.97k,0.78
20171012,32182.22,31887.47,32209.03,31813.67,8.02k,1.09
20171011,31833.99,31975.59,32098.46,31769.40,8.87k,-0.28
20171010,31924.41,31910.82,31994.77,31896.90,7.37k,0.24
20171009,31846.89,31862.20,31935.63,31781.75,6.05k,0.10
20171006,31814.22,31633.34,31844.28,31632.81,8.59k,0.70
20171005,31592.03,31725.85,31772.41,31562.25,6.14k,-0.25
20171004,31671.71,31522.17,31752.16,31457.78,6.12k,0.55
20171003,31497.38,31537.81,31615.28,31440.48,7.30k,0.68
20170929,31283.72,31367.25,31523.87,31243.71,7.91k,0.00
20170928,31282.48,31216.36,31340.91,31081.83,8.56k,0.39
20170927,31159.81,31785.24,31797.46,31100.80,10.13k,-1.39
20170926,31599.76,31685.81,31693.59,31455.65,10.29k,-0.08
20170925,31626.63,31986.40,32016.52,31474.56,12.59k,-0.93
20170922,31922.44,32339.50,32342.81,31886.09,9.90k,-1.38
20170921,32370.04,32406.42,32462.61,32164.42,9.02k,-0.09
20170920,32400.51,32467.10,32499.88,32383.82,10.76k,-0.01
20170919,32402.37,32522.44,32524.11,32358.63,59.19k,-0.07
20170918,32423.76,32361.37,32508.06,32361.25,9.83k,0.47
20170915,32272.61,32207.63,32356.11,32138.38,9.23k,0.10
20170914,32241.93,32289.26,32328.61,32186.84,9.42k,0.17
20170913,32186.41,32188.95,32348.30,32126.77,9.16k,0.09
20170912,32158.66,32029.15,32172.46,31950.24,7.20k,0.87
20170911,31882.16,31798.31,31952.87,31797.89,9.05k,0.61
20170908,31687.52,31694.15,31763.70,31619.00,8.00k,0.08
20170907,31662.74,31738.74,31814.96,31620.44,10.50k,0.00
20170906,31661.97,31713.50,31727.85,31586.53,7.55k,-0.46
20170905,31809.55,31755.16,31863.47,31674.23,8.22k,0.34
20170904,31702.25,31932.20,31932.20,31560.32,7.80k,-0.60
20170901,31892.23,31769.34,31944.10,31707.27,6.77k,0.51
20170831,31730.49,31685.44,31757.18,31551.85,18.50k,0.27
20170830,31646.46,31534.57,31727.98,31533.02,5.57k,0.82
20170829,31388.39,31724.84,31739.80,31360.81,6.99k,-1.14
20170828,31750.82,31756.87,31809.70,31701.67,10.45k,0.49
20170824,31596.06,31673.44,31678.19,31546.05,9.22k,0.09
20170823,31568.01,31407.47,31593.39,31379.25,10.28k,0.88
20170822,31291.85,31393.93,31484.28,31241.50,11.14k,0.11
20170821,31258.85,31609.93,31641.81,31220.53,24.33k,-0.84
20170818,31524.68,31729.88,31729.88,31349.13,16.88k,-0.85
20170817,31795.46,31919.17,31937.51,31714.10,8.83k,0.08
20170816,31770.89,31566.24,31805.99,31399.35,12.91k,1.02
20170814,31449.03,31299.52,31526.40,31298.90,9.95k,0.75
20170811,31213.59,31355.92,31379.20,31128.02,15.66k,-1.01
20170810,31531.33,31750.73,31756.27,31422.80,13.41k,-0.84
20170809,31797.84,31926.14,31967.28,31731.91,9.63k,-0.68
20170808,32014.19,32341.05,32354.77,31915.20,9.65k,-0.80
20170807,32273.67,32377.80,32396.14,32235.82,10.69k,-0.16
20170804,32325.41,32191.12,32352.19,32107.99,11.61k,0.27
20170803,32237.88,32502.55,32502.55,32194.58,12.96k,-0.74
20170802,32476.74,32641.58,32686.48,32394.89,10.77k,-0.30
20170801,32575.17,32579.80,32632.02,32462.25,9.28k,0.19
20170731,32514.94,32412.20,32546.50,32324.45,13.48k,0.63
20170728,32309.88,32381.36,32381.36,32104.66,11.62k,-0.23
20170727,32383.30,32519.44,32672.66,32325.33,11.21k,0.00
20170726,32382.46,32255.99,32413.63,32226.08,12.84k,0.48
20170725,32228.27,32350.71,32374.30,32196.86,14.53k,-0.05
20170724,32245.87,32100.22,32320.86,32058.33,11.90k,0.68
20170721,32028.89,32035.88,32062.23,31808.93,18.56k,0.39
20170720,31904.40,32033.82,32057.12,31859.50,11.51k,-0.16
20170719,31955.35,31882.80,31978.89,31793.72,11.73k,0.77
20170718,31710.99,31775.54,31911.61,31626.44,22.31k,-1.13
20170717,32074.78,32053.98,32131.92,32037.21,10.64k,0.17
20170714,32020.75,32099.93,32109.75,31897.87,7.40k,-0.05
20170713,32037.38,31896.23,32091.52,31892.63,10.84k,0.73
20170712,31804.82,31813.24,31865.69,31731.43,8.65k,0.18
20170711,31747.09,31789.50,31885.11,31718.48,9.41k,0.10
20170710,31715.64,31510.62,31768.39,31471.41,39.12k,1.13
20170707,31360.63,31373.52,31426.29,31286.62,6.42k,-0.03
20170706,31369.34,31298.42,31460.70,31264.86,10.35k,0.40
20170705,31245.56,31272.72,31284.64,31177.78,6.65k,0.11
20170704,31209.79,31331.21,31353.46,31166.37,9.02k,-0.04
20170703,31221.62,31156.04,31258.33,31017.11,8.27k,0.97
20170630,30921.61,30824.97,30965.45,30680.66,9.47k,0.21
20170629,30857.52,30910.97,31097.92,30794.61,12.70k,0.08
20170628,30834.32,30988.87,31000.48,30798.70,10.24k,-0.40
20170627,30958.25,31194.68,31294.96,30847.08,15.80k,-0.58
20170623,31138.21,31352.57,31365.39,31110.39,92.47k,-0.49
20170622,31290.74,31351.53,31522.87,31255.63,10.47k,0.02
20170621,31283.64,31302.18,31336.44,31193.61,36.84k,-0.04
20170620,31297.53,31392.53,31392.53,31261.49,8.25k,-0.04
20170619,31311.57,31168.98,31362.15,31163.35,7.66k,0.82
20170616,31056.40,31160.47,31182.73,31017.18,13.65k,-0.06
20170615,31075.73,31222.89,31229.44,31026.48,13.06k,-0.26
20170614,31155.91,31147.69,31190.36,31054.94,13.11k,0.17
20170613,31103.49,31091.10,31260.77,31062.34,13.72k,0.03
