fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,3523.00,3563.64,3587.03,3510.27,23.60b,-0.99
20180126,3558.13,3535.49,3574.90,3534.20,22.27b,0.28
20180125,3548.31,3555.17,3571.48,3528.03,24.34b,-0.31
20180124,3559.47,3553.48,3569.49,3527.11,25.30b,0.37
20180123,3546.50,3504.34,3547.22,3504.34,23.87b,1.29
20180122,3501.36,3476.99,3503.39,3475.67,21.75b,0.39
20180119,3487.86,3481.62,3498.43,3474.29,24.75b,0.38
20180118,3474.75,3449.88,3476.55,3448.79,22.00b,0.87
20180117,3444.67,3438.58,3465.20,3430.51,26.10b,0.24
20180116,3436.59,3403.47,3437.58,3401.96,21.15b,0.77
20180115,3410.49,3428.95,3442.50,3402.31,23.20b,-0.54
20180112,3428.94,3423.88,3435.42,3417.98,17.41b,0.11
20180111,3425.34,3415.59,3426.48,3405.64,17.38b,0.10
20180110,3421.83,3414.11,3430.21,3398.84,20.91b,0.23
20180109,3413.90,3406.11,3417.23,3403.59,19.15b,0.13
20180108,3409.48,3391.55,3412.73,3384.56,23.62b,0.52
20180105,3391.75,3386.46,3402.07,3380.24,21.31b,0.18
20180104,3385.71,3371.00,3392.83,3365.30,20.70b,0.49
20180103,3369.11,3347.74,3379.92,3345.29,21.38b,0.62
20180102,3348.33,3314.03,3349.05,3314.03,20.23b,1.24
20171229,3307.17,3295.25,3308.22,3292.77,14.16b,0.33
20171228,3296.38,3272.29,3304.10,3263.73,17.54b,0.63
20171227,3275.78,3302.46,3307.08,3270.35,16.27b,-0.92
20171226,3306.12,3277.84,3307.30,3274.33,14.24b,0.78
20171225,3280.46,3296.21,3312.30,3270.44,14.69b,-0.50
20171222,3297.06,3297.69,3307.33,3293.44,12.40b,-0.09
20171221,3300.06,3281.12,3309.22,3267.40,14.21b,0.38
20171220,3287.61,3296.74,3300.21,3276.12,13.77b,-0.27
20171219,3296.54,3266.02,3296.94,3266.02,11.51b,0.88
20171218,3267.92,3268.03,3280.54,3254.18,12.07b,0.05
20171215,3266.14,3287.53,3287.53,3259.39,13.09b,-0.80
20171214,3292.44,3302.93,3309.53,3282.57,12.05b,-0.32
20171213,3303.04,3278.40,3304.01,3273.32,11.20b,0.68
20171212,3280.81,3320.31,3320.31,3280.33,12.46b,-1.25
20171211,3322.20,3290.49,3322.67,3288.29,13.20b,0.98
20171208,3289.99,3264.48,3297.13,3258.76,13.32b,0.55
20171207,3272.05,3283.28,3291.28,3259.16,13.21b,-0.67
20171206,3293.96,3291.31,3296.20,3254.61,15.16b,-0.29
20171205,3303.68,3301.69,3315.74,3300.51,20.83b,-0.18
20171204,3309.62,3310.38,3324.00,3304.10,14.81b,-0.24
20171201,3317.62,3315.11,3324.52,3302.44,13.92b,0.01
20171130,3317.19,3328.64,3340.92,3306.28,15.66b,-0.62
20171129,3337.86,3335.57,3343.06,3305.57,18.38b,0.13
20171128,3333.66,3311.23,3333.80,3300.78,13.82b,0.34
20171127,3322.23,3346.66,3347.05,3315.26,16.64b,-0.94
20171124,3353.82,3340.38,3360.75,3328.33,15.96b,0.06
20171123,3351.92,3425.01,3429.42,3342.33,21.53b,-2.29
20171122,3430.46,3417.33,3442.18,3404.29,21.36b,0.59
20171121,3410.50,3382.36,3419.80,3377.60,19.69b,0.53
20171120,3392.40,3361.36,3393.11,3337.12,17.65b,0.28
20171117,3382.91,3392.68,3403.29,3373.30,24.95b,-0.48
20171116,3399.25,3393.19,3409.65,3390.59,15.67b,-0.10
20171115,3402.52,3416.21,3423.75,3396.38,16.88b,-0.79
20171114,3429.55,3446.55,3450.49,3419.69,19.65b,-0.53
20171113,3447.84,3435.18,3449.16,3435.08,20.54b,0.44
20171110,3432.67,3423.18,3438.79,3414.33,18.93b,0.14
20171109,3427.79,3410.67,3428.77,3408.62,15.86b,0.36
20171108,3415.46,3409.15,3434.49,3404.88,18.54b,0.06
20171107,3413.57,3389.47,3415.15,3387.95,19.06b,0.75
20171106,3388.17,3369.68,3389.38,3356.53,15.46b,0.49
20171103,3371.74,3377.74,3380.57,3347.36,17.27b,-0.34
20171102,3383.31,3391.65,3391.65,3372.21,16.69b,-0.37
20171101,3395.91,3393.97,3410.35,3388.60,18.06b,0.08
20171031,3393.34,3381.00,3397.10,3376.12,15.35b,0.09
20171030,3390.34,3413.87,3419.73,3357.28,20.83b,-0.77
20171027,3416.81,3404.50,3421.10,3402.11,17.03b,0.27
20171026,3407.57,3397.52,3414.24,3391.45,18.38b,0.31
20171025,3396.90,3384.86,3398.30,3382.03,12.31b,0.26
20171024,3388.25,3376.60,3388.69,3374.12,13.99b,0.22
20171023,3380.70,3382.28,3385.29,3374.70,13.08b,0.06
20171020,3378.65,3363.51,3379.77,3360.10,12.72b,0.25
20171019,3370.17,3374.64,3378.74,3359.63,15.85b,-0.34
20171018,3381.79,3373.53,3383.23,3371.92,15.72b,0.29
20171017,3372.04,3373.23,3382.41,3365.56,12.54b,-0.19
20171016,3378.47,3393.21,3400.51,3374.77,17.43b,-0.36
20171013,3390.52,3384.49,3395.75,3383.24,14.00b,0.13
20171012,3386.10,3385.53,3390.20,3372.53,16.18b,-0.06
20171011,3388.28,3381.49,3395.78,3379.16,18.15b,0.16
20171010,3382.99,3373.34,3384.03,3358.80,17.94b,0.26
20171009,3374.38,3403.25,3410.17,3366.97,19.17b,0.76
20170929,3348.94,3340.31,3357.02,3340.31,14.49b,0.28
20170928,3339.64,3343.84,3344.60,3336.18,14.94b,-0.17
20170927,3345.27,3340.82,3349.69,3340.30,14.31b,0.05
20170926,3343.58,3336.35,3347.16,3332.60,13.26b,0.06
20170925,3341.55,3344.59,3350.96,3334.94,16.96b,-0.33
20170922,3352.53,3347.16,3356.45,3334.98,17.92b,-0.16
20170921,3357.81,3364.70,3377.88,3356.88,19.74b,-0.24
20170920,3366.00,3352.18,3370.10,3346.54,19.22b,0.27
20170919,3356.84,3365.53,3370.40,3344.71,19.11b,-0.18
20170918,3362.86,3352.51,3371.75,3352.51,19.03b,0.28
20170915,3353.62,3365.15,3365.53,3345.33,21.98b,-0.53
20170914,3371.43,3383.47,3391.64,3361.33,22.13b,-0.38
20170913,3384.15,3374.72,3387.14,3366.54,19.46b,0.14
20170912,3379.49,3381.49,3391.07,3370.85,27.29b,0.09
20170911,3376.42,3365.35,3384.81,3360.05,21.90b,0.33
20170908,3365.24,3364.43,3380.89,3353.69,19.84b,-0.01
20170907,3365.50,3383.63,3387.80,3363.18,22.11b,-0.59
20170906,3385.39,3372.43,3391.01,3364.76,22.91b,0.03
20170905,3384.32,3377.20,3390.82,3371.57,21.66b,0.14
20170904,3379.58,3369.72,3381.40,3359.13,26.74b,0.37
20170901,3367.12,3365.99,3381.93,3358.47,28.25b,0.19
20170831,3360.81,3361.46,3367.36,3340.69,23.44b,-0.08
20170830,3363.63,3361.82,3376.65,3357.08,24.69b,-0.05
20170829,3365.23,3362.06,3374.59,3354.46,21.95b,0.08
20170828,3362.65,3336.13,3375.03,3336.13,25.75b,0.93
20170825,3331.52,3271.46,3331.91,3271.46,20.58b,1.83
20170824,3271.51,3287.96,3297.99,3266.36,16.35b,-0.49
20170823,3287.70,3283.80,3299.46,3274.44,17.98b,-0.08
20170822,3290.23,3287.61,3293.48,3274.94,18.65b,0.10
20170821,3286.91,3274.58,3287.52,3270.48,18.61b,0.56
20170818,3268.72,3253.24,3275.08,3248.08,19.11b,0.01
20170817,3268.43,3253.85,3269.14,3251.46,20.36b,0.68
20170816,3246.45,3247.85,3248.78,3228.87,17.69b,-0.15
20170815,3251.26,3235.23,3263.59,3235.10,18.23b,0.43
20170814,3237.36,3206.04,3240.05,3206.04,19.03b,0.90
20170811,3208.54,3237.92,3245.12,3200.75,26.30b,-1.63
20170810,3261.75,3269.73,3282.52,3236.18,24.07b,-0.42
20170809,3275.57,3277.81,3277.94,3263.85,23.56b,-0.19
20170808,3281.87,3277.19,3285.48,3269.66,25.20b,0.07
20170807,3279.46,3257.67,3280.10,3243.72,23.12b,0.53
20170804,3262.08,3269.32,3287.19,3261.31,27.59b,-0.33
20170803,3272.93,3279.99,3293.37,3262.16,23.33b,-0.37
20170802,3285.06,3288.52,3305.43,3282.04,26.67b,-0.23
20170801,3292.64,3274.37,3292.64,3273.50,23.72b,0.60
20170731,3273.03,3252.75,3276.95,3251.19,24.60b,0.61
20170728,3253.24,3240.17,3256.37,3232.96,18.22b,0.11
20170727,3249.78,3243.76,3251.93,3220.64,22.85b,0.06
20170726,3247.67,3244.46,3264.85,3228.04,21.35b,0.12
20170725,3243.69,3249.14,3261.65,3233.14,20.56b,-0.21
20170724,3250.60,3230.90,3261.10,3230.07,23.31b,0.39
20170721,3237.98,3236.59,3247.71,3231.96,20.60b,-0.21
20170720,3244.86,3227.51,3246.24,3225.43,23.21b,0.43
20170719,3230.98,3181.40,3232.94,3179.73,27.24b,1.36
20170718,3187.57,3159.73,3187.67,3150.13,19.06b,0.35
20170717,3176.46,3219.79,3230.35,3139.50,26.62b,-1.43
20170714,3222.42,3212.03,3222.98,3204.85,16.01b,0.13
20170713,3218.16,3192.36,3219.27,3190.34,19.53b,0.64
20170712,3197.54,3201.93,3215.20,3177.93,18.69b,-0.17
20170711,3203.04,3201.52,3226.91,3199.22,18.78b,-0.30
20170710,3212.63,3208.46,3223.34,3203.21,19.89b,-0.17
20170707,3217.96,3203.82,3219.52,3195.29,17.67b,0.17
