fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,3577.07,3577.42,3591.18,3575.79,176.04,0.28
20180126,3567.14,3574.09,3576.34,3561.19,197.00,-0.15
20180125,3572.62,3609.52,3609.63,3565.27,236.50,-1.01
20180124,3609.24,3591.48,3611.69,3581.33,252.59,0.48
20180123,3592.08,3577.22,3594.70,3575.98,249.86,0.63
20180122,3569.43,3551.96,3569.43,3541.98,195.16,0.54
20180119,3550.36,3515.52,3552.04,3514.71,266.36,0.82
20180118,3521.31,3555.54,3561.45,3517.90,248.40,-0.58
20180117,3541.91,3543.36,3549.22,3534.89,259.90,-0.23
20180116,3550.21,3537.08,3557.04,3527.73,165.52,0.39
20180115,3536.41,3532.01,3539.17,3528.64,180.75,0.45
20180112,3520.56,3527.55,3530.69,3516.73,216.28,0.22
20180111,3512.68,3523.94,3523.94,3511.62,158.62,-0.22
20180110,3520.45,3518.76,3523.46,3511.03,190.08,-0.12
20180109,3524.65,3514.76,3531.56,3514.52,189.05,0.36
20180108,3512.18,3498.62,3514.76,3494.54,138.84,0.65
20180105,3489.45,3502.34,3503.68,3480.22,197.80,-0.33
20180104,3501.16,3476.43,3501.16,3465.95,407.46,1.06
20180103,3464.28,3434.70,3468.19,3432.87,186.27,0.99
20180102,3430.30,3406.48,3433.82,3403.87,180.13,0.80
20180101,3402.92,3402.92,3402.92,3402.92,-,0.00
20171229,3402.92,3400.91,3407.26,3390.47,190.53,0.11
20171228,3399.10,3391.61,3404.81,3390.86,106.95,0.22
20171227,3391.67,3383.38,3396.78,3380.92,95.63,0.40
20171226,3378.16,3383.98,3386.06,3370.22,101.67,-0.22
20171222,3385.71,3390.30,3397.07,3380.64,163.39,0.09
20171221,3382.53,3389.18,3395.63,3381.45,152.74,-0.36
20171220,3394.87,3403.70,3406.75,3389.01,186.62,-0.28
20171219,3404.47,3422.01,3426.23,3404.47,181.65,-0.30
20171218,3414.82,3422.90,3427.65,3404.12,159.95,-0.06
20171215,3416.94,3416.29,3424.54,3412.23,238.03,-0.55
20171214,3435.78,3469.28,3469.36,3428.38,155.90,-0.95
20171213,3468.77,3459.93,3469.07,3451.00,195.08,0.09
20171212,3465.54,3459.65,3465.54,3447.49,153.29,0.15
20171211,3460.45,3430.20,3463.02,3428.24,177.04,1.05
20171208,3424.64,3394.39,3431.64,3394.39,201.96,1.08
20171207,3388.14,3401.58,3409.62,3377.96,213.26,-0.27
20171206,3397.21,3426.59,3429.41,3387.73,234.02,-1.19
20171205,3438.06,3435.89,3455.97,3431.13,215.39,-0.01
20171204,3438.47,3449.48,3454.12,3434.19,141.11,-0.32
20171201,3449.54,3441.85,3462.78,3440.26,226.66,0.47
20171130,3433.54,3429.07,3441.19,3419.74,514.64,-0.16
20171129,3438.99,3447.80,3449.32,3431.61,173.92,-0.10
20171128,3442.35,3435.71,3443.64,3427.55,225.17,0.17
20171127,3436.36,3442.89,3445.62,3431.33,144.66,-0.17
20171124,3442.15,3430.08,3445.03,3421.86,146.84,0.55
20171123,3423.17,3439.04,3440.58,3417.26,150.71,-0.20
20171122,3430.02,3433.73,3442.78,3430.02,196.18,0.19
20171121,3423.38,3394.16,3429.79,3392.87,230.28,1.09
20171120,3386.59,3382.58,3390.97,3374.90,180.69,0.12
20171117,3382.38,3365.70,3385.33,3363.48,224.60,1.23
20171116,3341.30,3368.95,3376.12,3341.30,250.44,-0.81
20171115,3368.70,3390.96,3396.08,3366.61,225.22,-0.89
20171114,3399.09,3422.04,3422.46,3393.66,325.46,-0.59
20171113,3419.13,3414.92,3428.66,3413.67,209.57,-0.03
20171110,3420.10,3409.57,3431.07,3403.99,249.59,-0.11
20171109,3423.91,3420.26,3429.21,3409.11,276.30,0.08
20171108,3421.25,3409.33,3422.84,3402.35,213.17,0.24
20171107,3413.10,3389.89,3416.73,3389.89,223.98,0.92
20171106,3381.85,3380.36,3384.20,3368.10,176.33,-0.01
20171103,3382.31,3382.25,3383.60,3366.93,155.59,0.05
20171102,3380.50,3384.08,3393.93,3358.39,163.24,-0.33
20171101,3391.61,3377.19,3395.76,3374.58,281.31,0.52
20171031,3374.08,3364.00,3382.12,3364.00,252.92,-0.06
20171030,3375.97,3385.60,3392.15,3369.22,209.10,-0.31
20171027,3386.44,3361.21,3386.44,3360.76,283.83,0.90
20171026,3356.25,3331.68,3356.42,3331.68,230.62,0.37
20171025,3343.88,3328.82,3344.50,3327.18,179.31,0.28
20171024,3334.67,3348.45,3354.73,3333.41,177.40,-0.45
20171023,3349.80,3348.66,3360.95,3340.76,179.06,0.27
20171020,3340.73,3343.14,3347.08,3333.23,186.59,0.17
20171019,3334.91,3340.42,3354.27,3324.56,277.74,0.18
20171018,3329.03,3329.03,3329.03,3329.03,-,0.00
20171017,3329.03,3328.60,3342.37,3322.82,174.40,0.18
20171016,3323.06,3323.24,3333.98,3317.74,210.74,0.12
20171013,3319.11,3304.81,3326.67,3303.30,247.98,0.49
20171012,3303.09,3292.90,3306.36,3287.23,215.36,0.70
20171011,3280.28,3294.63,3301.07,3272.36,214.85,-0.26
20171010,3288.95,3292.37,3296.09,3278.43,170.73,-0.08
20171009,3291.56,3296.49,3300.88,3279.32,205.20,0.01
20171006,3291.29,3267.80,3291.29,3264.48,228.55,0.90
20171005,3261.84,3235.29,3264.62,3233.85,188.15,0.78
20171004,3236.65,3245.35,3247.02,3230.81,215.28,-0.29
20171003,3246.08,3269.49,3270.08,3232.06,181.08,-0.49
20171002,3262.10,3233.95,3264.89,3231.23,164.01,1.31
20170929,3219.91,3222.72,3225.26,3200.73,244.46,-0.22
20170928,3227.14,3242.95,3250.06,3220.07,198.69,-0.28
20170927,3236.15,3207.30,3242.37,3205.67,163.07,0.75
20170926,3212.04,3212.93,3217.31,3202.77,168.50,-0.12
20170925,3215.91,3231.86,3234.20,3213.68,156.28,-0.13
20170922,3220.25,3206.51,3222.05,3201.10,186.20,0.20
20170921,3213.82,3207.61,3218.80,3203.92,205.17,-0.13
20170920,3218.07,3220.77,3227.42,3213.66,140.87,-0.24
20170919,3225.95,3249.28,3251.47,3220.56,189.18,-0.49
20170918,3241.85,3230.38,3246.49,3225.48,185.24,1.01
20170915,3209.56,3211.27,3221.02,3193.41,294.30,-0.35
20170914,3220.95,3229.16,3230.39,3209.50,209.17,-0.29
20170913,3230.36,3234.84,3237.19,3221.10,194.16,-0.16
20170912,3235.69,3240.68,3240.94,3226.23,184.20,0.22
20170911,3228.51,3239.29,3240.90,3222.11,200.22,-0.00
20170908,3228.56,3226.65,3236.36,3218.34,190.94,0.02
20170907,3228.06,3241.94,3254.44,3226.90,198.31,-0.14
20170906,3232.47,3250.38,3254.89,3223.83,214.43,-0.58
20170905,3251.26,3238.03,3258.74,3236.93,155.72,0.63
20170904,3230.97,3274.39,3275.14,3227.36,279.95,-1.41
20170831,3277.26,3288.56,3288.94,3274.97,416.99,0.37
20170830,3265.26,3259.13,3269.74,3258.12,207.26,0.49
20170829,3249.34,3255.87,3263.39,3244.55,177.20,-0.56
20170828,3267.62,3255.52,3273.27,3252.29,132.75,0.25
20170825,3259.57,3276.41,3276.47,3257.80,171.92,-0.38
20170824,3272.16,3267.57,3276.22,3264.80,171.56,0.37
