fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,10555.60,10605.50,10605.70,10540.00,-,-0.38
20180126,10595.40,10598.60,10635.10,10563.20,139.54,0.00
20180125,10595.30,10564.60,10630.50,10559.70,183.93,0.31
20180124,10563.00,10595.30,10617.20,10563.00,129.49,-0.44
20180123,10609.50,10640.30,10643.40,10583.70,168.20,0.24
20180122,10584.00,10503.60,10601.90,10488.30,179.08,1.00
20180119,10479.50,10417.50,10500.10,10396.20,143.56,0.45
20180118,10432.70,10500.10,10509.20,10403.20,123.09,-0.40
20180117,10474.60,10475.60,10504.90,10441.20,144.36,-0.44
20180116,10520.40,10479.00,10572.90,10466.20,160.06,0.51
20180115,10467.20,10471.60,10493.70,10446.90,112.26,0.05
20180112,10462.40,10463.70,10492.20,10443.40,154.55,0.26
20180111,10435.20,10435.90,10475.00,10401.20,208.92,0.07
20180110,10428.30,10423.20,10474.90,10399.10,210.84,0.02
20180109,10426.50,10400.90,10461.90,10385.60,132.57,0.27
20180108,10398.40,10439.80,10456.90,10398.40,135.17,-0.12
20180105,10411.40,10343.10,10411.40,10343.10,145.84,0.94
20180104,10314.40,10154.60,10325.00,10151.00,189.79,1.96
20180103,10116.00,10101.40,10145.20,10083.60,137.80,0.37
20180102,10079.10,10089.60,10097.90,10017.00,146.99,0.35
20171229,10043.90,10091.30,10100.20,10028.70,118.04,-0.49
20171228,10093.10,10150.30,10162.80,10076.50,97.24,-0.71
20171227,10165.20,10167.20,10213.20,10138.80,96.22,-0.16
20171222,10182.00,10145.60,10235.80,10138.30,138.51,-1.19
20171221,10304.60,10192.60,10322.60,10144.40,152.66,0.95
20171220,10207.70,10242.00,10246.50,10140.50,129.67,-0.26
20171219,10234.30,10239.00,10283.50,10228.40,116.42,-0.10
20171218,10244.10,10197.90,10257.80,10188.10,178.89,0.92
20171215,10150.40,10156.70,10212.30,10113.80,321.60,-0.26
20171214,10176.50,10250.00,10293.10,10176.50,170.19,-0.82
20171213,10260.50,10300.20,10355.00,10260.50,132.94,-0.27
20171212,10288.30,10319.60,10326.20,10248.10,160.15,-0.18
20171211,10306.90,10339.30,10348.80,10285.10,141.87,-0.14
20171208,10321.10,10322.50,10380.30,10316.50,161.04,0.57
20171207,10262.60,10195.80,10271.20,10171.30,129.94,0.77
20171206,10184.00,10156.40,10201.80,10098.10,146.63,-0.27
20171205,10211.30,10204.60,10246.10,10162.30,132.39,0.03
20171204,10208.60,10182.80,10248.40,10127.60,143.88,1.23
20171201,10085.00,10225.50,10225.50,10083.80,183.51,-1.23
20171130,10211.00,10266.60,10323.10,10211.00,270.74,-0.55
20171129,10267.70,10221.80,10314.20,10211.10,216.02,1.22
20171128,10144.40,10083.80,10148.80,10059.50,117.47,0.81
20171127,10063.10,10027.40,10136.60,10014.40,114.37,0.10
20171124,10053.50,10044.90,10125.40,10036.60,111.15,0.21
20171123,10032.80,9994.10,10079.20,9983.20,118.61,0.19
20171122,10013.90,10010.20,10092.40,10005.80,124.90,0.21
20171121,9993.40,10017.40,10072.20,9989.30,146.58,-0.32
20171120,10025.50,9999.70,10061.80,9981.30,115.33,0.15
20171117,10010.40,10074.40,10087.50,9998.70,182.67,-0.78
20171116,10088.70,10074.00,10173.50,10043.10,161.04,0.75
20171115,10013.90,9920.60,10029.80,9889.40,178.55,0.24
20171114,9990.40,10063.60,10101.80,9970.90,143.16,-0.59
20171113,10049.90,10124.00,10124.00,9984.20,143.99,-0.42
20171110,10092.70,10138.60,10168.00,10075.80,158.36,-0.48
20171109,10141.10,10223.20,10244.70,10117.20,163.56,-0.86
20171108,10228.70,10236.20,10242.70,10155.40,173.57,-0.02
20171107,10230.70,10365.70,10376.20,10212.50,166.40,-0.83
20171106,10316.50,10358.10,10358.10,10264.00,131.98,-0.40
20171103,10357.80,10463.30,10464.30,10295.90,190.29,-0.96
20171102,10457.80,10509.00,10538.40,10403.20,155.34,-0.47
20171101,10506.70,10591.40,10594.20,10486.20,200.54,-0.16
20171031,10523.50,10463.20,10570.50,10438.10,238.02,0.74
20171030,10446.00,10321.20,10470.70,10293.00,266.08,2.44
20171027,10197.50,10354.30,10382.40,10136.90,290.37,-1.45
20171026,10347.80,10140.30,10422.70,10121.20,374.89,1.92
20171025,10153.30,10199.00,10273.40,10137.10,180.68,-0.51
20171024,10205.70,10150.60,10235.40,10148.30,157.49,0.44
20171023,10161.40,10202.40,10216.40,10141.40,145.12,-0.60
20171020,10222.70,10202.00,10249.00,10176.50,196.13,0.25
20171019,10197.50,10251.30,10276.60,10167.40,185.40,-0.74
20171018,10273.40,10237.00,10283.50,10165.40,181.89,0.55
20171017,10216.80,10164.90,10297.10,10134.00,167.14,0.35
20171016,10181.40,10244.40,10248.70,10153.90,155.27,-0.75
20171013,10258.00,10298.60,10299.70,10231.50,141.95,-0.17
20171012,10275.90,10284.50,10304.00,10244.80,117.36,-0.02
20171011,10278.40,10304.60,10313.10,10247.30,250.98,1.34
20171010,10142.30,10225.00,10225.00,10107.80,208.20,-0.92
20171009,10236.00,10210.60,10306.80,10206.10,173.27,0.50
20171006,10185.50,10185.20,10214.50,10116.60,207.01,-0.29
20171005,10214.70,9934.30,10259.90,9922.30,327.00,2.51
20171004,9964.90,10226.80,10226.80,9947.30,348.22,-2.85
20171003,10257.50,10250.60,10276.60,10151.10,173.27,0.02
20171002,10255.70,10262.30,10327.20,10185.90,249.45,-1.21
20170929,10381.50,10336.90,10381.50,10277.50,199.15,0.51
20170928,10328.50,10381.20,10406.50,10319.40,178.76,-0.39
20170927,10368.90,10221.30,10398.90,10216.70,218.24,1.76
20170926,10189.60,10203.80,10224.70,10166.70,118.76,-0.26
20170925,10216.50,10270.00,10272.40,10186.70,146.85,-0.86
20170922,10305.00,10286.60,10313.90,10270.90,130.09,0.08
20170921,10297.00,10318.20,10340.80,10266.80,149.86,0.05
20170920,10292.10,10349.00,10375.50,10248.40,146.94,-0.83
20170919,10378.40,10312.20,10399.10,10296.10,129.99,0.39
20170918,10338.40,10358.00,10410.20,10330.10,133.38,0.20
20170915,10317.40,10321.20,10370.80,10287.20,302.20,-0.42
20170914,10361.10,10352.70,10365.10,10284.30,156.38,-0.10
20170913,10371.00,10324.80,10395.10,10308.00,170.75,0.34
20170912,10336.20,10354.50,10372.50,10324.70,129.03,0.13
20170911,10322.60,10199.90,10343.50,10197.80,145.46,1.91
20170908,10129.60,10118.40,10165.70,10087.60,141.95,0.05
20170907,10124.90,10175.20,10189.50,10118.40,179.64,-0.06
20170906,10131.00,10130.90,10176.90,10096.80,132.35,-0.48
20170905,10179.80,10244.70,10287.60,10173.60,136.70,-0.62
20170904,10243.20,10234.10,10274.70,10229.80,83.20,-0.80
20170901,10325.50,10328.80,10366.50,10314.10,103.85,0.25
20170831,10299.50,10279.50,10354.30,10275.10,179.78,0.52
20170830,10245.80,10264.60,10274.30,10216.80,94.78,0.52
20170829,10192.60,10233.20,10244.70,10134.30,147.97,-0.91
20170828,10285.90,10313.70,10360.20,10284.20,51.54,-0.57
20170825,10345.30,10373.90,10419.80,10334.00,71.65,-0.12
20170824,10357.40,10378.70,10421.90,10357.20,98.55,0.19
20170823,10338.10,10414.00,10445.00,10309.80,95.49,-0.69
20170822,10409.80,10425.20,10440.40,10360.20,83.38,0.48
20170821,10360.20,10360.00,10418.20,10330.40,84.93,-0.25
20170818,10385.70,10323.60,10392.50,10284.80,129.45,-0.56
20170817,10443.80,10535.70,10537.10,10428.60,129.09,-0.95
20170816,10544.30,10521.00,10575.90,10517.40,95.93,0.60
20170815,10481.50,10489.00,10508.70,10436.70,79.39,0.19
20170814,10461.20,10329.40,10490.60,10329.30,108.13,1.73
20170811,10282.90,10377.30,10399.00,10252.40,163.18,-1.60
20170810,10450.00,10576.60,10584.30,10416.70,148.11,-1.38
20170809,10596.00,10681.40,10705.90,10525.10,153.53,-1.29
20170808,10734.70,10674.40,10758.20,10665.20,111.26,0.55
20170807,10676.50,10682.80,10689.80,10643.50,90.55,0.17
20170804,10658.40,10525.00,10696.10,10516.40,148.69,1.04
20170803,10549.10,10487.20,10553.80,10416.90,133.00,0.33
20170802,10513.90,10592.30,10607.80,10493.10,135.54,-0.69
20170801,10586.70,10613.40,10622.20,10510.90,150.97,0.80
20170731,10502.20,10536.60,10593.90,10495.40,166.10,-0.32
20170728,10536.10,10574.40,10577.30,10497.70,226.26,-0.63
20170727,10603.40,10549.30,10652.90,10544.40,161.51,0.26
20170726,10575.40,10523.80,10584.60,10508.50,152.25,0.49
20170725,10523.40,10451.20,10621.30,10446.20,206.50,0.74
20170724,10446.50,10432.00,10480.20,10368.10,161.23,0.19
20170721,10426.60,10530.70,10562.80,10381.20,207.71,-1.31
