fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,9457.27,9517.23,9528.32,9451.91,-,-0.61
20180126,9515.56,9500.05,9553.89,9496.66,43.98,0.34
20180125,9482.96,9517.92,9567.69,9474.24,61.61,-0.68
20180124,9547.57,9569.73,9616.38,9547.57,49.54,-0.04
20180123,9551.58,9543.99,9594.36,9529.11,56.02,0.24
20180122,9529.13,9500.35,9529.13,9475.06,53.18,0.20
20180119,9509.77,9452.82,9511.44,9447.51,67.48,0.61
20180118,9452.35,9486.82,9494.54,9432.49,49.96,0.13
20180117,9440.01,9427.60,9470.53,9422.05,53.73,-0.25
20180116,9464.05,9533.67,9567.24,9464.05,48.39,-0.77
20180115,9537.28,9534.66,9551.07,9511.71,30.98,-0.10
20180112,9546.61,9521.72,9561.59,9508.99,48.37,0.45
20180111,9503.85,9535.81,9554.92,9475.17,53.57,-0.22
20180110,9524.96,9588.48,9595.78,9506.27,50.88,-0.90
20180109,9611.61,9557.37,9611.61,9554.48,46.77,0.73
20180108,9541.73,9576.80,9584.52,9538.37,43.30,-0.16
20180105,9556.98,9543.13,9558.40,9527.05,53.40,0.50
20180104,9509.28,9497.24,9523.96,9467.86,50.32,0.32
20180103,9478.92,9436.96,9487.78,9394.47,57.99,1.03
20171229,9381.87,9377.06,9398.27,9358.13,24.36,-0.25
20171228,9405.80,9431.69,9436.55,9401.38,20.62,-0.26
20171227,9430.44,9386.20,9446.40,9386.20,27.27,0.38
20171222,9394.49,9409.61,9439.11,9388.04,26.42,-0.32
20171221,9424.67,9304.25,9433.46,9288.07,48.53,1.18
20171220,9314.83,9392.42,9407.56,9314.83,44.46,-0.90
20171219,9399.17,9452.72,9468.84,9399.17,42.23,-0.56
20171218,9452.32,9432.78,9460.15,9418.62,48.01,0.61
20171215,9394.71,9392.24,9416.37,9364.19,140.25,0.12
20171214,9383.02,9366.30,9416.16,9350.62,52.33,-0.12
20171213,9394.55,9331.33,9406.28,9323.58,50.75,0.35
20171212,9361.41,9319.68,9361.41,9286.59,41.19,0.50
20171211,9314.76,9336.80,9343.24,9306.61,48.16,-0.05
20171208,9319.16,9303.49,9330.57,9284.52,67.09,0.52
20171207,9270.57,9325.12,9342.67,9261.38,44.94,-0.42
20171206,9309.99,9228.04,9320.77,9214.37,43.93,0.23
20171205,9288.92,9316.06,9350.28,9282.74,52.10,-0.43
20171204,9328.63,9330.15,9384.01,9313.98,54.94,0.58
20171201,9274.55,9314.90,9365.55,9272.12,63.99,-0.47
20171130,9318.77,9304.05,9370.01,9287.92,92.01,0.15
20171129,9304.42,9347.54,9363.52,9302.38,56.38,-0.17
20171128,9320.44,9279.54,9327.75,9277.36,43.77,0.61
20171127,9264.39,9305.33,9341.04,9264.39,43.90,-0.66
20171124,9325.60,9324.02,9350.41,9299.57,34.10,0.11
20171123,9315.56,9264.37,9328.89,9249.87,28.98,0.26
20171122,9291.84,9323.23,9361.36,9291.84,42.19,-0.35
20171121,9324.53,9280.83,9350.72,9261.05,54.38,0.27
20171120,9299.61,9253.58,9317.28,9232.45,49.49,1.26
20171117,9183.61,9137.77,9183.61,9119.82,52.39,0.40
20171116,9146.82,9092.32,9165.32,9090.52,41.52,0.63
20171115,9089.55,9095.64,9107.35,9045.80,50.92,-0.45
20171114,9130.48,9160.35,9194.45,9101.34,41.53,-0.35
20171113,9162.74,9174.70,9192.56,9105.93,46.53,0.31
20171110,9134.16,9176.51,9190.39,9123.60,45.88,-0.48
20171109,9177.82,9261.26,9283.42,9155.65,50.29,-0.95
20171108,9265.83,9233.60,9265.83,9201.56,43.15,0.50
20171107,9220.16,9298.48,9302.40,9212.55,40.25,-0.74
20171106,9288.78,9305.48,9327.74,9288.78,35.97,-0.36
20171103,9322.05,9276.87,9322.05,9267.97,41.57,0.46
20171102,9279.65,9265.40,9285.94,9226.23,58.35,0.13
20171101,9267.82,9268.90,9299.24,9256.33,55.71,0.28
20171031,9242.18,9178.07,9253.30,9165.12,54.51,0.73
20171030,9175.50,9147.13,9203.94,9130.33,40.62,-0.09
20171027,9183.42,9200.11,9254.36,9168.24,64.48,-0.18
20171026,9200.08,9071.88,9200.08,9071.88,60.00,1.28
20171025,9084.04,9191.73,9202.58,9062.64,51.60,-1.21
20171024,9194.84,9243.07,9244.71,9185.72,50.03,-0.58
20171023,9248.49,9239.23,9277.00,9229.46,38.28,0.12
20171020,9237.13,9272.41,9279.08,9213.76,56.05,0.04
20171019,9233.52,9285.31,9300.29,9222.54,45.47,-0.82
20171018,9309.61,9258.65,9318.04,9256.52,40.39,0.43
20171017,9269.86,9291.06,9307.69,9249.82,46.50,-0.05
20171016,9274.59,9299.73,9310.05,9271.14,34.24,-0.40
20171013,9311.69,9304.29,9312.96,9280.03,41.44,0.15
20171012,9297.34,9282.45,9301.90,9257.02,41.53,0.35
20171011,9265.34,9275.21,9287.80,9258.32,32.61,-0.02
20171010,9267.17,9259.19,9282.40,9247.81,35.95,0.08
20171009,9259.34,9251.81,9272.27,9241.32,34.24,0.08
20171006,9252.12,9273.34,9289.13,9239.37,50.52,-0.11
20171005,9262.66,9270.80,9277.82,9248.70,42.64,-0.23
20171004,9283.97,9275.36,9284.79,9251.49,46.82,0.00
20171003,9283.74,9256.31,9284.09,9244.52,40.09,0.45
20171002,9242.15,9177.03,9242.15,9174.65,49.36,0.92
20170929,9157.46,9107.17,9157.46,9097.34,42.58,0.50
20170928,9112.16,9089.32,9123.48,9075.89,44.38,0.15
20170927,9098.58,9118.85,9144.78,9096.92,49.95,-0.17
20170926,9113.65,9122.51,9156.02,9096.84,42.03,-0.29
20170925,9140.47,9124.15,9167.35,9114.03,42.32,0.04
20170922,9136.72,9142.59,9156.41,9125.81,38.40,0.03
20170921,9134.13,9111.55,9144.12,9110.27,54.97,0.42
20170920,9095.65,9072.47,9116.92,9072.47,39.62,0.03
20170919,9093.20,9043.16,9096.86,9031.98,43.54,0.50
20170918,9048.11,9062.70,9071.34,9037.35,35.28,0.22
20170915,9028.05,9049.48,9057.60,9001.88,121.66,-0.48
20170914,9071.43,9039.03,9071.43,9033.41,50.37,0.19
20170913,9053.83,9044.21,9075.66,9023.55,50.90,0.00
20170912,9053.62,9021.31,9053.95,9007.44,58.12,0.79
20170911,8982.23,8925.53,8984.38,8925.49,52.44,0.79
20170908,8912.05,8886.65,8923.18,8877.70,39.71,0.06
20170907,8906.66,8875.65,8921.27,8834.36,51.22,0.53
20170906,8859.47,8809.65,8874.25,8797.08,52.21,-0.11
20170905,8869.56,8861.15,8929.57,8858.43,45.10,0.06
20170904,8864.46,8874.86,8901.06,8856.76,32.50,-0.86
20170901,8941.62,8944.65,8949.28,8917.24,-,0.18
20170831,8925.45,8890.93,8940.56,8867.47,57.88,0.84
20170830,8851.26,8872.95,8876.72,8827.43,43.62,0.42
20170829,8814.54,8802.84,8832.73,8752.21,55.88,-0.56
20170828,8864.23,8875.49,8894.32,8856.66,26.37,-0.47
20170825,8906.18,8935.22,8961.98,8904.88,35.53,-0.41
20170824,8943.04,8968.77,8980.77,8933.34,37.79,-0.17
20170823,8958.49,8954.88,8964.25,8916.89,38.23,-0.06
20170822,8963.83,8944.43,8972.91,8918.86,36.54,0.90
20170821,8883.78,8866.20,8934.73,8856.61,37.81,0.11
20170818,8874.35,8876.62,8885.27,8850.19,45.69,-0.79
20170817,8945.40,8958.69,9003.19,8942.78,45.28,-1.02
20170816,9037.92,9038.46,9070.30,9035.78,32.00,0.28
20170815,9012.52,9051.50,9067.18,8991.54,36.05,-0.21
20170814,9031.27,8941.34,9039.82,8934.28,39.53,1.66
20170811,8884.04,8905.38,8920.53,8863.36,46.98,-0.74
20170810,8949.86,9033.34,9045.06,8947.84,44.53,-0.86
20170809,9027.15,9084.58,9089.60,9005.86,53.94,-1.48
20170808,9162.33,9147.15,9189.52,9140.23,35.29,0.08
20170807,9155.13,9187.94,9198.45,9140.91,37.33,-0.24
20170804,9176.99,9122.78,9187.04,9110.86,47.86,0.44
20170803,9136.61,9118.76,9159.23,9092.19,40.06,0.15
20170802,9122.68,9088.14,9142.62,9073.29,58.57,0.75
20170731,9055.00,9026.81,9101.81,9023.12,55.32,0.40
20170728,9019.31,8990.84,9042.35,8955.28,77.73,0.02
20170727,9017.79,8983.04,9061.83,8968.81,49.01,0.31
20170726,8990.34,8965.79,9023.15,8961.57,46.77,0.59
20170725,8937.90,8920.59,8987.15,8912.20,53.81,0.45
20170724,8898.23,8949.97,8950.58,8887.07,55.28,-0.45
20170721,8938.68,9031.46,9049.88,8935.50,63.09,-0.98
20170720,9027.37,9061.07,9077.44,8992.12,54.40,0.03
20170719,9024.32,9019.04,9046.41,8990.43,41.84,0.52
20170718,8977.98,9044.49,9086.06,8966.95,48.08,-0.67
20170717,9038.65,9041.43,9052.64,8998.49,33.69,0.05
20170714,9034.57,9020.36,9046.59,8998.90,38.49,0.34
20170713,9003.57,9027.46,9050.48,8997.36,40.68,-0.13
20170712,9015.60,8885.58,9024.05,8884.70,43.52,1.59
20170711,8874.07,8943.98,8952.15,8874.07,41.74,-0.78
20170710,8943.84,8928.76,8958.00,8906.43,44.07,0.68
20170707,8883.27,8873.21,8891.46,8850.44,50.17,-0.04
20170706,8886.95,8945.39,8949.14,8835.12,58.62,-0.75
20170705,8954.10,8926.06,8959.36,8908.85,51.14,-0.19
20170704,8971.40,8979.84,9010.57,8966.71,36.47,-0.43
20170703,9009.81,8944.90,9027.42,8943.58,50.91,1.16
20170630,8906.89,8930.30,8998.48,8902.57,56.70,-0.42
20170629,8944.04,9101.27,9111.78,8943.36,71.51,-1.46
20170628,9076.73,9069.62,9085.36,9040.33,73.73,0.04
20170627,9072.92,9100.47,9112.43,9044.15,53.32,-0.53
20170626,9121.22,9125.51,9148.61,9099.91,49.91,0.98
20170623,9032.89,9041.51,9047.64,8989.84,40.77,-0.20
20170622,9051.27,9025.91,9051.27,8982.88,64.73,0.73
20170621,8985.61,8993.41,8996.57,8932.41,53.35,-0.42
20170620,9023.55,9057.97,9066.62,9018.27,52.24,-0.07
20170619,9030.30,9014.34,9036.18,8972.27,58.30,0.75
20170616,8963.29,8903.14,8963.29,8902.77,134.28,1.25
20170615,8853.01,8854.52,8856.82,8778.45,65.41,0.04
20170614,8849.40,8877.06,8917.50,8849.40,61.79,-0.20
20170613,8867.07,8835.34,8879.25,8824.47,53.69,0.67
20170612,8807.85,8812.93,8833.36,8791.21,60.18,-0.43
20170609,8845.85,8826.82,8875.88,8806.91,45.47,0.39
20170608,8811.62,8884.67,8890.87,8811.31,49.47,-0.73
20170607,8876.73,8902.46,8943.30,8876.73,47.23,-0.35
20170606,8908.27,8956.64,8985.77,8902.90,60.59,-1.50
20170602,9043.96,9071.13,9088.91,9011.67,67.51,0.21
20170601,9024.92,9008.91,9074.63,9008.91,58.25,0.09
20170531,9016.64,9010.58,9076.47,9006.87,87.91,0.10
20170530,9007.54,8999.62,9026.40,8973.12,57.23,-0.27
20170529,9031.96,9017.76,9047.62,9001.79,34.73,-0.11
20170526,9042.03,9017.73,9059.05,9011.93,66.85,0.08
20170524,9035.09,9041.95,9069.18,9027.84,55.14,-0.29
20170523,9061.76,9065.05,9082.60,9038.21,62.50,-0.25
20170522,9084.78,9043.60,9094.68,9019.36,60.79,0.69
20170519,9022.51,8964.62,9025.81,8964.00,68.85,0.94
20170518,8938.37,8955.13,8968.38,8897.40,86.53,-0.70
20170517,9001.60,9066.64,9108.64,8978.71,79.94,-1.38
20170516,9127.61,9085.46,9136.95,9081.59,74.91,0.21
