fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1549.87,1551.85,1553.99,1547.01,56.16,-0.29
20180128,1554.30,1554.66,1555.63,1552.72,22.35,0.72
20180125,1543.13,1535.44,1547.69,1531.91,106.48,0.28
20180124,1538.76,1534.85,1538.82,1531.28,36.69,0.33
20180123,1533.68,1536.88,1537.96,1530.01,47.71,0.14
20180122,1531.46,1530.60,1534.96,1526.61,44.72,0.29
20180121,1527.00,1536.30,1537.59,1526.20,22.18,-0.43
20180118,1533.58,1543.47,1543.97,1533.47,64.73,-0.11
20180117,1535.30,1534.52,1537.57,1531.28,39.83,-0.49
20180116,1542.81,1544.13,1548.12,1541.52,71.43,0.10
20180115,1541.20,1542.01,1543.76,1537.30,43.07,-0.05
20180114,1541.93,1543.06,1545.84,1540.47,23.96,0.67
20180111,1531.65,1516.10,1531.65,1516.10,61.99,0.97
20180110,1516.89,1527.39,1527.56,1513.63,29.87,-0.79
20180109,1528.91,1529.82,1533.70,1526.07,37.83,-0.08
20180108,1530.21,1538.98,1539.40,1524.11,56.04,-0.44
20180107,1536.92,1541.84,1550.96,1535.88,28.01,0.07
20180104,1535.89,1527.18,1535.89,1525.55,64.68,0.66
20180103,1525.77,1532.54,1534.69,1522.00,59.02,-0.41
20180102,1532.12,1526.03,1532.70,1521.87,77.67,0.58
20180101,1523.24,1511.50,1525.16,1511.39,43.81,0.89
20171231,1509.78,1511.48,1511.88,1506.84,47.72,-0.18
20171228,1512.48,1511.50,1513.22,1507.49,125.24,0.40
20171227,1506.40,1509.83,1510.75,1499.49,66.47,-0.14
20171226,1508.45,1509.21,1511.37,1502.74,48.50,0.01
20171225,1508.30,1516.61,1517.05,1506.66,55.63,-0.41
20171224,1514.49,1498.28,1514.49,1498.05,37.96,1.85
20171221,1486.94,1476.66,1488.22,1475.17,72.02,0.58
20171220,1478.37,1470.51,1486.45,1470.51,72.43,0.33
20171219,1473.56,1474.46,1476.08,1470.10,63.89,-0.02
20171218,1473.81,1468.80,1476.56,1468.25,43.79,0.55
20171217,1465.73,1466.93,1468.55,1463.41,11.21,0.30
20171214,1461.34,1459.97,1464.60,1439.29,92.01,0.24
20171213,1457.83,1462.03,1463.81,1457.03,36.47,-0.37
20171212,1463.22,1460.64,1465.40,1459.01,45.40,0.19
20171211,1460.50,1454.31,1464.88,1454.31,38.36,0.42
20171210,1454.36,1461.64,1462.40,1452.39,29.12,0.60
20171207,1445.68,1445.58,1452.91,1441.20,52.08,-0.19
20171206,1448.41,1454.23,1455.12,1447.92,50.88,-0.80
20171205,1460.04,1463.58,1466.35,1457.62,34.66,-0.43
20171204,1466.28,1472.42,1475.91,1466.24,41.48,-0.30
20171203,1470.73,1468.45,1473.35,1464.05,35.33,1.06
20171130,1455.32,1457.16,1465.74,1451.17,64.66,0.42
20171129,1449.28,1450.77,1455.06,1448.56,51.74,0.18
20171128,1446.67,1437.73,1448.72,1434.48,34.21,0.75
20171127,1435.86,1440.88,1441.67,1433.07,85.84,-0.29
20171126,1440.08,1431.00,1444.65,1430.45,43.59,0.51
20171123,1432.71,1414.48,1433.24,1410.30,99.09,1.06
20171122,1417.72,1420.23,1421.66,1416.03,55.18,0.03
20171121,1417.31,1410.73,1418.35,1407.83,57.15,0.53
20171120,1409.85,1404.17,1415.22,1403.63,47.65,0.06
20171119,1409.06,1409.97,1410.90,1405.95,21.30,0.25
20171116,1405.60,1406.53,1408.27,1401.90,62.66,0.40
20171115,1400.05,1408.50,1408.50,1397.65,37.34,-0.83
20171114,1411.82,1417.85,1418.78,1411.12,49.41,-0.47
20171113,1418.48,1420.95,1423.34,1408.95,35.24,-0.10
20171112,1419.84,1421.80,1424.41,1418.51,19.99,0.18
20171109,1417.35,1423.68,1425.41,1398.18,86.99,-0.13
20171108,1419.14,1422.39,1422.90,1417.72,40.01,-0.30
20171107,1423.36,1430.90,1432.47,1423.36,34.04,-0.28
20171106,1427.31,1423.02,1430.73,1422.76,52.27,0.18
20171105,1424.79,1430.80,1433.02,1424.79,17.88,-0.20
20171102,1427.62,1437.87,1442.01,1425.53,128.79,-1.06
20171101,1442.90,1443.23,1444.97,1440.49,30.14,0.30
20171031,1438.61,1441.23,1445.62,1435.58,78.62,-0.20
20171030,1441.49,1440.15,1444.17,1438.49,100.38,-0.09
20171029,1442.86,1445.26,1446.15,1442.49,24.76,0.33
20171026,1438.18,1440.04,1441.15,1436.82,115.77,0.04
20171025,1437.58,1441.74,1442.50,1437.58,36.65,-0.29
20171024,1441.73,1440.36,1445.13,1439.47,57.99,0.08
20171023,1440.59,1447.79,1448.66,1440.35,43.37,-0.34
20171022,1445.46,1447.64,1449.52,1445.46,29.49,0.69
20171019,1435.56,1445.09,1445.56,1432.76,64.44,-0.82
20171018,1447.39,1446.08,1451.93,1444.83,38.04,0.26
20171017,1443.68,1446.34,1447.69,1442.82,91.82,0.03
20171016,1443.29,1449.23,1451.04,1443.29,54.64,-0.38
20171015,1448.82,1442.92,1450.20,1441.92,21.03,0.53
20171010,1441.19,1445.92,1445.92,1440.64,19.16,-0.26
20171009,1444.89,1448.20,1450.13,1443.63,28.30,-0.16
20171008,1447.18,1443.37,1448.91,1442.81,10.99,1.00
20171003,1432.90,1431.79,1436.54,1430.70,50.03,0.21
20171002,1429.88,1430.03,1431.31,1425.98,44.26,0.14
20171001,1427.84,1427.51,1430.80,1427.39,24.37,0.48
20170928,1421.04,1427.57,1427.57,1417.18,101.80,0.15
