fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,11221.81,11202.27,11246.18,11161.83,2.45b,0.67
20180126,11147.10,11152.53,11178.30,11089.48,2.70b,-0.17
20180125,11165.95,11154.36,11268.61,11131.85,3.46b,0.12
20180124,11152.16,11228.71,11228.71,11107.32,3.17b,-0.90
20180123,11253.11,11243.49,11270.18,11201.52,3.40b,0.19
20180122,11231.46,11169.79,11231.46,11142.38,3.22b,0.72
20180119,11150.85,11123.58,11150.85,11095.85,2.66b,0.72
20180118,11071.57,11048.06,11122.82,11048.06,3.07b,0.61
20180117,11004.80,10976.13,11030.22,10942.95,3.34b,0.17
20180116,10986.11,10955.81,10986.11,10920.50,2.94b,0.27
20180115,10956.31,10932.37,10962.55,10911.89,2.67b,0.66
20180112,10883.96,10818.24,10899.98,10818.24,2.90b,0.68
20180111,10810.06,10824.54,10844.08,10770.10,2.74b,-0.19
20180110,10831.09,10915.32,10934.75,10819.25,3.22b,-0.77
20180109,10914.89,10922.35,10931.00,10860.77,2.93b,-0.01
20180108,10915.75,10899.09,10918.47,10869.12,3.25b,0.33
20180105,10879.80,10856.92,10879.80,10815.68,3.03b,0.29
20180104,10848.63,10834.58,10853.46,10794.25,3.05b,0.44
20180103,10801.57,10759.61,10813.16,10759.61,2.96b,0.85
20180102,10710.73,10664.82,10710.73,10650.77,2.38b,0.64
20171229,10642.86,10590.95,10659.98,10590.95,2.41b,0.71
20171228,10567.64,10513.29,10592.04,10513.29,2.22b,0.77
20171227,10486.67,10419.81,10497.77,10419.81,2.10b,0.62
20171226,10421.91,10526.14,10528.92,10408.12,2.04b,-0.96
20171225,10522.49,10546.64,10556.65,10514.54,1.93b,-0.14
20171222,10537.27,10503.10,10537.27,10486.52,2.05b,0.46
20171221,10488.97,10526.97,10545.78,10488.97,2.12b,-0.15
20171220,10504.52,10470.36,10514.31,10470.36,2.16b,0.36
20171219,10467.34,10508.33,10544.00,10452.08,2.19b,-0.37
20171218,10506.52,10478.74,10526.41,10472.39,1.86b,0.14
20171215,10491.44,10517.21,10520.66,10436.11,2.59b,-0.44
20171214,10538.01,10494.60,10577.53,10494.60,2.45b,0.64
20171213,10470.70,10447.11,10489.17,10444.70,2.32b,0.26
20171212,10443.28,10488.73,10495.24,10408.06,2.16b,-0.28
20171211,10473.09,10438.33,10504.67,10438.33,2.33b,0.72
20171208,10398.62,10406.35,10419.28,10336.26,2.68b,0.41
20171207,10355.76,10404.42,10418.97,10322.76,2.74b,-0.37
20171206,10393.92,10541.03,10541.03,10376.65,3.02b,-1.64
20171205,10566.85,10607.62,10635.71,10540.74,3.13b,-0.79
20171204,10651.11,10617.27,10665.43,10565.68,2.86b,0.48
20171201,10600.37,10591.62,10665.92,10495.15,3.78b,0.38
20171130,10560.44,10623.20,10650.18,10560.44,4.94b,-1.43
20171129,10713.55,10735.24,10762.91,10697.62,3.10b,0.06
20171128,10707.07,10733.56,10752.58,10692.53,2.96b,-0.41
20171127,10750.93,10836.82,10856.00,10746.74,2.67b,-0.95
20171124,10854.09,10847.79,10873.91,10833.78,2.75b,-0.00
20171123,10854.57,10837.61,10872.29,10809.09,2.68b,0.30
20171122,10822.59,10815.40,10882.65,10801.10,3.91b,0.40
20171121,10779.24,10688.22,10787.58,10687.26,3.29b,1.08
20171120,10664.55,10706.79,10728.39,10656.18,2.50b,-0.35
20171117,10701.64,10673.43,10729.45,10673.43,2.47b,0.72
20171116,10625.04,10629.16,10666.66,10609.23,2.19b,-0.05
20171115,10630.65,10662.08,10669.59,10600.26,2.33b,-0.53
20171114,10687.18,10716.59,10735.08,10654.58,2.68b,0.03
20171113,10683.92,10728.22,10749.39,10683.92,2.85b,-0.45
