fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1289.24,1291.23,1292.54,1286.10,-,-0.07
20180126,1290.09,1281.80,1291.70,1281.80,-,0.65
20180125,1281.80,1283.70,1287.44,1281.28,-,-0.27
20180124,1285.23,1279.20,1286.32,1278.03,-,0.50
20180123,1278.81,1279.25,1283.40,1278.44,-,-0.15
20180122,1280.75,1279.71,1283.33,1276.35,-,0.16
20180119,1278.76,1280.22,1281.27,1274.12,-,-0.06
20180118,1279.49,1269.38,1279.86,1269.32,-,0.94
20180117,1267.54,1270.66,1270.66,1262.35,-,-0.18
20180116,1269.85,1272.44,1273.29,1269.60,-,-0.10
20180115,1271.08,1270.72,1276.11,1267.95,-,0.03
20180112,1270.72,1277.46,1278.12,1267.61,-,-0.50
20180111,1277.09,1281.04,1281.04,1267.91,-,-0.30
20180110,1280.90,1276.09,1281.73,1274.43,-,0.26
20180109,1277.54,1269.65,1277.70,1265.01,-,0.75
20180108,1267.99,1261.69,1271.59,1261.69,-,0.05
20180105,1267.33,1261.66,1271.81,1257.20,-,0.29
20180104,1263.65,1260.56,1263.65,1251.31,-,0.56
20180103,1256.59,1259.05,1261.67,1251.97,-,0.02
20180102,1256.37,1247.65,1256.49,1245.24,-,1.15
20171229,1242.12,1234.14,1246.37,1231.05,-,0.74
20171228,1233.02,1222.58,1235.27,1219.67,-,0.83
20171227,1222.83,1220.30,1225.36,1217.26,-,0.35
20171222,1218.52,1221.79,1224.31,1214.49,-,-0.17
20171221,1220.61,1224.13,1228.20,1215.12,-,0.18
20171220,1218.45,1204.90,1228.64,1202.75,-,1.46
20171219,1200.87,1198.12,1204.79,1194.81,-,0.66
20171218,1192.94,1195.90,1197.96,1191.52,-,0.16
20171215,1191.07,1188.10,1193.60,1186.84,-,0.15
20171214,1189.27,1188.73,1199.42,1187.85,-,0.16
20171213,1187.36,1196.21,1197.74,1184.89,-,-0.74
20171212,1196.21,1216.90,1224.72,1196.01,-,-2.20
20171211,1223.08,1224.18,1225.11,1217.65,-,-0.44
20171208,1228.54,1226.46,1228.54,1219.23,-,0.10
20171207,1227.28,1224.53,1227.28,1222.14,-,0.05
20171206,1226.68,1227.91,1230.55,1225.94,-,0.00
20171205,1226.66,1228.87,1231.44,1224.02,-,-0.14
20171204,1228.33,1234.93,1235.30,1226.49,-,-0.83
20171201,1238.67,1237.80,1239.24,1234.79,-,0.09
20171130,1237.60,1234.94,1238.76,1231.63,-,0.31
20171129,1233.79,1232.13,1236.69,1229.86,-,0.20
20171128,1231.33,1234.31,1237.03,1230.89,-,-0.51
20171127,1237.59,1236.87,1239.50,1232.10,-,0.04
20171124,1237.13,1229.55,1238.19,1229.55,-,0.35
20171123,1232.83,1233.08,1240.90,1232.76,-,-0.47
20171122,1238.68,1236.35,1238.68,1228.64,-,0.32
20171121,1234.79,1232.40,1235.94,1228.37,-,0.19
20171120,1232.40,1229.46,1235.83,1223.33,-,0.26
20171117,1229.21,1229.04,1232.49,1224.73,-,0.15
20171116,1227.31,1221.09,1232.47,1221.09,-,0.15
20171115,1225.44,1228.68,1237.27,1225.32,-,-0.26
20171114,1228.68,1231.59,1235.33,1226.20,-,-0.29
20171113,1232.27,1228.28,1235.23,1228.28,-,0.45
20171110,1226.77,1232.82,1235.52,1226.77,-,-0.49
20171109,1232.82,1222.28,1235.84,1222.28,-,0.86
20171108,1222.28,1219.19,1222.32,1217.14,-,0.17
20171107,1220.17,1224.99,1227.99,1220.17,-,-0.40
20171106,1225.11,1223.71,1228.98,1219.23,-,0.14
20171103,1223.43,1228.87,1229.03,1219.28,-,-0.22
20171102,1226.17,1217.27,1226.91,1216.88,-,0.55
20171101,1219.46,1219.95,1221.60,1213.28,-,0.26
20171031,1216.27,1210.18,1219.84,1209.46,-,0.58
20171030,1209.28,1225.45,1225.45,1207.28,-,-1.32
20171027,1225.45,1224.91,1226.19,1218.54,-,-0.00
20171026,1225.50,1229.28,1229.37,1217.25,-,-0.03
20171025,1225.86,1228.64,1231.52,1225.36,-,-0.09
20171024,1226.93,1226.20,1234.62,1226.20,-,-0.02
20171023,1227.18,1223.85,1229.30,1223.55,-,0.38
20171020,1222.59,1232.06,1233.26,1222.44,-,-0.63
20171019,1230.28,1235.00,1235.00,1225.12,-,-0.38
20171018,1235.00,1234.84,1237.65,1218.79,-,-0.11
20171017,1236.37,1229.77,1236.37,1229.77,-,0.44
20171016,1230.92,1240.68,1243.98,1229.03,-,-0.86
20171013,1241.59,1227.26,1241.59,1226.05,-,1.21
20171012,1226.71,1222.70,1230.15,1222.44,-,0.68
20171011,1218.40,1224.91,1224.91,1217.90,-,-0.20
20171010,1220.89,1223.54,1225.11,1217.96,-,0.08
20171009,1219.90,1216.53,1225.90,1216.17,-,0.25
20171006,1216.83,1219.39,1220.71,1212.73,-,0.10
20171005,1215.61,1218.72,1226.51,1215.61,-,-0.35
20171004,1219.94,1220.39,1222.28,1217.36,-,0.29
20171003,1216.42,1218.14,1220.02,1214.28,-,0.27
20171002,1213.09,1225.18,1225.90,1213.09,-,-1.05
20170929,1225.95,1220.35,1225.95,1212.74,-,0.54
20170928,1219.38,1215.29,1219.38,1207.71,-,0.32
20170927,1215.50,1226.98,1226.98,1215.50,-,-0.84
20170926,1225.75,1224.82,1228.45,1218.61,-,-0.31
20170925,1229.60,1228.93,1230.76,1226.61,-,-0.50
20170922,1235.79,1235.44,1240.88,1233.71,-,0.14
20170921,1234.11,1234.63,1235.84,1228.47,-,-0.04
20170920,1234.59,1240.87,1240.87,1229.27,-,-0.49
20170919,1240.67,1236.02,1240.67,1227.09,-,-0.17
20170918,1242.78,1241.83,1247.23,1236.30,-,0.05
20170915,1242.17,1245.03,1246.92,1241.01,-,-0.22
20170914,1244.97,1258.24,1258.24,1243.05,-,-0.53
20170913,1251.55,1264.67,1265.27,1249.44,-,-0.57
20170912,1258.67,1267.33,1271.92,1257.69,-,-0.68
20170911,1267.33,1262.87,1271.17,1262.12,-,0.39
20170908,1262.44,1263.17,1267.08,1258.32,-,-0.28
20170907,1265.96,1261.22,1267.52,1261.22,-,0.03
20170906,1265.61,1262.79,1266.58,1258.45,-,-0.03
20170905,1265.96,1256.57,1266.12,1254.41,-,0.79
20170904,1256.07,1272.10,1272.94,1256.07,-,-1.26
20170901,1272.10,1273.69,1276.91,1271.52,-,0.01
20170831,1271.93,1274.67,1280.15,1271.39,-,-0.04
20170830,1272.50,1271.42,1275.89,1266.35,-,-0.25
20170829,1275.68,1277.80,1277.80,1270.20,-,-0.10
20170828,1276.91,1278.75,1282.11,1273.74,-,-0.04
20170825,1277.47,1274.39,1277.47,1269.07,-,0.24
20170824,1274.43,1269.92,1275.91,1268.07,-,0.46
20170823,1268.55,1256.68,1268.55,1256.52,-,0.93
20170822,1256.81,1257.46,1262.85,1253.53,-,-0.02
20170821,1257.11,1255.79,1263.25,1255.72,-,0.20
20170818,1254.65,1262.41,1262.41,1254.61,-,-0.35
20170817,1259.11,1250.57,1262.30,1247.61,-,0.68
20170816,1250.57,1241.98,1252.24,1241.49,-,0.62
20170815,1242.81,1251.72,1255.31,1242.81,-,-0.95
20170814,1254.71,1253.15,1255.94,1243.19,-,0.19
20170811,1252.39,1254.55,1254.78,1241.35,-,-0.17
20170810,1254.55,1244.06,1254.55,1243.90,-,0.88
20170809,1243.58,1244.71,1249.54,1241.34,-,-0.05
20170808,1244.23,1238.31,1244.23,1237.09,-,0.22
20170807,1241.54,1235.45,1242.11,1233.83,-,0.22
20170804,1238.84,1236.11,1239.82,1229.33,-,0.60
20170803,1231.48,1229.28,1233.63,1227.08,-,0.09
20170802,1230.40,1230.45,1230.62,1223.63,-,-0.68
20170801,1238.83,1228.27,1238.83,1222.20,-,0.60
20170731,1231.42,1240.95,1242.60,1231.36,-,-0.89
20170728,1242.45,1240.03,1244.01,1235.85,-,0.33
20170727,1238.31,1230.81,1238.82,1229.87,-,0.93
20170726,1226.91,1235.47,1235.47,1226.61,-,-0.58
20170725,1234.03,1230.72,1241.44,1227.36,-,0.26
20170724,1230.81,1225.92,1231.61,1221.99,-,0.40
20170721,1225.92,1223.11,1228.28,1221.72,-,0.13
20170720,1224.35,1216.88,1227.43,1216.88,-,1.98
20170719,1200.62,1196.84,1200.62,1172.45,-,0.23
20170718,1197.81,1194.20,1197.81,1187.54,-,0.70
20170717,1189.45,1196.62,1198.31,1189.45,-,-0.63
20170714,1196.96,1184.64,1196.96,1184.64,-,0.53
20170713,1190.69,1183.22,1190.69,1178.63,-,0.66
20170712,1182.83,1172.01,1183.01,1163.42,-,1.02
20170711,1170.87,1164.41,1173.89,1163.67,-,0.22
20170710,1168.27,1171.36,1171.43,1162.59,-,-0.24
20170707,1171.03,1158.61,1171.03,1158.59,-,1.12
20170706,1158.10,1155.90,1166.29,1154.95,-,0.23
20170705,1155.50,1150.99,1156.71,1149.19,-,0.26
20170704,1152.47,1145.56,1152.47,1145.56,-,0.80
20170703,1143.34,1142.59,1147.46,1140.64,-,0.55
20170630,1137.08,1144.11,1145.80,1137.08,-,-0.49
20170629,1142.72,1141.90,1144.35,1138.73,-,0.12
