fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,2343.40,2343.40,2343.40,2343.40,-,-1.46
20180126,2378.12,2378.12,2378.12,2378.12,-,0.00
20180125,2378.12,2378.12,2378.12,2378.12,-,-0.89
20180124,2399.44,2399.44,2399.44,2399.44,-,0.59
20180123,2385.47,2385.47,2385.47,2385.47,-,0.09
20180122,2383.23,2383.23,2383.23,2383.23,-,0.26
20180119,2377.15,2377.15,2377.15,2377.15,-,-0.41
20180118,2386.88,2386.88,2386.88,2386.88,-,-0.22
20180117,2392.20,2392.20,2392.20,2392.20,-,-0.41
20180116,2402.08,2402.08,2402.08,2402.08,-,0.35
20180115,2393.78,2393.78,2393.78,2393.78,-,1.43
20180111,2360.12,2360.12,2360.12,2360.12,-,-1.05
20180110,2385.16,2385.16,2385.16,2385.16,-,-0.32
20180109,2392.73,2392.73,2392.73,2392.73,-,-0.47
20180108,2404.06,2404.06,2404.06,2404.06,-,0.61
20180105,2389.59,2389.59,2389.59,2389.59,-,0.52
20180104,2377.19,2377.19,2377.19,2377.19,-,-1.07
20180103,2402.90,2402.90,2402.90,2402.90,-,-0.24
20180102,2408.61,2408.61,2408.61,2408.61,-,0.52
20171229,2396.23,2396.23,2396.23,2396.23,-,0.27
20171228,2389.75,2389.75,2389.75,2389.75,-,-0.20
20171227,2394.65,2394.65,2394.65,2394.65,-,0.23
20171222,2389.11,2389.11,2389.11,2389.11,-,0.26
20171221,2382.84,2382.84,2382.84,2382.84,-,0.73
20171220,2365.47,2365.47,2365.47,2365.47,-,0.11
20171219,2362.86,2362.86,2362.86,2362.86,-,0.35
20171218,2354.51,2354.51,2354.51,2354.51,-,7.59
20171215,2188.39,2188.39,2188.39,2188.39,-,0.07
20171214,2186.75,2186.75,2186.75,2186.75,-,0.74
20171213,2170.63,2170.63,2170.63,2170.63,-,-0.08
20171212,2172.30,2172.30,2172.30,2172.30,-,0.08
20171211,2170.55,2170.55,2170.55,2170.55,-,0.38
20171208,2162.27,2162.27,2162.27,2162.27,-,0.16
20171206,2158.84,2158.84,2158.84,2158.84,-,-0.57
20171205,2171.22,2171.22,2171.22,2171.22,-,-0.22
20171204,2176.10,2176.10,2176.10,2176.10,-,-1.41
20171130,2207.27,2207.27,2207.27,2207.27,-,2.29
20171129,2157.84,2157.84,2157.84,2157.84,-,0.39
20171128,2149.47,2149.47,2149.47,2149.47,-,-0.53
20171127,2160.90,2160.90,2160.90,2160.90,-,0.23
20171124,2156.01,2156.01,2156.01,2156.01,-,0.44
20171123,2146.66,2146.66,2146.66,2146.66,-,1.34
20171122,2118.36,2118.36,2118.36,2118.36,-,0.11
20171121,2115.99,2115.99,2115.99,2115.99,-,-0.42
20171120,2124.97,2124.97,2124.97,2124.97,-,0.56
20171117,2113.10,2113.10,2113.10,2113.10,-,0.63
20171116,2099.93,2099.93,2099.93,2099.93,-,-0.67
20171115,2114.05,2114.05,2114.05,2114.05,-,-1.50
20171114,2146.16,2146.16,2146.16,2146.16,-,0.11
20171113,2143.83,2143.83,2143.83,2143.83,-,-0.51
20171110,2154.88,2154.88,2154.88,2154.88,-,0.85
20171109,2136.69,2136.69,2136.69,2136.69,-,0.71
20171108,2121.69,2121.69,2121.69,2121.69,-,-0.22
20171107,2126.28,2126.28,2126.28,2126.28,-,0.21
20171106,2121.81,2121.81,2121.81,2121.81,-,0.97
20171103,2101.42,2101.42,2101.42,2101.42,-,0.54
20171102,2090.14,2090.14,2090.14,2090.14,-,-0.33
20171101,2096.97,2096.97,2096.97,2096.97,-,-0.73
20171031,2112.37,2112.37,2112.37,2112.37,-,-0.30
20171030,2118.80,2118.80,2118.80,2118.80,-,-0.25
20171027,2124.02,2124.02,2124.02,2124.02,-,-0.85
20171026,2142.15,2142.15,2142.15,2142.15,-,0.27
20171025,2136.30,2136.30,2136.30,2136.30,-,-0.58
20171024,2148.86,2148.86,2148.86,2148.86,-,-0.69
20171023,2163.81,2163.81,2163.81,2163.81,-,-0.39
20171020,2172.21,2172.21,2172.21,2172.21,-,-0.00
20171019,2172.31,2172.31,2172.31,2172.31,-,-0.23
20171018,2177.30,2177.30,2177.30,2177.30,-,0.46
20171017,2167.28,2167.28,2167.28,2167.28,-,-0.11
20171016,2169.63,2169.63,2169.63,2169.63,-,2.15
20171013,2124.00,2124.00,2124.00,2124.00,-,-0.31
20171012,2130.71,2130.71,2130.71,2130.71,-,-0.65
20171011,2144.69,2144.69,2144.69,2144.69,-,-0.68
20171010,2159.36,2159.36,2159.36,2159.36,-,-0.66
20171009,2173.75,2173.75,2173.75,2173.75,-,0.56
20171006,2161.67,2161.67,2161.67,2161.67,-,-0.20
20171005,2166.03,2166.03,2166.03,2166.03,-,1.20
20171004,2140.41,2140.41,2140.41,2140.41,-,1.35
20171003,2111.94,2111.94,2111.94,2111.94,-,-0.36
20171002,2119.60,2119.60,2119.60,2119.60,-,0.13
20170929,2116.85,2116.85,2116.85,2116.85,-,0.82
20170928,2099.69,2099.69,2099.69,2099.69,-,-0.37
20170927,2107.49,2107.49,2107.49,2107.49,-,0.50
20170926,2096.97,2096.97,2096.97,2096.97,-,-0.47
20170925,2106.86,2106.86,2106.86,2106.86,-,-1.03
20170922,2128.87,2128.87,2128.87,2128.87,-,1.50
20170921,2097.34,2097.34,2097.34,2097.34,-,-0.54
20170920,2108.76,2108.76,2108.76,2108.76,-,0.62
20170919,2095.75,2095.75,2095.75,2095.75,-,-0.26
