fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,7568.36,7538.38,7579.76,7539.32,273.71,0.40
20180128,7538.38,7521.64,7545.57,7502.10,181.90,0.22
20180125,7521.64,7479.09,7525.26,7474.99,159.72,0.57
20180124,7479.09,7493.90,7500.85,7471.11,175.32,-0.20
20180123,7493.90,7480.89,7516.81,7473.36,181.56,0.17
20180122,7480.89,7513.30,7526.22,7480.30,158.08,-0.43
20180121,7513.30,7539.02,7540.97,7503.86,164.63,-0.34
20180118,7539.02,7539.74,7560.70,7512.07,204.91,-0.01
20180117,7539.74,7531.56,7550.30,7507.70,159.92,0.11
20180116,7531.56,7483.23,7546.22,7482.81,182.82,0.65
20180115,7483.23,7439.64,7487.96,7438.90,188.83,0.59
20180114,7439.64,7338.04,7442.03,7340.55,203.22,1.38
20180111,7338.04,7300.37,7338.53,7297.12,166.74,0.52
20180110,7300.37,7290.96,7303.54,7282.81,158.78,0.13
20180109,7290.96,7310.26,7318.24,7277.41,167.96,-0.26
20180108,7310.26,7317.65,7338.75,7308.66,156.86,-0.10
20180107,7317.65,7277.06,7330.84,7275.90,178.79,0.56
20180104,7277.06,7224.29,7283.37,7225.23,228.50,0.73
20180103,7224.29,7171.74,7224.50,7148.79,244.55,0.73
20180102,7171.74,7194.15,7212.95,7167.64,255.20,-0.31
20180101,7194.15,7226.32,7228.66,7154.53,187.99,-0.45
20171231,7226.32,7230.61,7271.89,7215.03,264.21,-0.06
20171228,7230.61,7201.21,7236.47,7197.97,242.90,0.41
20171227,7201.21,7177.55,7219.86,7176.33,238.23,0.33
20171226,7177.55,7146.37,7180.84,7130.33,187.78,0.44
20171225,7146.37,7181.46,7182.87,7142.40,166.31,-0.49
20171224,7181.46,7209.71,7215.96,7181.12,150.44,-0.39
20171221,7209.71,7212.62,7233.30,7197.34,167.96,-0.04
20171220,7212.62,7199.41,7232.07,7181.08,180.82,0.18
20171219,7199.41,7191.58,7219.75,7162.65,224.73,0.11
20171218,7191.58,7093.21,7193.13,7092.67,242.37,1.39
20171217,7093.21,7075.72,7099.25,7063.92,206.20,0.25
20171214,7075.72,7094.11,7116.17,7064.16,225.62,-0.26
20171213,7094.11,7123.06,7127.92,7077.41,250.59,-0.41
20171212,7123.06,7100.46,7132.56,7087.89,298.24,0.32
20171211,7100.46,7144.74,7155.45,7098.83,305.14,-0.62
20171210,7144.74,7085.51,7151.46,7083.65,330.89,0.84
20171207,7085.51,7026.06,7086.69,7007.05,342.99,0.85
20171206,7026.06,7067.13,7067.45,7023.88,232.66,-0.58
20171205,7067.13,7103.08,7103.08,7052.39,214.51,-0.51
20171204,7103.08,7089.33,7120.45,7076.77,256.29,0.19
20171203,7089.33,7003.97,7099.39,7004.91,237.24,1.22
20171130,7003.97,6972.04,7004.18,6961.42,168.96,0.46
20171129,6972.04,6967.35,7001.53,6962.69,196.98,0.07
20171128,6967.35,6939.21,6975.60,6938.99,175.24,0.41
20171127,6939.21,6933.77,6981.94,6925.98,210.17,0.08
20171126,6933.77,6878.21,6945.43,6877.19,141.66,0.81
20171123,6878.21,6822.45,6882.48,6819.78,155.72,0.82
20171122,6822.45,6778.32,6825.86,6778.32,132.05,0.65
20171121,6778.32,6804.23,6811.85,6752.65,130.83,-0.38
20171120,6804.23,6872.16,6881.65,6804.23,126.63,-0.99
20171119,6872.16,6913.46,6913.55,6859.29,146.53,-0.60
