fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1837.49,1835.90,1839.85,1831.15,10.34b,0.47
20180126,1828.88,1819.45,1829.07,1806.13,13.33b,0.53
20180125,1819.29,1843.30,1848.07,1819.29,12.17b,-1.07
20180124,1838.96,1831.39,1841.21,1829.08,12.08b,0.39
20180123,1831.78,1830.92,1836.68,1825.07,14.01b,0.42
20180122,1824.06,1819.14,1827.29,1815.13,10.27b,0.15
20180119,1821.34,1815.20,1821.34,1803.55,12.18b,0.11
20180118,1819.32,1836.35,1837.92,1819.18,11.95b,-0.52
20180117,1828.88,1819.13,1828.93,1816.06,10.17b,0.39
20180116,1821.83,1829.09,1831.45,1816.90,11.26b,-0.05
20180115,1822.66,1819.24,1830.68,1818.51,14.12b,0.69
20180112,1810.19,1810.13,1816.81,1808.53,10.68b,0.41
20180111,1802.80,1795.08,1804.54,1786.47,11.60b,0.44
20180110,1794.92,1803.14,1807.09,1791.82,13.49b,-0.02
20180109,1795.21,1795.89,1798.69,1784.75,13.87b,0.13
20180108,1792.81,1799.59,1813.17,1792.81,12.09b,-0.15
20180105,1795.45,1793.89,1803.93,1787.34,12.72b,0.25
20180104,1791.02,1786.64,1791.39,1779.28,13.11b,0.70
20180103,1778.53,1759.61,1779.55,1758.07,12.69b,1.42
20171229,1753.71,1747.58,1753.73,1745.77,6.91b,0.60
20171228,1743.29,1755.55,1756.64,1734.70,9.17b,-0.55
20171227,1752.89,1756.16,1763.36,1751.98,9.98b,0.02
20171226,1752.48,1751.05,1754.68,1743.27,7.94b,0.13
20171225,1750.22,1745.64,1752.82,1744.34,6.27b,0.47
20171222,1742.08,1739.06,1744.21,1736.26,6.74b,0.30
20171221,1736.91,1739.54,1742.04,1734.73,7.66b,-0.07
20171220,1738.16,1734.45,1739.29,1728.81,9.52b,0.34
20171219,1732.31,1727.22,1736.83,1726.82,10.45b,0.50
20171218,1723.71,1720.41,1727.07,1717.33,7.73b,0.35
20171215,1717.69,1713.26,1717.69,1709.16,8.34b,0.16
20171214,1714.99,1709.52,1716.14,1707.49,8.16b,0.47
20171213,1706.93,1704.01,1708.70,1702.58,8.37b,0.28
20171212,1702.17,1709.54,1710.80,1699.98,8.38b,-0.25
20171208,1706.52,1706.69,1712.49,1704.07,10.68b,0.18
20171207,1703.37,1693.81,1703.51,1690.44,8.87b,0.53
20171206,1694.39,1694.96,1696.63,1686.02,10.62b,-0.19
20171204,1697.61,1704.70,1706.48,1692.45,7.96b,-0.12
20171201,1699.65,1704.20,1705.97,1696.46,9.07b,0.13
20171130,1697.39,1702.54,1708.42,1691.80,9.74b,-0.47
20171129,1705.33,1710.33,1715.41,1705.00,9.06b,-0.07
20171128,1706.52,1696.06,1706.55,1695.84,8.12b,0.64
20171127,1695.67,1693.99,1699.71,1687.43,9.47b,-0.01
20171124,1695.84,1707.80,1710.78,1691.45,10.28b,-0.68
20171123,1707.38,1716.47,1719.00,1707.33,8.98b,-0.34
20171122,1713.13,1715.29,1722.45,1713.12,10.39b,0.15
20171121,1710.48,1716.74,1718.80,1707.31,9.41b,-0.23
20171120,1714.38,1715.02,1718.29,1711.39,9.65b,0.29
20171117,1709.38,1701.48,1711.49,1697.65,9.74b,1.07
20171116,1691.25,1692.79,1699.85,1691.17,11.53b,0.06
