fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,2053.00,2053.00,2053.00,2053.00,-,1.23
20180125,2028.00,2028.00,2028.00,2028.00,-,-1.07
20180124,2050.00,2050.00,2050.00,2050.00,-,0.64
20180123,2037.00,2037.00,2037.00,2037.00,-,0.20
20180122,2033.00,2033.00,2033.00,2033.00,-,0.74
20180119,2018.00,2018.00,2018.00,2018.00,-,0.10
20180118,2016.00,2016.00,2016.00,2016.00,-,-0.05
20180117,2017.00,2017.00,2017.00,2017.00,-,-0.30
20180116,2023.00,2023.00,2023.00,2023.00,-,0.00
20180115,2023.00,2023.00,2023.00,2023.00,-,0.25
20180112,2018.00,2018.00,2018.00,2018.00,-,1.46
20180111,1989.00,1989.00,1989.00,1989.00,-,0.81
20180110,1973.00,1973.00,1973.00,1973.00,-,0.66
20180109,1960.00,1960.00,1960.00,1960.00,-,-0.51
20180108,1970.00,1970.00,1970.00,1970.00,-,0.00
20180105,1970.00,1970.00,1970.00,1970.00,-,0.15
20180104,1967.00,1967.00,1967.00,1967.00,-,-0.51
20180103,1977.00,1977.00,1977.00,1977.00,-,-0.05
20180102,1978.00,1978.00,1978.00,1978.00,-,0.82
20171229,1962.00,1962.00,1962.00,1962.00,-,-0.25
20171228,1967.00,1967.00,1967.00,1967.00,-,-1.70
20171227,2001.00,2001.00,2001.00,2001.00,-,0.20
20171222,1997.00,1997.00,1997.00,1997.00,-,0.30
20171221,1991.00,1991.00,1991.00,1991.00,-,-0.05
20171220,1992.00,1992.00,1992.00,1992.00,-,11.10
20171219,1793.00,1793.00,1793.00,1793.00,-,0.11
20171218,1791.00,1791.00,1791.00,1791.00,-,-0.28
20171215,1796.00,1796.00,1796.00,1796.00,-,0.28
20171214,1791.00,1791.00,1791.00,1791.00,-,-0.94
20171213,1808.00,1808.00,1808.00,1808.00,-,0.00
20171212,1808.00,1808.00,1808.00,1808.00,-,0.22
20171211,1804.00,1804.00,1804.00,1804.00,-,0.11
20171208,1802.00,1802.00,1802.00,1802.00,-,-0.11
20171207,1804.00,1804.00,1804.00,1804.00,-,0.56
20171206,1794.00,1794.00,1794.00,1794.00,-,0.34
20171205,1788.00,1788.00,1788.00,1788.00,-,0.28
20171204,1783.00,1783.00,1783.00,1783.00,-,-0.06
20171201,1784.00,1784.00,1784.00,1784.00,-,0.11
20171130,1782.00,1782.00,1782.00,1782.00,-,0.62
20171129,1771.00,1771.00,1771.00,1771.00,-,-0.06
20171128,1772.00,1772.00,1772.00,1772.00,-,0.06
20171127,1771.00,1771.00,1771.00,1771.00,-,-0.56
20171124,1781.00,1781.00,1781.00,1781.00,-,0.17
