fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,7671.53,7665.54,7689.15,7663.93,-,0.08
20180126,7665.54,7615.84,7667.40,7615.84,735.67,0.65
20180125,7615.84,7643.43,7662.35,7608.53,735.31,-0.36
20180124,7643.43,7731.83,7731.98,7643.43,769.85,-1.14
20180123,7731.83,7715.44,7745.22,7710.03,765.38,0.21
20180122,7715.44,7730.79,7739.35,7703.67,752.61,-0.20
20180119,7730.79,7700.96,7731.82,7694.66,820.00,0.39
20180118,7700.96,7725.43,7739.54,7683.71,789.20,-0.32
20180117,7725.43,7755.93,7755.93,7711.11,847.95,-0.39
20180116,7755.93,7769.14,7791.83,7740.55,849.62,-0.17
20180115,7769.14,7778.64,7783.61,7763.43,568.97,-0.12
20180112,7778.64,7762.94,7792.56,7752.63,1.17b,0.20
20180111,7762.94,7748.51,7768.96,7734.64,1.01b,0.19
20180110,7748.51,7731.02,7756.11,7716.21,885.66,0.23
20180109,7731.02,7696.51,7733.12,7696.50,728.23,0.45
20180108,7696.51,7724.22,7733.39,7691.77,654.44,-0.36
20180105,7724.22,7695.88,7727.73,7689.81,655.71,0.37
20180104,7695.88,7671.11,7702.51,7671.11,727.69,0.32
20180103,7671.11,7648.10,7689.86,7640.53,589.34,0.30
20180102,7648.10,7687.77,7691.34,7624.14,594.07,-0.52
20171229,7687.77,7622.88,7697.62,7620.01,298.18,0.85
20171228,7622.88,7620.68,7633.55,7609.77,321.52,0.03
20171227,7620.68,7592.66,7632.71,7586.42,472.51,0.37
20171222,7592.66,7603.98,7614.40,7585.47,251.37,-0.15
20171221,7603.98,7525.22,7609.69,7517.88,640.56,1.05
20171220,7525.22,7544.09,7550.60,7511.45,679.71,-0.25
20171219,7544.09,7537.01,7563.49,7534.08,695.72,0.09
20171218,7537.01,7490.57,7544.26,7490.57,585.56,0.62
20171215,7490.57,7448.12,7490.57,7433.78,1.22b,0.57
20171214,7448.12,7496.51,7496.70,7448.12,924.06,-0.65
20171213,7496.51,7500.41,7510.77,7492.58,1.03b,-0.05
20171212,7500.41,7453.48,7501.52,7448.31,1.02b,0.63
20171211,7453.48,7393.96,7458.40,7393.58,933.60,0.80
20171208,7393.96,7320.75,7412.21,7314.23,1.04b,1.00
20171207,7320.75,7348.03,7371.73,7314.60,823.88,-0.37
20171206,7348.03,7327.50,7369.71,7289.36,692.98,0.28
20171205,7327.50,7338.97,7373.90,7326.57,903.63,-0.16
20171204,7338.97,7300.49,7369.65,7300.49,768.16,0.53
20171201,7300.49,7326.67,7355.43,7288.73,865.25,-0.36
20171130,7326.67,7393.56,7416.26,7326.67,1.38b,-0.90
20171129,7393.56,7460.65,7460.65,7386.67,1.11b,-0.90
20171128,7460.65,7383.90,7469.61,7373.95,946.12,1.04
20171127,7383.90,7409.64,7438.39,7383.90,656.44,-0.35
20171124,7409.64,7417.24,7425.19,7389.54,561.89,-0.10
20171123,7417.24,7419.02,7422.73,7373.31,577.46,-0.02
20171122,7419.02,7411.34,7460.91,7410.38,859.39,0.10
20171121,7411.34,7389.46,7422.18,7367.86,753.29,0.30
20171120,7389.46,7380.68,7397.39,7350.37,738.28,0.12
20171117,7380.68,7386.94,7406.53,7356.16,731.96,-0.08
20171116,7386.94,7372.61,7393.28,7368.14,926.68,0.19
20171115,7372.61,7414.42,7415.09,7357.06,919.47,-0.56
20171114,7414.42,7415.18,7436.57,7396.92,1.18b,-0.01
20171113,7415.18,7432.99,7469.30,7402.95,759.79,-0.24
20171110,7432.99,7484.10,7500.29,7421.73,694.70,-0.68
20171109,7484.10,7529.72,7532.20,7476.89,860.71,-0.61
20171108,7529.72,7513.11,7534.49,7504.77,807.97,0.22
20171107,7513.11,7562.28,7582.85,7507.83,747.48,-0.65
20171106,7562.28,7560.35,7572.90,7544.20,632.91,0.03
20171103,7560.35,7555.32,7580.95,7541.91,672.31,0.07
20171102,7555.32,7487.96,7562.26,7478.88,1.03b,0.90
20171101,7487.96,7493.08,7532.36,7487.96,1.21b,-0.07
20171031,7493.08,7487.81,7516.85,7483.97,730.56,0.07
20171030,7487.81,7505.03,7507.02,7478.41,749.41,-0.23
20171027,7505.03,7486.50,7520.76,7485.24,870.03,0.25
20171026,7486.50,7447.21,7488.26,7440.11,1.02b,0.53
20171025,7447.21,7526.54,7528.46,7437.42,922.39,-1.05
20171024,7526.54,7524.45,7535.22,7508.50,676.61,0.03
20171023,7524.45,7523.23,7542.00,7511.77,565.83,0.02
20171020,7523.23,7523.04,7560.04,7517.07,752.95,0.00
20171019,7523.04,7542.87,7542.87,7485.42,828.89,-0.26
20171018,7542.87,7516.17,7555.24,7516.17,645.75,0.36
20171017,7516.17,7526.97,7550.44,7506.31,1.03b,-0.14
20171016,7526.97,7535.44,7557.00,7526.73,738.06,-0.11
20171013,7535.44,7556.24,7556.24,7521.09,686.92,-0.28
20171012,7556.24,7533.81,7565.11,7526.33,722.80,0.30
20171011,7533.81,7538.27,7550.17,7519.60,1.25b,-0.06
20171010,7538.27,7507.89,7543.88,7504.56,821.71,0.40
20171009,7507.89,7522.87,7523.65,7493.68,695.85,-0.20
20171006,7522.87,7507.99,7527.72,7507.99,694.72,0.20
20171005,7507.99,7467.58,7507.99,7464.40,775.86,0.54
20171004,7467.58,7468.11,7476.33,7456.61,945.11,-0.01
20171003,7468.11,7438.84,7469.82,7426.67,718.75,0.39
20171002,7438.84,7372.76,7438.84,7372.73,891.03,0.90
20170929,7372.76,7322.82,7382.67,7321.64,750.78,0.68
20170928,7322.82,7313.51,7323.33,7289.75,748.36,0.13
