fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,26436.52,26584.28,26607.92,26435.61,390.93,-0.68
20180126,26616.71,26466.74,26616.71,26425.35,477.78,0.85
20180125,26392.79,26313.06,26458.25,26259.72,401.39,0.54
20180124,26252.12,26282.07,26392.80,26106.94,518.79,0.16
20180123,26210.81,26214.87,26246.19,26143.90,433.49,-0.01
20180122,26214.60,26025.32,26215.23,25974.65,431.20,0.55
20180119,26071.72,25987.35,26071.72,25942.83,585.00,0.21
20180118,26017.81,26149.55,26153.42,25947.32,492.78,-0.37
20180117,26115.65,25910.78,26130.45,25865.02,522.72,1.25
20180116,25792.86,25987.62,26086.12,25702.99,606.52,-0.04
20180112,25803.19,25638.39,25810.43,25633.08,376.40,0.89
20180111,25574.73,25398.60,25575.42,25396.19,346.83,0.81
20180110,25369.13,25348.13,25404.92,25256.99,341.47,-0.07
20180109,25385.80,25312.05,25439.78,25308.41,333.49,0.41
20180108,25283.00,25308.40,25311.99,25235.41,341.39,-0.05
20180105,25295.87,25114.92,25299.79,25112.01,358.02,0.88
20180104,25075.13,24964.86,25105.96,24963.27,403.28,0.61
20180103,24922.68,24850.45,24941.92,24825.55,456.79,0.40
20180102,24824.01,24809.35,24864.19,24741.70,341.13,0.42
20171229,24719.22,24849.63,24871.66,24719.22,270.76,-0.48
20171228,24837.51,24807.21,24839.23,24797.13,200.96,0.26
20171227,24774.30,24766.52,24789.52,24731.68,225.89,0.11
20171226,24746.21,24715.84,24778.13,24708.42,208.29,-0.03
20171222,24754.06,24764.04,24784.15,24717.51,255.14,-0.11
20171221,24782.29,24778.26,24850.91,24766.27,339.53,0.23
20171220,24726.65,24838.09,24852.44,24697.11,341.79,-0.11
20171219,24754.75,24834.38,24850.11,24715.60,335.33,-0.15
20171218,24792.20,24739.56,24876.07,24739.56,354.88,0.57
20171215,24651.74,24585.71,24688.62,24584.44,635.74,0.58
20171214,24508.66,24631.01,24672.48,24508.66,314.78,-0.31
20171213,24585.43,24525.19,24666.02,24518.30,325.28,0.33
20171212,24504.80,24452.96,24552.97,24443.83,342.22,0.49
