fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,728.69,722.33,728.71,722.33,-,0.92
20180126,722.03,722.03,722.03,722.03,-,1.33
20180125,712.57,712.57,712.57,712.57,-,6.54
20180124,668.80,668.80,668.80,668.80,-,0.27
20180123,666.98,666.98,666.98,666.98,-,-0.12
20180122,667.76,667.76,667.76,667.76,-,0.46
20180119,664.72,664.72,664.72,664.72,-,-0.03
20180118,664.90,664.90,664.90,664.90,-,0.24
20180117,663.30,663.30,663.30,663.30,-,-0.57
20180116,667.09,667.09,667.09,667.09,-,0.46
20180115,664.03,664.03,664.03,664.03,-,-0.12
20180112,664.83,664.83,664.83,664.83,-,0.11
20180111,664.13,664.13,664.13,664.13,-,-0.43
20180110,667.03,667.03,667.03,667.03,-,0.24
20180109,665.40,665.40,665.40,665.40,-,-0.55
20180108,669.09,669.09,669.09,669.09,-,0.50
20180105,665.74,665.74,665.74,665.74,-,-0.18
20180104,666.97,666.97,666.97,666.97,-,0.47
20180103,663.87,663.87,663.87,663.87,-,0.75
20180102,658.91,658.91,658.91,658.91,-,0.86
20171229,653.29,653.29,653.29,653.29,-,0.79
20171228,648.15,648.15,648.15,648.15,-,-0.14
20171227,649.07,649.07,649.07,649.07,-,-0.18
20171222,650.25,650.25,650.25,650.25,-,0.24
20171221,648.71,648.71,648.71,648.71,-,-0.65
20171220,652.96,652.96,652.96,652.96,-,0.37
20171219,650.56,650.56,650.56,650.56,-,0.18
20171218,649.37,649.37,649.37,649.37,-,-0.72
20171215,654.09,654.09,654.09,654.09,-,0.55
20171214,650.53,650.53,650.53,650.53,-,-0.80
20171213,655.75,655.75,655.75,655.75,-,-0.14
20171212,656.69,656.69,656.69,656.69,-,-0.40
20171211,659.35,659.35,659.35,659.35,-,-0.45
20171208,662.32,662.32,662.32,662.32,-,0.08
20171207,661.82,661.82,661.82,661.82,-,0.07
20171206,661.35,661.35,661.35,661.35,-,0.12
20171205,660.53,660.53,660.53,660.53,-,-0.08
20171204,661.03,661.03,661.03,661.03,-,-0.52
20171201,664.49,664.49,664.49,664.49,-,0.65
20171130,660.19,660.19,660.19,660.19,-,0.92
20171129,654.17,654.17,654.17,654.17,-,-0.38
20171128,656.68,656.68,656.68,656.68,-,-0.39
20171127,659.25,659.25,659.25,659.25,-,0.23
20171124,657.71,657.71,657.71,657.71,-,-0.01
20171123,657.76,657.76,657.76,657.76,-,-0.10
20171122,658.42,658.42,658.42,658.42,-,0.15
20171121,657.45,657.45,657.45,657.45,-,0.21
20171120,656.04,656.04,656.04,656.04,-,-0.66
20171117,660.40,660.40,660.40,660.40,-,-0.11
20171116,661.12,661.12,661.12,661.12,-,-0.02
20171115,661.24,661.24,661.24,661.24,-,-0.15
20171114,662.22,662.22,662.22,662.22,-,0.29
20171113,660.31,660.31,660.31,660.31,-,-0.01
20171110,660.39,660.39,660.39,660.39,-,-0.20
20171109,661.70,661.70,661.70,661.70,-,-0.38
20171108,664.24,664.24,664.24,664.24,-,0.17
20171107,663.13,663.13,663.13,663.13,-,0.12
20171106,662.32,662.32,662.32,662.32,-,-0.44
20171103,665.25,665.25,665.25,665.25,-,-0.05
20171102,665.57,665.57,665.57,665.57,-,0.74
20171031,660.67,660.67,660.67,660.67,-,-0.14
20171030,661.57,661.57,661.57,661.57,-,0.10
20171027,660.93,660.93,660.93,660.93,-,0.40
20171026,658.29,658.29,658.29,658.29,-,0.15
20171025,657.28,657.28,657.28,657.28,-,0.24
20171024,655.70,655.70,655.70,655.70,-,-0.15
20171023,656.68,656.68,656.68,656.68,-,0.11
20171020,655.96,655.96,655.96,655.96,-,-0.13
20171019,656.80,656.80,656.80,656.80,-,0.45
20171018,653.88,653.88,653.88,653.88,-,0.80
20171017,648.68,648.68,648.68,648.68,-,-0.17
20171016,649.81,649.81,649.81,649.81,-,0.34
20171013,647.64,647.64,647.64,647.64,-,0.35
20171012,645.40,645.40,645.40,645.40,-,0.39
20171011,642.87,642.87,642.87,642.87,-,0.07
20171010,642.42,642.42,642.42,642.42,-,-0.27
20171009,644.13,644.13,644.13,644.13,-,-0.12
20171006,644.92,644.92,644.92,644.92,-,-0.25
20171005,646.51,646.51,646.51,646.51,-,-0.28
20171004,648.32,648.32,648.32,648.32,-,0.29
20171003,646.47,646.47,646.47,646.47,-,0.41
20171002,643.85,643.85,643.85,643.85,-,0.31
20170929,641.84,641.84,641.84,641.84,-,0.48
20170928,638.75,638.75,638.75,638.75,-,-0.01
20170927,638.79,638.79,638.79,638.79,-,-0.13
20170926,639.59,639.59,639.59,639.59,-,-0.70
20170925,644.07,644.07,644.07,644.07,-,-0.23
20170922,645.57,645.57,645.57,645.57,-,-0.37
20170921,647.96,647.96,647.96,647.96,-,0.48
20170920,644.89,644.89,644.89,644.89,-,0.00
20170919,644.89,644.89,644.89,644.89,-,0.29
20170918,643.00,643.00,643.00,643.00,-,0.20
20170915,641.72,641.72,641.72,641.72,-,0.20
20170914,640.43,640.43,640.43,640.43,-,-0.84
20170913,645.88,645.88,645.88,645.88,-,-0.37
20170912,648.27,648.27,648.27,648.27,-,0.22
20170911,646.82,646.82,646.82,646.82,-,0.05
20170908,646.51,646.51,646.51,646.51,-,-0.12
20170907,647.30,647.30,647.30,647.30,-,0.28
20170906,645.48,645.48,645.48,645.48,-,-1.22
20170905,653.44,653.44,653.44,653.44,-,-0.15
20170904,654.44,654.44,654.44,654.44,-,-0.30
20170901,656.40,656.40,656.40,656.40,-,-0.38
20170831,658.90,658.90,658.90,658.90,-,0.34
20170830,656.65,656.65,656.65,656.65,-,0.37
20170829,654.21,654.21,654.21,654.21,-,0.32
20170828,652.10,652.10,652.10,652.10,-,-0.20
20170825,653.42,653.42,653.42,653.42,-,-0.02
20170824,653.52,653.52,653.52,653.52,-,0.27
20170823,651.77,651.77,651.77,651.77,-,0.14
20170822,650.85,650.85,650.85,650.85,-,-0.02
20170821,650.97,650.97,650.97,650.97,-,-0.10
20170818,651.59,651.59,651.59,651.59,-,0.02
20170817,651.47,651.47,651.47,651.47,-,0.41
20170816,648.78,648.78,648.78,648.78,-,0.37
20170814,646.38,646.38,646.38,646.38,-,0.18
20170811,645.20,645.20,645.20,645.20,-,-0.77
20170810,650.23,650.23,650.23,650.23,-,0.24
20170809,648.68,648.68,648.68,648.68,-,0.75
20170808,643.86,643.86,643.86,643.86,-,1.50
20170807,634.33,634.33,634.33,634.33,-,0.29
20170804,632.50,632.50,632.50,632.50,-,0.46
20170803,629.63,629.63,629.63,629.63,-,0.41
20170802,627.08,627.08,627.08,627.08,-,-0.28
20170801,628.86,628.86,628.86,628.86,-,0.49
20170731,625.77,625.77,625.77,625.77,-,-0.12
20170728,626.53,626.53,626.53,626.53,-,0.60
20170727,622.79,622.79,622.79,622.79,-,0.35
20170726,620.64,620.64,620.64,620.64,-,-0.19
20170725,621.81,621.81,621.81,621.81,-,0.18
20170724,620.67,620.67,620.67,620.67,-,0.16
20170721,619.69,619.69,619.69,619.69,-,0.41
20170720,617.14,617.14,617.14,617.14,-,0.47
20170719,614.23,614.23,614.23,614.23,-,-0.39
20170718,616.63,616.63,616.63,616.63,-,0.81
20170717,611.70,611.70,611.70,611.70,-,0.01
20170714,611.61,611.61,611.61,611.61,-,0.09
20170713,611.04,611.04,611.04,611.04,-,-0.11
20170712,611.71,611.71,611.71,611.71,-,0.82
20170711,606.75,606.75,606.75,606.75,-,0.93
20170710,601.18,601.18,601.18,601.18,-,-0.22
20170707,602.53,602.53,602.53,602.53,-,0.02
20170705,602.40,602.40,602.40,602.40,-,0.11
20170704,601.75,601.75,601.75,601.75,-,0.49
20170703,598.84,598.84,598.84,598.84,-,0.30
20170630,597.07,597.07,597.07,597.07,-,0.42
20170629,594.58,594.58,594.58,594.58,-,0.04
20170628,594.35,594.35,594.35,594.35,-,0.13
20170627,593.58,593.58,593.58,593.58,-,-0.01
20170626,593.63,593.63,593.63,593.63,-,1.32
20170623,585.87,585.87,585.87,585.87,-,-1.23
20170622,593.17,593.17,593.17,593.17,-,0.20
20170621,592.01,592.01,592.01,592.01,-,0.22
20170620,590.73,590.73,590.73,590.73,-,-0.51
20170619,593.73,593.73,593.73,593.73,-,-0.02
20170616,593.87,593.87,593.87,593.87,-,0.38
20170615,591.61,591.61,591.61,591.61,-,-0.23
20170614,592.98,592.98,592.98,592.98,-,-0.24
20170613,594.39,594.39,594.39,594.39,-,-0.09
20170612,594.95,594.95,594.95,594.95,-,0.20
20170609,593.75,593.75,593.75,593.75,-,-0.13
20170608,594.52,594.52,594.52,594.52,-,0.06
20170607,594.17,594.17,594.17,594.17,-,0.28
20170606,592.50,592.50,592.50,592.50,-,-0.06
20170605,592.86,592.86,592.86,592.86,-,0.21
20170602,591.61,591.61,591.61,591.61,-,-0.06
20170601,591.95,591.95,591.95,591.95,-,-0.03
20170531,592.11,592.11,592.11,592.11,-,0.47
20170530,589.35,589.35,589.35,589.35,-,0.73
20170529,585.09,585.09,585.09,585.09,-,0.23
20170526,583.74,583.74,583.74,583.74,-,-0.35
20170524,585.79,585.79,585.79,585.79,-,0.39
20170523,583.49,583.49,583.49,583.49,-,-0.01
20170522,583.52,583.52,583.52,583.52,-,-0.16
20170519,584.47,584.47,584.47,584.47,-,0.38
20170518,582.24,582.24,582.24,582.24,-,0.05
20170517,581.95,581.95,581.95,581.95,-,-0.73
