fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,2593.40,2607.03,2607.03,2583.40,14.46,-0.27
20180126,2600.48,2592.23,2601.99,2587.26,19.19,0.43
20180125,2589.30,2614.92,2616.47,2587.95,20.92,-1.23
20180124,2621.59,2629.40,2630.21,2606.34,19.31,-0.33
20180123,2630.37,2629.53,2650.16,2613.07,28.51,0.36
20180122,2620.87,2600.44,2621.93,2599.95,17.12,0.73
20180119,2601.82,2592.75,2604.46,2589.89,14.91,0.41
20180118,2591.22,2604.79,2610.63,2591.22,17.71,-0.35
20180117,2600.37,2587.72,2606.59,2584.69,20.61,0.36
20180116,2591.10,2541.61,2602.34,2529.68,30.69,1.91
20180115,2542.65,2535.37,2546.66,2523.83,9.11,0.13
20180112,2539.29,2536.81,2550.79,2527.02,17.34,0.19
20180111,2534.56,2517.35,2534.56,2504.67,24.59,0.93
20180110,2511.27,2531.05,2531.60,2499.76,20.88,-0.68
20180109,2528.38,2552.50,2555.69,2522.21,23.98,-0.79
20180108,2548.61,2534.53,2551.32,2529.45,20.12,0.75
20180105,2529.55,2530.77,2538.34,2514.09,24.86,-0.14
20180104,2533.17,2473.23,2536.84,2473.23,30.46,2.84
20180103,2463.25,2463.26,2474.76,2430.69,20.68,0.08
20171229,2461.21,2479.48,2481.71,2452.07,14.24,-0.77
20171228,2480.25,2475.48,2484.41,2464.31,14.43,-0.02
20171227,2480.63,2445.51,2480.63,2445.51,16.98,1.43
20171222,2445.65,2462.69,2468.27,2445.65,10.11,-0.73
20171221,2463.59,2460.57,2467.89,2450.37,14.93,0.17
20171220,2459.33,2455.50,2473.47,2453.77,16.78,0.14
20171219,2455.99,2465.96,2478.97,2455.99,14.65,-0.41
20171218,2466.08,2420.28,2466.08,2420.28,16.87,2.03
20171215,2416.95,2430.72,2432.48,2402.95,39.45,-0.73
20171214,2434.61,2405.42,2434.61,2404.08,25.03,1.04
20171213,2409.46,2411.34,2415.97,2400.94,16.89,-0.17
20171212,2413.68,2385.06,2413.68,2375.20,23.13,1.12
20171211,2386.93,2410.81,2417.30,2381.80,13.45,-0.91
20171208,2408.83,2400.60,2426.90,2397.88,24.55,0.65
20171207,2393.34,2396.49,2414.00,2378.22,30.21,-0.06
20171206,2394.67,2400.90,2405.69,2383.18,28.56,-0.54
20171205,2407.72,2403.25,2423.52,2396.60,16.61,0.15
20171204,2404.15,2392.69,2424.97,2370.52,18.50,0.60
20171201,2389.92,2411.13,2430.44,2376.91,20.57,-0.78
20171130,2408.69,2436.48,2449.14,2408.69,44.73,-1.13
20171129,2436.24,2491.96,2506.20,2436.24,17.02,-1.99
20171128,2485.71,2494.79,2498.45,2473.94,18.23,-0.46
20171127,2497.15,2477.97,2504.29,2471.74,13.57,0.72
20171124,2479.25,2502.59,2518.04,2478.62,11.57,-0.99
20171123,2503.93,2482.04,2514.94,2473.79,11.57,0.58
20171122,2489.50,2490.63,2500.37,2472.85,18.17,0.02
20171121,2489.08,2469.21,2496.62,2465.91,21.24,0.85
20171120,2468.09,2438.15,2470.34,2431.37,14.08,0.99
20171117,2443.83,2412.64,2445.70,2410.81,13.23,1.36
20171116,2411.11,2428.52,2438.67,2409.42,24.88,-0.32
20171115,2418.96,2460.26,2460.26,2412.78,17.08,-1.84
20171114,2464.35,2464.53,2477.10,2456.17,20.01,0.40
20171113,2454.60,2458.90,2472.26,2442.08,26.69,-0.12
20171110,2457.62,2477.93,2482.26,2456.04,26.89,-0.83
20171109,2478.21,2513.25,2513.88,2466.03,20.89,-1.40
20171108,2513.34,2545.38,2548.95,2512.40,20.13,-0.91
20171107,2536.37,2521.05,2566.59,2521.05,23.71,0.84
20171106,2515.34,2497.52,2522.12,2486.33,14.10,0.83
20171103,2494.52,2503.49,2509.59,2483.21,16.36,-0.28
20171102,2501.40,2524.52,2532.85,2496.85,15.11,-0.93
20171031,2524.90,2514.24,2524.90,2504.11,15.67,0.31
20171030,2517.03,2490.80,2521.41,2490.80,12.46,1.15
20171027,2488.50,2462.46,2492.93,2454.83,25.52,1.32
20171026,2456.17,2452.47,2463.63,2441.88,30.67,0.26
20171025,2449.89,2449.02,2466.39,2443.27,13.71,0.06
20171024,2448.45,2468.98,2474.35,2447.09,20.89,-1.01
20171023,2473.42,2466.64,2487.81,2466.64,14.76,0.32
20171020,2465.51,2473.82,2486.56,2457.52,19.16,-0.08
20171019,2467.49,2490.24,2501.36,2465.78,20.08,-1.39
20171018,2502.34,2518.16,2526.25,2502.34,18.13,-0.48
20171017,2514.36,2534.17,2538.75,2514.36,20.08,-0.80
20171016,2534.52,2528.44,2546.95,2528.44,15.73,0.25
20171013,2528.16,2538.56,2546.32,2528.16,14.28,-0.38
20171012,2537.69,2557.48,2566.02,2536.52,21.37,-0.55
20171011,2551.78,2520.81,2556.95,2519.87,32.74,1.40
20171010,2516.49,2506.81,2519.73,2503.89,15.67,0.69
20171009,2499.35,2483.61,2499.35,2479.67,11.98,0.80
20171006,2479.46,2466.00,2485.35,2463.56,20.00,0.65
20171005,2463.45,2444.16,2469.80,2439.73,17.93,0.79
20171004,2444.19,2470.39,2489.93,2443.82,25.13,-1.03
20171003,2469.51,2471.22,2488.67,2465.90,19.84,-0.00
20171002,2469.58,2459.84,2480.47,2456.08,15.27,0.66
20170929,2453.46,2430.17,2462.04,2430.17,19.54,1.09
20170928,2427.04,2430.81,2440.40,2422.97,18.05,-0.28
20170927,2433.82,2447.67,2456.47,2430.03,12.15,-0.39
20170926,2443.34,2452.04,2461.48,2437.15,14.17,-0.40
20170925,2453.15,2479.08,2485.20,2453.15,12.08,-1.11
20170922,2480.73,2464.57,2481.28,2460.28,16.70,0.49
20170921,2468.72,2501.16,2501.16,2464.53,18.55,-1.24
20170920,2499.63,2505.52,2518.10,2480.20,12.88,-0.13
20170919,2502.81,2495.79,2512.63,2495.79,16.35,0.04
20170918,2501.75,2503.74,2525.41,2497.10,15.09,0.14
20170915,2498.32,2507.00,2514.27,2492.89,44.02,-0.36
20170914,2507.43,2502.15,2511.08,2498.32,20.55,0.29
20170913,2500.16,2507.73,2522.25,2499.45,18.01,-0.23
20170912,2505.88,2518.15,2536.08,2500.09,18.66,-0.30
20170911,2513.44,2489.43,2524.21,2489.43,17.10,1.20
20170908,2483.58,2488.67,2499.63,2479.83,18.17,-0.33
20170907,2491.79,2511.82,2528.65,2482.13,24.76,-0.82
20170906,2512.40,2512.11,2528.30,2506.30,18.70,-0.20
20170905,2517.45,2521.04,2550.74,2513.24,20.40,-0.08
20170904,2519.42,2513.38,2525.72,2508.27,15.06,-0.32
20170901,2527.62,2512.46,2528.82,2508.86,15.90,0.45
20170831,2516.26,2520.23,2532.83,2501.59,26.15,-0.33
20170830,2524.57,2507.29,2537.24,2503.35,24.31,1.08
20170829,2497.58,2525.41,2525.41,2479.35,23.90,-1.33
20170828,2531.31,2474.13,2534.04,2470.06,21.49,2.41
20170825,2471.74,2464.81,2481.63,2459.27,19.64,0.63
20170824,2456.27,2395.30,2456.82,2395.30,28.82,2.73
20170823,2391.06,2387.52,2395.62,2374.66,14.97,0.16
20170822,2387.24,2380.47,2393.15,2376.43,18.20,0.42
20170821,2377.28,2358.89,2378.20,2350.86,18.08,0.74
20170818,2359.87,2346.80,2359.87,2338.60,18.98,0.28
20170817,2353.18,2378.87,2381.49,2353.18,22.42,-1.18
20170816,2381.18,2378.88,2401.17,2378.88,24.49,0.19
20170814,2376.66,2375.77,2388.28,2374.89,12.26,0.21
20170811,2371.72,2373.71,2379.21,2364.30,17.59,-0.46
20170810,2382.67,2403.19,2412.20,2378.92,20.44,-1.06
20170809,2408.11,2420.38,2420.38,2391.26,18.51,-0.70
20170808,2425.02,2387.51,2425.02,2383.14,17.92,1.54
20170807,2388.21,2380.96,2391.39,2376.42,12.89,0.34
20170804,2380.16,2365.84,2385.36,2365.84,14.22,0.62
20170803,2365.48,2365.65,2374.80,2353.22,19.91,-0.02
20170802,2366.06,2387.69,2397.40,2363.84,23.66,-0.85
20170801,2386.40,2377.03,2387.16,2366.02,21.99,0.52
20170731,2374.17,2357.45,2388.25,2356.82,27.54,0.58
20170728,2360.42,2344.85,2360.83,2331.71,23.28,0.40
20170727,2350.91,2361.54,2363.85,2343.57,19.42,-0.40
20170726,2360.26,2344.28,2363.74,2344.28,16.09,0.81
20170725,2341.36,2337.80,2346.12,2328.87,25.05,0.29
20170724,2334.69,2344.63,2345.94,2329.49,13.87,-0.36
20170721,2343.10,2356.90,2370.28,2342.42,20.64,-0.65
20170720,2358.50,2375.73,2387.10,2357.35,24.81,-0.67
20170719,2374.31,2364.00,2378.42,2362.34,22.26,0.57
20170718,2360.75,2367.99,2381.08,2355.40,18.68,-0.48
20170717,2372.17,2353.46,2379.20,2353.46,18.29,0.92
20170714,2350.43,2349.47,2351.05,2333.11,20.60,-0.02
20170713,2350.83,2335.49,2350.83,2333.08,32.08,0.40
20170712,2341.54,2297.08,2343.27,2297.08,30.80,1.91
20170711,2297.73,2303.48,2312.57,2294.20,17.64,-0.13
20170710,2300.66,2305.52,2316.01,2290.47,13.26,0.21
20170707,2295.82,2299.26,2306.23,2290.98,13.06,-0.21
20170706,2300.74,2309.29,2323.94,2288.76,13.31,-0.29
20170705,2307.49,2298.75,2307.87,2294.14,19.00,0.58
20170704,2294.27,2317.64,2317.64,2293.08,12.07,-1.27
20170703,2323.74,2305.25,2323.74,2301.55,10.84,1.04
20170630,2299.80,2324.71,2329.24,2297.08,20.12,-1.26
20170629,2329.26,2334.50,2350.41,2315.39,15.56,0.07
20170628,2327.68,2343.41,2343.41,2322.38,18.70,-0.74
20170627,2345.05,2334.82,2355.53,2332.27,23.10,0.31
20170626,2337.69,2313.84,2351.61,2313.84,16.79,1.44
20170623,2304.48,2305.70,2317.13,2302.88,21.77,-0.16
20170622,2308.16,2313.60,2323.43,2300.68,18.95,-0.47
20170621,2319.13,2295.92,2319.13,2280.63,28.21,0.71
20170620,2302.83,2327.84,2327.84,2297.65,19.69,-1.35
20170619,2334.27,2312.63,2337.06,2312.63,26.72,1.29
20170616,2304.50,2293.17,2315.37,2290.96,35.24,0.37
20170614,2295.99,2301.42,2311.02,2288.64,23.32,-0.28
20170613,2302.41,2297.30,2310.42,2284.71,16.78,0.32
20170612,2295.01,2329.90,2329.90,2288.64,16.47,-1.53
20170609,2330.72,2339.71,2355.79,2330.72,20.80,-0.41
20170608,2340.23,2310.69,2343.56,2300.75,24.47,1.37
20170607,2308.64,2308.36,2328.34,2305.34,27.35,0.22
20170606,2303.68,2270.87,2307.50,2257.98,19.90,1.22
20170605,2276.01,2301.67,2302.40,2271.97,16.07,-1.18
20170602,2303.21,2292.38,2303.21,2289.42,19.61,1.10
20170601,2278.26,2283.62,2289.82,2267.37,25.96,-0.13
20170531,2281.18,2292.96,2317.62,2277.06,49.62,-0.48
20170530,2292.27,2315.74,2315.74,2286.41,17.73,-1.35
20170529,2323.58,2326.69,2331.27,2314.70,6.71,-0.12
20170526,2326.28,2353.12,2354.58,2326.28,16.85,-1.36
20170525,2358.41,2339.54,2363.03,2339.54,31.90,1.44
20170524,2324.99,2305.98,2324.99,2292.01,23.59,0.74
