fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,305.18,305.18,305.18,305.18,-,-0.15
20180125,305.64,305.64,305.64,305.64,-,-0.14
20180124,306.07,306.07,306.07,306.07,-,0.00
20180123,306.07,306.07,306.07,306.07,-,0.11
20180122,305.73,305.73,305.73,305.73,-,0.01
20180119,305.70,305.70,305.70,305.70,-,-1.82
20180118,311.37,311.37,311.37,311.37,-,0.00
20180117,311.37,311.37,311.37,311.37,-,-0.58
20180116,313.18,313.18,313.18,313.18,-,-0.89
20180115,315.99,315.99,315.99,315.99,-,-0.03
20180112,316.10,316.10,316.10,316.10,-,-1.98
20180111,322.49,322.49,322.49,322.49,-,-0.26
20180110,323.33,323.33,323.33,323.33,-,-0.65
20180109,325.46,325.46,325.46,325.46,-,0.18
20180108,324.89,324.89,324.89,324.89,-,-0.10
20180105,325.23,325.23,325.23,325.23,-,0.08
20180104,324.98,324.98,324.98,324.98,-,-0.74
20180103,327.40,327.40,327.40,327.40,-,1.06
20180102,323.98,323.98,323.98,323.98,-,0.00
20171229,323.98,323.98,323.98,323.98,-,0.00
20171227,323.98,323.98,323.98,323.98,-,1.97
20171221,317.73,317.73,317.73,317.73,-,-0.22
20171220,318.43,318.43,318.43,318.43,-,-1.40
20171219,322.96,322.96,322.96,322.96,-,-1.36
20171218,327.41,327.41,327.41,327.41,-,-0.51
20171215,329.10,329.10,329.10,329.10,-,0.00
20171214,329.10,329.10,329.10,329.10,-,-1.01
20171213,332.46,332.46,332.46,332.46,-,-1.00
20171212,335.82,335.82,335.82,335.82,-,0.65
20171211,333.64,333.64,333.64,333.64,-,-0.69
20171208,335.97,335.97,335.97,335.97,-,-2.00
20171207,342.81,342.81,342.81,342.81,-,0.18
20171206,342.20,342.20,342.20,342.20,-,-1.14
20171205,346.15,346.15,346.15,346.15,-,-5.41
20171204,365.93,365.93,365.93,365.93,-,-2.15
20171201,373.97,373.97,373.97,373.97,-,-0.72
20171130,376.69,376.69,376.69,376.69,-,1.51
20171129,371.09,371.09,371.09,371.09,-,5.44
20171128,351.94,351.94,351.94,351.94,-,5.47
20171127,333.68,333.68,333.68,333.68,-,4.72
20171124,318.65,318.65,318.65,318.65,-,1.12
20171123,315.12,315.12,315.12,315.12,-,-4.40
20171122,329.63,329.63,329.63,329.63,-,-5.07
20171121,347.25,347.25,347.25,347.25,-,-10.36
20171120,387.38,387.38,387.38,387.38,-,-10.48
20171117,432.72,432.72,432.72,432.72,-,-17.93
20171116,527.27,527.27,527.27,527.27,-,0.00
20171115,527.27,527.27,527.27,527.27,-,-1.28
20171114,534.13,534.13,534.13,534.13,-,0.37
20171113,532.17,532.17,532.17,532.17,-,0.12
20171110,531.55,531.55,531.55,531.55,-,-0.31
20171109,533.20,533.20,533.20,533.20,-,0.59
20171108,530.08,530.08,530.08,530.08,-,0.49
20171107,527.49,527.49,527.49,527.49,-,0.62
20171106,524.23,524.23,524.23,524.23,-,-0.27
20171103,525.63,525.63,525.63,525.63,-,0.21
20171102,524.51,524.51,524.51,524.51,-,0.25
20171101,523.22,523.22,523.22,523.22,-,0.26
20171031,521.85,521.85,521.85,521.85,-,1.26
20171030,515.36,515.36,515.36,515.36,-,0.21
20171027,514.30,514.30,514.30,514.30,-,0.08
20171026,513.87,513.87,513.87,513.87,-,-0.39
20171025,515.90,515.90,515.90,515.90,-,0.00
20171024,515.90,515.90,515.90,515.90,-,-0.12
20171023,516.54,516.54,516.54,516.54,-,-0.13
20171020,517.23,517.23,517.23,517.23,-,0.00
20171019,517.23,517.23,517.23,517.23,-,0.25
20171018,515.95,515.95,515.95,515.95,-,-0.21
20171017,517.02,517.02,517.02,517.02,-,0.85
20171016,512.67,512.67,512.67,512.67,-,1.45
20171013,505.32,505.32,505.32,505.32,-,2.16
20171012,494.64,494.64,494.64,494.64,-,1.54
20171011,487.15,487.15,487.15,487.15,-,3.95
20171010,468.64,468.64,468.64,468.64,-,1.25
20171009,462.84,462.84,462.84,462.84,-,3.12
20171006,448.83,448.83,448.83,448.83,-,1.03
20171005,444.27,444.27,444.27,444.27,-,2.61
