fecha,ultima,apertura,maximo,minimo
20070719,3.3702099999999997,3.3702099999999997,3.3702099999999997,3.3702099999999997
20070720,3.7103300000000004,3.6518300000000004,3.7186800000000004,3.5849800000000003
20070723,3.66019,3.72704,3.74375,3.6351199999999997
20070724,3.5682699999999996,3.66019,3.66019,3.55155
20070725,3.6351199999999997,3.59334,3.6351199999999997,3.5264800000000003
20070726,3.4847,3.59334,3.59334,3.4262
20070727,3.4847,3.4847,3.51813,3.4429199999999995
20070730,3.45963,3.4847,3.55991,3.4512699999999996
20070731,3.4679900000000004,3.5264800000000003,3.5432,3.4679900000000004
20070801,3.5097699999999996,3.4512699999999996,3.5097699999999996,3.4262
20070802,3.5097699999999996,3.5097699999999996,3.55155,3.5097699999999996
20070803,3.45963,3.5097699999999996,3.5097699999999996,3.45963
20070806,3.4094900000000004,3.4429199999999995,3.4429199999999995,3.40113
20070807,3.4094900000000004,3.39278,3.4429199999999995,3.39278
20070808,3.4262,3.4262,3.45963,3.4262
20070809,3.3092099999999998,3.3844199999999995,3.4262,3.3092099999999998
20070810,3.15044,3.25907,3.25907,3.14208
20070813,3.20893,3.20893,3.21729,3.15879
20070814,3.11701,3.17551,3.1922200000000003,3.05016
20070815,2.90809,3.05016,3.06687,2.84124
20070816,2.75768,2.75768,2.75768,2.5905400000000003
20070817,2.89138,2.91645,2.91645,2.79946
20070821,2.88302,2.92481,2.92481,2.84124
20070822,2.89138,2.94988,2.95823,2.87467
20070823,2.94152,2.92481,2.95823,2.90809
20070824,3.05851,2.94152,3.05851,2.94152
20070827,3.03344,3.05851,3.05851,3.00837
20070828,2.84124,2.99166,2.99166,2.84124
20070829,2.92481,2.84124,2.92481,2.84124
20070830,2.88302,2.88302,2.89974,2.85795
20070831,2.96659,2.93316,2.96659,2.90809
20070903,2.9833,2.96659,2.9833,2.96659
20070904,2.88302,2.9833,2.9833,2.88302
20070905,2.88302,2.87467,2.89974,2.84124
20070906,2.91645,2.88302,2.94988,2.88302
20070907,2.89974,2.90809,2.90809,2.88302
20070910,2.84124,2.88302,2.88302,2.84124
20070911,2.80782,2.84124,2.86631,2.80782
20070912,2.79946,2.7911,2.84124,2.7911
20070913,2.81617,2.81617,2.84124,2.81617
20070914,2.85795,2.81617,2.87467,2.81617
20070917,2.8245299999999998,2.84124,2.8496,2.80782
20070918,2.95823,2.86631,2.96659,2.8328900000000004
20070919,2.94988,3.00837,3.07523,2.92481
20070920,2.90809,2.94152,2.94152,2.89138
20070921,2.87467,2.90809,2.92481,2.87467
20070924,2.84124,2.87467,2.87467,2.81617
20070925,2.85795,2.84124,2.85795,2.8328900000000004
20070926,2.87467,2.85795,2.89138,2.8496
20070927,2.8496,2.86631,2.86631,2.8328900000000004
20070928,2.80782,2.84124,2.8496,2.79946
20071001,2.7911,2.79946,2.80782,2.75768
20071002,2.81617,2.84124,2.86631,2.78275
20071003,2.8245299999999998,2.84124,2.84124,2.79946
20071004,2.86631,2.8328900000000004,2.87467,2.81617
20071005,3.07523,2.89138,3.07523,2.88302
20071008,2.95823,3.10865,3.12537,2.92481
20071009,2.97495,2.99166,2.99166,2.90809
20071010,3.08358,2.95823,3.08358,2.95823
20071011,3.07523,3.1337200000000003,3.2423599999999997,3.05016
20071012,3.08358,3.08358,3.1922200000000003,3.08358
20071016,3.03344,3.07523,3.09194,2.99166
20071017,2.92481,3.03344,3.05851,2.91645
20071018,3.05851,2.94152,3.07523,2.91645
20071019,3.08358,3.05851,3.12537,2.97495
20071022,3.07523,3.06687,3.08358,3.00837
20071023,3.1337200000000003,3.09194,3.15879,3.09194
20071024,3.10865,3.12537,3.1337200000000003,3.05851
20071025,3.14208,3.11701,3.16715,3.11701
20071026,3.17551,3.14208,3.17551,3.10865
20071029,3.17551,3.1922200000000003,3.20058,3.1337200000000003
20071030,3.11701,3.16715,3.17551,3.11701
20071031,3.14208,3.11701,3.17551,3.06687
20071101,3.12537,3.09194,3.14208,3.07523
20071102,3.10865,3.12537,3.12537,3.07523
20071105,3.02509,3.08358,3.08358,3.02509
20071107,3.02509,3.02509,3.09194,3.01673
20071108,2.92481,3.00837,3.05016,2.92481
20071109,3.00837,2.94152,3.02509,2.94152
20071112,2.96659,2.96659,2.99166,2.94152
20071113,3.03344,2.96659,3.05016,2.94152
