fecha,ultima,apertura,maximo,minimo
20050103,1.65,1.66,1.67,1.65
20050104,1.635,1.65,1.65,1.635
20050105,1.635,1.6,1.635,1.575
20050106,1.63,1.63,1.63,1.63
20050107,1.64,1.64,1.64,1.64
20050111,1.625,1.625,1.625,1.625
20050112,1.63,1.63,1.63,1.63
20050113,1.67,1.6,1.67,1.6
20050119,1.665,1.62,1.665,1.62
20050120,1.6,1.64,1.64,1.6
20050121,1.6,1.6,1.625,1.6
20050124,1.59,1.59,1.6,1.59
20050128,1.61,1.605,1.61,1.605
20050131,1.61,1.61,1.61,1.61
20050203,1.625,1.625,1.625,1.625
20050204,1.65,1.65,1.66,1.65
20050207,1.635,1.635,1.635,1.635
20050208,1.65,1.65,1.65,1.65
20050209,1.65,1.65,1.65,1.65
20050210,1.675,1.675,1.675,1.675
20050211,1.66,1.695,1.7,1.66
20050214,1.65,1.705,1.705,1.65
20050215,1.675,1.65,1.675,1.65
20050216,1.65,1.675,1.675,1.65
20050217,1.705,1.71,1.71,1.705
20050218,1.725,1.725,1.725,1.725
20050221,1.72,1.72,1.72,1.72
20050222,1.725,1.72,1.725,1.72
20050223,1.7,1.7,1.7,1.7
20050225,1.715,1.715,1.715,1.715
20050228,1.72,1.725,1.725,1.72
20050301,1.7,1.7,1.7,1.7
20050303,1.65,1.675,1.7,1.65
20050304,1.655,1.655,1.67,1.655
20050308,1.725,1.675,1.725,1.665
20050309,1.665,1.665,1.675,1.655
20050310,1.6,1.675,1.675,1.6
20050311,1.6,1.6,1.605,1.6
20050314,1.575,1.575,1.575,1.575
20050315,1.575,1.575,1.575,1.575
20050317,1.625,1.6,1.63,1.6
20050321,1.585,1.585,1.585,1.585
20050323,1.55,1.545,1.55,1.545
20050330,1.6,1.575,1.6,1.575
20050401,1.56,1.6,1.6,1.56
20050405,1.6,1.6,1.6,1.6
20050414,1.54,1.5,1.54,1.5
20050420,1.525,1.54,1.54,1.525
20050421,1.575,1.575,1.575,1.575
20050502,1.54,1.525,1.54,1.525
20050503,1.575,1.54,1.575,1.5
20050504,1.575,1.55,1.575,1.55
20050506,1.525,1.525,1.525,1.525
20050511,1.6,1.525,1.6,1.525
20050513,1.575,1.525,1.6,1.5
