fecha,ultima,apertura,maximo,minimo
20050105,1.60674,1.60674,1.60674,1.60674
20050106,1.56673,1.56673,1.56673,1.56673
20050111,1.56673,1.56673,1.56673,1.56673
20050112,1.56673,1.56673,1.56673,1.56673
20050118,1.60007,1.60007,1.60007,1.60007
20050202,1.56673,1.56673,1.56673,1.56673
20050208,1.55007,1.56673,1.56673,1.55007
20050210,1.55007,1.55007,1.55007,1.55007
20050214,1.56673,1.55007,1.56673,1.55007
20050216,1.56673,1.56673,1.56673,1.56673
20050217,1.56673,1.56673,1.56673,1.56673
20050218,1.56673,1.56673,1.56673,1.56673
20050221,1.66674,1.56673,1.66674,1.56673
20050222,1.7667400000000002,1.70007,1.7667400000000002,1.70007
20050223,1.81675,1.78341,1.85008,1.77341
20050224,1.81675,1.80675,1.81675,1.80675
20050225,1.85008,1.85008,1.85008,1.85008
20050228,1.7667400000000002,1.86675,1.88342,1.7667400000000002
20050301,1.8334099999999998,1.7667400000000002,1.8334099999999998,1.7667400000000002
20050302,1.83008,1.8334099999999998,1.8334099999999998,1.83008
20050303,1.90008,1.8334099999999998,1.90008,1.8334099999999998
20050304,2.03342,1.90008,2.06676,1.90008
20050307,2.1334299999999997,2.1334299999999997,2.1334299999999997,2.1167599999999998
20050308,2.3001,2.23343,2.3001,2.23343
20050309,2.23343,2.3001,2.33343,2.23343
20050310,2.01009,2.03342,2.03342,2.01009
20050311,1.81675,1.9334200000000001,1.9334200000000001,1.81675
20050314,1.6500700000000001,1.7667400000000002,1.7667400000000002,1.6500700000000001
20050315,1.70007,1.6334,1.73341,1.6334
20050316,1.7667400000000002,1.7267400000000002,1.7667400000000002,1.7267400000000002
20050317,1.80008,1.7967400000000002,1.80008,1.7967400000000002
20050318,1.81675,1.8234099999999998,1.8234099999999998,1.81675
20050321,1.81675,1.81675,1.81675,1.81675
20050322,1.8334099999999998,1.80008,1.8334099999999998,1.80008
20050328,1.80008,1.81675,1.81675,1.80008
20050329,1.80008,1.80008,1.80008,1.80008
20050407,1.73341,1.73341,1.73341,1.73341
20050418,1.66674,1.66674,1.66674,1.66674
20050419,1.66674,1.66674,1.66674,1.66674
20050421,1.60007,1.66674,1.66674,1.60007
20050422,1.66674,1.66674,1.66674,1.66674
20050425,1.66674,1.66674,1.66674,1.66674
20050427,1.66674,1.66674,1.66674,1.66674
20050428,1.66674,1.66674,1.66674,1.66674
20050429,1.73341,1.60007,1.73341,1.60007
