fecha,ultima,apertura,maximo,minimo
20050103,2.45256,2.43751,2.48265,2.43751
20050104,2.38485,2.48265,2.48265,2.3698099999999998
20050105,2.40742,2.33219,2.40742,2.25696
20050106,2.40742,2.41494,2.44504,2.40742
20050107,2.43751,2.40742,2.44504,2.38485
20050110,2.6255900000000003,2.43751,2.6255900000000003,2.43751
20050111,2.55036,2.5955,2.5955,2.48265
20050112,2.55036,2.55036,2.56541,2.50522
20050113,2.52027,2.52027,2.53532,2.48265
20050114,2.48265,2.48265,2.48265,2.48265
20050117,2.53532,2.52027,2.54284,2.4977
20050118,2.58798,2.5955,2.5955,2.55036
20050119,2.5955,2.58798,2.5955,2.55789
20050120,2.58798,2.55789,2.58798,2.55789
20050121,2.63312,2.5955,2.63312,2.5955
20050124,2.63312,2.60302,2.63312,2.60302
20050125,2.5955,2.63312,2.63312,2.5955
20050126,2.63312,2.63312,2.63312,2.5955
20050127,2.63312,2.64816,2.64816,2.5955
20050128,2.61807,2.63312,2.63312,2.5955
20050131,2.63312,2.61807,2.63312,2.61807
20050201,2.6255900000000003,2.63312,2.63312,2.6255900000000003
20050202,2.61055,2.60302,2.63312,2.5955
20050203,2.6255900000000003,2.61055,2.6255900000000003,2.58045
20050204,2.6255900000000003,2.63312,2.63312,2.5955
20050207,2.61055,2.61055,2.61055,2.58798
20050208,2.58798,2.5955,2.5955,2.54284
20050209,2.58045,2.55789,2.58045,2.55036
20050210,2.54284,2.55789,2.55789,2.54284
20050211,2.54284,2.54284,2.54284,2.52027
20050214,2.58045,2.54284,2.58798,2.54284
20050215,2.55789,2.58045,2.58045,2.54284
20050216,2.5955,2.55789,2.5955,2.52779
20050217,2.70835,2.5955,2.7309200000000002,2.5955
20050218,2.68578,2.7835799999999997,2.7835799999999997,2.64816
20050221,2.61807,2.68578,2.70835,2.58045
20050222,2.61807,2.63312,2.63312,2.58045
20050223,2.55789,2.6255900000000003,2.6255900000000003,2.55789
20050224,2.55036,2.55789,2.55789,2.46008
20050225,2.58798,2.55789,2.60302,2.55789
20050228,2.57293,2.58798,2.58798,2.50522
20050301,2.55789,2.52027,2.55789,2.52027
20050302,2.55789,2.55789,2.56541,2.4977
20050303,2.55036,2.55789,2.55789,2.55036
20050304,2.48265,2.52027,2.56541,2.48265
20050307,2.49018,2.48265,2.49018,2.48265
20050308,2.51275,2.49018,2.51275,2.47513
20050309,2.44504,2.48265,2.48265,2.44504
20050310,2.44504,2.40742,2.48265,2.3698099999999998
20050311,2.40742,2.44504,2.44504,2.39237
20050314,2.3622799999999997,2.33219,2.3622799999999997,2.29457
20050315,2.3622799999999997,2.3622799999999997,2.3622799999999997,2.3622799999999997
20050316,2.3698099999999998,2.3096200000000002,2.3698099999999998,2.3096200000000002
20050317,2.40742,2.3622799999999997,2.40742,2.3622799999999997
20050318,2.41494,2.3698099999999998,2.41494,2.3698099999999998
20050322,2.40742,2.40742,2.40742,2.3698099999999998
20050323,2.3698099999999998,2.272,2.3698099999999998,2.272
20050328,2.28705,2.3246700000000002,2.3246700000000002,2.28705
20050329,2.29457,2.272,2.3698099999999998,2.272
20050330,2.3698099999999998,2.3698099999999998,2.3698099999999998,2.33219
20050331,2.3698099999999998,2.3397099999999997,2.3698099999999998,2.3397099999999997
