fecha,ultima,apertura,maximo,minimo
20050111,1.33,1.33,1.33,1.33
20050117,1.32,1.32,1.32,1.32
20050118,1.3,1.3,1.3,1.3
20050119,1.3,1.29,1.3,1.29
20050204,1.35,1.31,1.35,1.31
20050207,1.4,1.4,1.4,1.4
20050208,1.43,1.4,1.43,1.4
20050209,1.48,1.48,1.48,1.48
20050210,1.45,1.45,1.45,1.45
20050215,1.43,1.43,1.43,1.43
20050223,1.42,1.42,1.42,1.42
20050224,1.4,1.4,1.4,1.4
20050225,1.45,1.45,1.45,1.45
20050228,1.42,1.45,1.45,1.42
20050301,1.4,1.4,1.4,1.4
20050304,1.38,1.38,1.38,1.38
20050308,1.43,1.43,1.43,1.43
20050309,1.43,1.43,1.43,1.43
20050310,1.4,1.4,1.4,1.4
20050404,1.26,1.26,1.26,1.26
20050421,1.18,1.26,1.26,1.18
20050428,1.07,1.07,1.07,1.07
20050429,1.1,1.1,1.1,1.1
20050504,1.1,1.1,1.1,1.1
20050505,1.1,1.1,1.1,1.1
20050509,1.13,1.07,1.13,1.05
20050511,1.13,1.07,1.13,1.07
20050512,1.15,1.15,1.17,1.12
20050516,1.15,1.15,1.15,1.15
20050517,1.15,1.15,1.15,1.15
20050518,1.14,1.14,1.14,1.14
20050520,1.14,1.14,1.14,1.14
20050523,1.16,1.16,1.16,1.16
20050524,1.16,1.16,1.16,1.16
20050527,1.16,1.16,1.16,1.16
20050602,1.2,1.16,1.2,1.14
20050607,1.16,1.16,1.16,1.15
20050609,1.1,1.1,1.1,1.1
20050613,1.1,1.1,1.1,1.1
20050617,1.07,1.08,1.08,1.07
20050621,1.06,1.06,1.06,1.06
20050622,1.03,1.05,1.05,1.03
20050623,1.02,1.02,1.02,1.01
20050624,1.04,1.0,1.04,1.0
20050627,0.98,1.0,1.0,0.98
20050628,0.98,0.98,0.98,0.98
20050629,0.98,0.98,0.98,0.98
20050630,0.95,0.93,0.95,0.93
20050701,0.96,0.96,0.96,0.96
20050704,0.92,0.92,0.92,0.92
20050705,0.88,0.88,0.89,0.88
20050706,0.88,0.85,0.88,0.85
20050707,0.94,0.88,0.95,0.88
20050708,0.98,0.98,0.98,0.97
20050711,0.97,0.98,0.98,0.97
20050712,0.96,0.96,0.97,0.96
20050713,0.97,0.97,0.97,0.95
20050714,0.97,0.97,0.97,0.96
20050718,0.905,0.96,0.96,0.905
20050719,0.92,0.84,0.92,0.84
20050720,0.92,0.85,0.92,0.85
20050721,0.94,0.9,0.95,0.9
20050722,0.93,0.9,0.93,0.9
20050725,0.93,0.93,0.93,0.93
20050726,0.96,0.95,0.97,0.93
20050727,0.97,0.98,0.99,0.96
20050728,1.01,0.98,1.01,0.98
20050729,1.02,1.02,1.07,1.01
20050801,1.09,1.03,1.1,1.03
20050802,1.11,1.09,1.12,1.09
20050803,1.1,1.15,1.15,1.09
20050804,1.1,1.1,1.1,1.08
20050805,1.09,1.1,1.1,1.08
20050808,1.08,1.08,1.09,1.06
20050809,1.07,1.1,1.1,1.05
20050810,1.07,1.07,1.07,1.07
20050811,1.06,1.07,1.07,1.06
20050812,1.05,1.05,1.07,1.03
20050816,1.05,1.05,1.07,1.05
20050817,1.08,1.08,1.08,1.08
20050818,1.06,1.09,1.09,1.06
20050819,1.1,1.08,1.1,1.08
20050822,1.14,1.15,1.15,1.1
20050823,1.1,1.1,1.1,1.1
20050824,1.1,1.1,1.1,1.1
20050825,1.15,1.1,1.17,1.1
20050826,1.14,1.11,1.14,1.1
20050829,1.19,1.24,1.24,1.16
20050830,1.2,1.2,1.22,1.2
20050831,1.18,1.21,1.21,1.18
20050901,1.2,1.18,1.2,1.18
20050902,1.19,1.19,1.2,1.19
20050905,1.2,1.2,1.2,1.19
20050906,1.19,1.19,1.19,1.19
20050907,1.19,1.17,1.19,1.17
20050908,1.16,1.17,1.17,1.16
20050909,1.15,1.16,1.18,1.15
20050912,1.14,1.15,1.15,1.14
20050914,1.2,1.18,1.2,1.18
20050915,1.21,1.21,1.21,1.21
20050916,1.22,1.21,1.23,1.2
20050919,1.25,1.25,1.26,1.24
20050920,1.21,1.25,1.25,1.21
20050921,1.28,1.22,1.33,1.22
20050922,1.27,1.29,1.29,1.27
20050923,1.29,1.29,1.29,1.29
20050926,1.27,1.29,1.29,1.27
20050927,1.25,1.27,1.27,1.25
20050928,1.26,1.3,1.3,1.26
20050929,1.29,1.28,1.29,1.28
20050930,1.27,1.29,1.29,1.27
20051003,1.27,1.3,1.3,1.25
20051004,1.25,1.27,1.27,1.25
20051005,1.25,1.25,1.25,1.25
20051006,1.25,1.25,1.25,1.25
20051007,1.22,1.23,1.23,1.22
20051011,1.18,1.22,1.22,1.18
20051012,1.19,1.19,1.19,1.19
20051013,1.26,1.18,1.26,1.18
