fecha,ultima,apertura,maximo,minimo
20170830,423.29999000000004,350.0,440.0,350.0
20170831,431.89999000000006,425.10000999999994,445.0,425.1
20170901,434.75,449.0,449.0,432.25
20170904,424.0,428.0,433.0,420.05
20170905,418.04999,426.95000999999996,426.95,412.5
20170906,426.0,420.0,430.0,418.0
20170907,426.75,430.14999000000006,440.0,426.0
20170908,425.0,429.45000999999996,429.45,420.5
20170911,425.0,426.0,428.95,420.0
20170912,425.95000999999996,426.0,430.0,420.0
20170913,424.89999000000006,420.0,425.2,420.0
20170914,426.0,425.0,430.0,423.0
20170915,425.60000999999994,429.0,429.0,424.0
20170918,426.0,425.60000999999994,427.0,425.0
20170919,425.75,427.0,427.5,420.0
20170920,420.0,426.0,427.0,418.0
20170921,418.0,420.0,420.0,413.0
20170922,406.0,418.0,418.0,405.0
20170925,403.5,406.0,412.0,401.0
20170926,400.0,404.0,404.0,395.0
20170927,395.0,400.0,403.0,395.0
20170928,400.0,395.0,408.0,395.0
20170929,406.0,400.0,412.5,397.0
20171002,403.0,406.10001,410.0,400.0
20171003,398.0,403.0,403.0,395.0
20171004,396.0,400.0,400.0,395.0
20171005,394.60001,401.0,401.0,390.0
20171006,396.0,395.0,400.0,395.0
20171009,395.89999,395.5,398.0,390.0
20171010,395.0,397.0,398.0,390.0
20171011,404.0,395.0,415.0,395.0
20171012,406.0,405.0,410.0,398.0
20171013,400.0,406.04999,407.5,400.0
20171017,395.20001,404.0,406.0,392.0
20171018,394.5,395.0,400.0,392.1
20171019,390.0,394.0,395.0,388.0
20171020,390.5,395.0,402.0,388.0
20171023,397.0,402.0,406.95,395.0
20171024,398.5,402.0,404.0,396.0
20171025,406.75,405.0,425.0,404.5
20171026,403.0,414.95001,414.95,400.0
20171027,400.0,407.0,408.95,400.0
20171030,405.0,408.0,409.95,402.0
20171031,406.70001,409.0,409.0,405.5
20171101,406.75,410.0,410.0,405.05
20171102,413.75,408.5,414.0,408.5
20171103,432.5,423.0,436.5,423.0
20171107,433.0,440.0,442.0,431.5
20171108,424.0,435.75,437.95,422.0
20171109,422.04999000000004,424.0,429.95,416.0
20171110,423.0,422.0,423.0,410.0
20171113,420.0,425.0,430.0,416.0
20171114,413.0,421.0,427.4,409.0
20171115,414.60001,415.0,423.0,411.05
20171116,418.0,420.0,425.0,414.7
20171117,417.0,425.0,429.35,415.7
20171121,420.5,417.0,422.85,415.5
20171122,420.0,422.0,424.9,418.75
20171123,420.45000999999996,422.0,422.0,418.1
20171124,422.0,424.95000999999996,424.95,419.0
20171127,414.45001,422.0,433.0,414.45
20171128,414.70001,420.0,420.0,412.0
20171129,416.10001,415.5,420.5,412.0
20171130,414.95001,415.0,418.0,413.5
20171201,422.39999000000006,425.0,425.0,415.05
20171204,418.0,425.5,428.45,416.0
20171205,412.79999,420.0,423.5,411.0
20171206,409.5,414.0,418.0,408.0
20171207,415.20001,414.0,435.0,414.0
20171211,417.5,415.0,420.0,415.0
20171212,415.0,420.0,425.0,414.0
20171213,414.95001,416.0,418.0,413.0
20171214,415.0,418.0,422.0,415.0
20171215,418.5,419.89999000000006,429.0,417.05
20171218,445.04999000000004,420.0,445.05,420.0
20171219,453.0,451.0,460.0,443.5
20171220,468.0,458.0,470.0,451.0
20171221,467.0,470.0,485.0,459.0
20171222,465.0,475.0,480.0,465.0
20171226,474.79999000000004,467.0,475.0,462.0
20171227,468.0,473.0,480.0,465.0
20171228,472.5,468.0,475.0,468.0
20171229,471.0,473.0,482.0,471.0
20180102,481.0,478.89999000000006,481.0,473.2
20180103,478.5,485.0,495.0,467.9
20180104,489.5,490.0,490.0,475.5
20180105,486.0,489.95000999999996,495.0,480.0
20180108,482.0,486.0,488.0,475.05
20180109,484.89999000000006,483.0,485.5,477.15
20180110,473.0,480.0,480.0,469.5
20180111,476.0,473.0,478.0,470.5
20180112,490.0,477.0,495.0,477.0
20180115,499.0,499.0,510.85,497.0
20180116,508.5,500.0,508.5,496.0
20180117,525.0,511.0,540.0,511.0
20180118,531.0,525.0,539.0,521.0
20180119,533.0,534.0,534.0,512.0
20180122,528.9500099999999,535.0,535.0,526.0
20180123,527.0,529.0,531.25,523.0
20180124,545.0,530.0,554.85,525.0
20180125,542.0,550.0,561.0,540.0
20180126,534.0,542.0,548.0,534.0
20180129,527.0,539.0,545.0,521.0
20180130,514.15002,532.0,534.9,513.0
20180131,523.0,515.0,524.0,515.0
20180201,522.0,525.0,543.0,518.0
20180202,499.0,522.0,522.0,486.0
20180205,484.0,488.5,497.0,462.0
20180206,461.79999000000004,477.39999000000006,483.0,451.1
20180207,465.0,470.5,482.95,463.0
