fecha,ultima,apertura,maximo,minimo
20050103,3.22,3.18,3.25,3.18
20050104,3.15,3.15,3.15,3.15
20050105,3.15,3.1,3.15,3.08
20050106,3.15,3.1,3.15,3.1
20050107,3.2,3.2,3.2,3.1
20050110,3.2,3.2,3.2,3.2
20050111,3.17,3.2,3.2,3.17
20050112,3.15,3.15,3.15,3.14
20050113,3.2,3.15,3.2,3.15
20050114,3.3,3.18,3.3,3.18
20050117,3.35,3.3,3.35,3.3
20050118,3.35,3.35,3.35,3.3
20050119,3.32,3.3,3.35,3.3
20050120,3.32,3.35,3.35,3.3
20050121,3.36,3.34,3.36,3.33
20050124,3.4,3.35,3.4,3.35
20050125,3.4,3.4,3.4,3.36
20050126,3.5,3.43,3.5,3.4
20050127,3.49,3.49,3.5,3.46
20050128,3.5,3.5,3.52,3.48
20050131,3.5,3.49,3.5,3.49
20050201,3.49,3.5,3.5,3.49
20050202,3.48,3.48,3.48,3.48
20050203,3.48,3.48,3.48,3.48
20050204,3.5,3.48,3.5,3.48
20050207,3.5,3.49,3.5,3.49
20050208,3.5,3.49,3.51,3.49
20050209,3.51,3.52,3.52,3.49
20050211,3.5,3.5,3.5,3.5
20050214,3.52,3.5,3.55,3.49
20050215,3.5,3.49,3.51,3.48
20050216,3.51,3.48,3.51,3.48
20050217,3.51,3.47,3.51,3.46
20050218,3.54,3.5,3.54,3.5
20050221,3.5,3.5,3.5,3.48
20050222,3.49,3.47,3.49,3.47
20050223,3.5,3.49,3.5,3.49
20050224,3.5,3.48,3.5,3.48
20050225,3.52,3.5,3.52,3.5
20050228,3.5,3.5,3.5,3.5
20050301,3.5,3.45,3.5,3.45
20050302,3.48,3.47,3.48,3.45
20050303,3.47,3.45,3.47,3.43
20050304,3.47,3.48,3.48,3.42
20050307,3.48,3.45,3.48,3.45
20050308,3.48,3.48,3.5,3.45
20050309,3.44,3.48,3.49,3.41
20050311,3.42,3.4,3.42,3.37
20050314,3.34,3.34,3.34,3.34
20050315,3.32,3.32,3.32,3.32
20050316,3.34,3.3,3.34,3.3
20050317,3.32,3.32,3.32,3.32
20050318,3.36,3.33,3.36,3.33
20050321,3.33,3.34,3.34,3.3
20050322,3.3,3.29,3.32,3.29
20050323,3.28,3.23,3.28,3.23
20050328,3.29,3.21,3.29,3.21
20050329,3.29,3.28,3.29,3.28
20050330,3.29,3.3,3.3,3.28
20050331,3.23,3.23,3.23,3.23
20050401,3.28,3.27,3.28,3.25
20050404,3.25,3.28,3.29,3.25
20050406,3.27,3.35,3.35,3.27
20050407,3.27,3.25,3.27,3.25
20050408,3.24,3.24,3.24,3.24
20050411,3.24,3.24,3.24,3.24
20050412,3.24,3.2,3.24,3.2
20050413,3.2,3.2,3.24,3.2
20050414,3.2,3.16,3.2,3.16
20050419,3.2,3.16,3.2,3.16
20050421,3.2,3.2,3.2,3.2
20050426,3.2,3.16,3.2,3.16
20050504,3.2,3.2,3.2,3.2
20050509,3.1,3.1,3.1,3.1
20050510,3.1,3.05,3.1,3.05
20050512,3.15,3.1,3.15,3.1
20050513,3.2,3.1,3.2,3.1
20050516,3.2,3.2,3.2,3.16
20050517,3.2,3.2,3.2,3.2
20050518,3.25,3.21,3.25,3.21
20050519,3.3,3.3,3.3,3.3
20050520,3.14,3.14,3.14,3.14
20050523,3.14,3.14,3.14,3.14
20050524,3.14,3.14,3.14,3.14
20050527,3.2,3.14,3.2,3.14
20050530,3.3,3.2,3.3,3.2
20050601,3.3,3.15,3.3,3.15
20050603,3.3,3.3,3.3,3.3
20050606,3.29,3.15,3.29,3.15
20050608,3.3,3.3,3.3,3.3
20050609,3.3,3.2,3.3,3.2
20050613,3.3,3.3,3.3,3.3
20050616,3.3,3.25,3.3,3.25
20050621,3.3,3.22,3.3,3.22
20050622,3.25,3.19,3.25,3.19
20050623,3.24,3.2,3.24,3.17
20050628,3.25,3.2,3.25,3.2
20050630,3.25,3.24,3.25,3.24
20050701,3.3,3.27,3.3,3.27
20050711,3.3,3.25,3.3,3.25
20050712,3.26,3.26,3.26,3.23
20050713,3.29,3.25,3.29,3.25
20050720,3.29,3.29,3.29,3.29
20050721,3.25,3.25,3.25,3.25
20050725,3.22,3.2,3.22,3.15
20050726,3.25,3.2,3.25,3.2
20050728,3.25,3.2,3.25,3.2
20050729,3.26,3.26,3.26,3.26
20050801,3.28,3.28,3.28,3.28
20050802,3.27,3.25,3.27,3.25
20050803,3.27,3.27,3.27,3.25
20050805,3.26,3.25,3.26,3.25
20050808,3.27,3.26,3.27,3.2
20050809,3.27,3.25,3.27,3.25
20050810,3.25,3.25,3.25,3.25
20050811,3.2,3.2,3.2,3.2
20050812,3.2,3.2,3.2,3.2
20050817,3.21,3.2,3.21,3.2
20050818,3.25,3.2,3.25,3.2
20050822,3.2,3.2,3.21,3.2
20050823,3.3,3.2,3.3,3.2
20050824,3.32,3.31,3.33,3.31
20050829,3.25,3.2,3.25,3.2
20050830,3.28,3.28,3.28,3.27
20050831,3.27,3.27,3.27,3.27
20050901,3.29,3.23,3.29,3.23
20050902,3.32,3.3,3.34,3.3
20050905,3.23,3.23,3.25,3.21
20050906,3.2,3.22,3.22,3.2
20050907,3.2,3.18,3.2,3.18
20050908,3.2,3.19,3.2,3.18
20050909,3.18,3.18,3.18,3.18
20050913,3.14,3.14,3.14,3.14
20050914,3.18,3.15,3.18,3.13
20050915,3.11,3.2,3.2,3.11
20050916,3.16,3.12,3.16,3.12
20050919,3.15,3.16,3.16,3.15
20050920,3.14,3.13,3.14,3.12
20050921,3.18,3.15,3.18,3.15
20050922,3.21,3.2,3.22,3.2
20050923,3.2,3.2,3.2,3.2
20050926,3.2,3.2,3.2,3.2
20050927,3.2,3.2,3.2,3.2
20050929,3.2,3.18,3.22,3.18
20050930,3.2,3.2,3.2,3.2
20051003,3.22,3.18,3.22,3.18
20051005,3.2,3.2,3.2,3.2
20051006,3.21,3.2,3.22,3.2
20051007,3.22,3.22,3.22,3.22
20051011,3.22,3.22,3.22,3.22
20051012,3.22,3.2,3.22,3.2
20051013,3.23,3.22,3.23,3.22
20051019,3.23,3.2,3.23,3.2
20051020,3.25,3.26,3.26,3.25
20051021,3.3,3.29,3.3,3.29
20051024,3.3,3.3,3.3,3.3
20051025,3.32,3.31,3.32,3.31
20051026,3.32,3.32,3.36,3.31
20051027,3.32,3.32,3.32,3.32
20051028,3.34,3.35,3.35,3.34
20051031,3.35,3.34,3.35,3.34
20051101,3.4,3.4,3.4,3.4
20051103,3.4,3.38,3.4,3.38
20051104,3.4,3.41,3.41,3.39
20051107,3.37,3.39,3.39,3.37
20051108,3.37,3.37,3.4,3.37
20051109,3.37,3.37,3.37,3.36
20051110,3.4,3.37,3.4,3.35
20051111,3.41,3.4,3.41,3.4
20051114,3.44,3.44,3.44,3.42
20051115,3.48,3.44,3.5,3.44
20051116,3.44,3.44,3.44,3.44
20051118,3.45,3.45,3.45,3.45
20051121,3.48,3.48,3.5,3.48
20051122,3.52,3.48,3.52,3.48
20051123,3.48,3.5,3.5,3.48
20051124,3.48,3.49,3.49,3.48
20051125,3.48,3.48,3.48,3.48
20051128,3.45,3.45,3.45,3.45
20051129,3.37,3.41,3.41,3.37
20051130,3.4,3.37,3.4,3.37
20051201,3.38,3.42,3.42,3.38
20051202,3.42,3.4,3.42,3.4
20051206,3.44,3.4,3.45,3.4
20051207,3.44,3.46,3.46,3.44
20051209,3.42,3.42,3.42,3.42
20051212,3.42,3.42,3.42,3.42
20051213,3.38,3.38,3.38,3.3
20051215,3.43,3.42,3.43,3.42
20051216,3.43,3.43,3.43,3.43
20051219,3.38,3.38,3.38,3.38
20051222,3.45,3.45,3.45,3.45
20051226,3.38,3.45,3.45,3.38
20051227,3.38,3.38,3.38,3.38
20051228,3.38,3.38,3.38,3.38
20051229,3.38,3.38,3.38,3.38
20060102,3.38,3.38,3.38,3.38
20060103,3.38,3.38,3.38,3.38
