fecha,ultima,apertura,maximo,minimo
20050103,3.5,3.5,3.5,3.5
20050104,3.5,3.5,3.5,3.5
20050105,3.51,3.51,3.51,3.51
20050110,3.85,3.6,3.85,3.6
20050111,3.89,3.8,3.9,3.8
20050114,3.9,3.9,3.9,3.9
20050121,3.6,3.6,3.6,3.6
20050127,3.6,3.6,3.6,3.6
20050128,3.75,3.75,3.75,3.75
20050131,3.85,3.85,3.85,3.85
20050201,3.9,3.85,3.9,3.85
20050202,3.9,3.9,3.9,3.9
20050204,3.85,3.85,3.85,3.85
20050210,3.84,3.8,3.84,3.8
20050211,3.9,3.85,3.9,3.85
20050214,3.9,3.9,3.9,3.9
20050215,3.9,3.95,3.95,3.9
20050216,3.9,3.9,3.9,3.9
20050217,3.9,3.9,3.9,3.9
20050221,3.8,3.8,3.8,3.8
20050223,3.7,3.7,3.7,3.7
20050225,3.73,3.7,3.73,3.6
20050307,3.7,3.7,3.7,3.7
20050405,3.6,3.6,3.6,3.6
20050406,3.5,3.5,3.5,3.5
20050502,3.01,3.01,3.01,3.01
20050503,3.1,3.1,3.1,3.1
20050504,3.15,3.2,3.2,3.15
20050506,3.2,3.2,3.2,3.2
20050509,3.2,3.2,3.2,3.2
20050512,3.3,3.3,3.3,3.3
20050517,3.3,3.3,3.3,3.3
20050524,3.3,3.3,3.3,3.3
20050526,3.3,3.3,3.3,3.3
20050527,3.3,3.3,3.3,3.3
20050530,3.33,3.3,3.33,3.3
20050531,3.5,3.2,3.5,3.2
20050603,3.35,3.2,3.35,3.2
20050607,3.35,3.35,3.35,3.35
20050608,3.35,3.4,3.4,3.35
20050624,3.45,3.45,3.45,3.45
20050628,3.3,3.3,3.3,3.3
20050629,3.3,3.3,3.3,3.3
20050706,3.2,3.2,3.2,3.2
20050708,3.2,3.2,3.2,3.2
20050713,3.2,3.2,3.2,3.2
20050715,3.15,3.2,3.2,3.15
20050718,3.15,3.15,3.15,3.15
20050720,3.27,3.25,3.27,3.25
20050726,3.25,3.25,3.25,3.25
20050728,3.25,3.25,3.25,3.25
20050801,3.15,3.15,3.15,3.15
20050802,3.15,3.15,3.15,3.15
20050803,3.15,3.15,3.15,3.15
20050805,3.15,3.15,3.15,3.15
20050808,3.25,3.25,3.25,3.25
20050810,3.25,3.25,3.25,3.15
20050811,3.24,3.24,3.24,3.24
20050822,3.25,3.2,3.25,3.2
20050823,3.2,3.2,3.2,3.2
20050829,3.1,3.11,3.11,3.1
20050830,3.05,3.1,3.1,3.05
20050831,3.23,3.23,3.23,3.23
20050901,3.23,3.23,3.23,3.23
20050906,3.2,3.2,3.2,3.2
20050907,3.2,3.2,3.2,3.2
20050912,3.15,3.15,3.15,3.15
20050919,3.15,3.15,3.15,3.15
20050920,3.15,3.15,3.15,3.15
20050926,3.45,3.2,3.45,3.15
20050927,3.49,3.49,3.49,3.49
20050930,3.49,3.3,3.49,3.3
20051005,3.4,3.48,3.48,3.4
20051007,3.4,3.4,3.4,3.4
20051012,3.4,3.4,3.4,3.4
20051014,3.4,3.4,3.4,3.4
20051017,3.45,3.4,3.45,3.4
20051020,3.4,3.4,3.4,3.4
20051021,3.4,3.4,3.4,3.4
20051024,3.45,3.45,3.45,3.45
20051025,3.45,3.45,3.45,3.45
20051026,3.55,3.45,3.55,3.45
20051031,3.6,3.55,3.6,3.55
20051101,3.55,3.55,3.55,3.55
20051103,3.5,3.5,3.5,3.5
20051107,3.6,3.6,3.6,3.6
20051110,3.6,3.58,3.6,3.58
20051111,3.7,3.65,3.7,3.65
20051114,3.7,3.75,3.87,3.7
20051115,3.7,3.7,3.7,3.7
20051116,3.7,3.7,3.7,3.7
20051117,3.7,3.7,3.7,3.7
20051201,3.55,3.6,3.6,3.55
20051205,3.55,3.55,3.55,3.55
20051206,3.55,3.55,3.55,3.55
20051207,3.55,3.55,3.55,3.55
20051209,3.55,3.56,3.57,3.55
20051221,3.51,3.51,3.51,3.51
20051222,3.55,3.55,3.55,3.55
20051228,3.5,3.5,3.5,3.5
20051229,3.7,3.7,3.7,3.7
20060104,3.7,3.7,3.7,3.7
20060105,3.8,3.8,3.8,3.8
20060106,3.9,3.9,3.9,3.9
20060109,3.9,4.0,4.0,3.9
20060110,3.9,3.9,3.9,3.9
20060111,4.0,4.0,4.0,4.0
20060116,4.0,4.0,4.0,4.0
20060119,4.0,3.98,4.0,3.98
20060123,4.0,4.0,4.0,4.0
20060130,3.4,3.4,3.4,3.4
20060131,3.6,3.5,3.6,3.5
20060201,3.6,3.6,3.6,3.6
20060202,3.5,3.5,3.5,3.5
20060203,3.45,3.45,3.45,3.45
20060206,3.55,3.6,3.6,3.55
20060208,3.55,3.55,3.55,3.55
20060209,3.55,3.55,3.55,3.55
20060214,3.55,3.55,3.55,3.55
20060217,3.6,3.58,3.6,3.58
20060221,3.55,3.55,3.55,3.55
20060228,3.7,3.55,3.7,3.55
20060302,3.75,3.65,3.75,3.65
20060303,3.8,3.75,3.8,3.75
20060313,3.8,3.8,3.8,3.8
20060315,3.8,3.8,3.8,3.8
20060316,3.8,3.8,3.8,3.8
20060317,3.7,3.7,3.7,3.7
20060320,3.65,3.65,3.65,3.65
20060321,3.65,3.65,3.65,3.65
20060322,3.65,3.65,3.65,3.65
20060329,3.7,3.75,3.75,3.65
20060330,3.7,3.7,3.7,3.7
20060331,3.7,3.7,3.7,3.7
20060404,3.6,3.6,3.6,3.5
20060405,3.6,3.6,3.6,3.6
20060411,3.6,3.6,3.6,3.6
20060412,3.68,3.6,3.68,3.6
20060418,3.68,3.68,3.68,3.68
20060419,3.7,3.7,3.7,3.7
20060420,3.7,3.7,3.7,3.7
20060421,3.65,3.65,3.65,3.65
20060425,3.7,3.7,3.7,3.7
20060427,3.75,3.75,3.75,3.75
20060502,3.7,3.7,3.7,3.7
20060512,3.65,3.65,3.65,3.65
20060516,3.65,3.6,3.65,3.6
20060517,3.4,3.5,3.5,3.4
20060523,3.4,3.4,3.4,3.4
20060524,3.4,3.4,3.4,3.4
20060530,3.5,3.5,3.5,3.5
20060531,3.6,3.6,3.6,3.6
20060605,3.65,3.65,3.65,3.65
