fecha,ultima,apertura,maximo,minimo
20050103,1.84,1.84,1.84,1.84
20050104,1.8,1.8,1.8,1.8
20050105,1.72,1.75,1.76,1.72
20050106,1.71,1.72,1.72,1.71
20050107,1.74,1.74,1.74,1.74
20050111,1.78,1.78,1.78,1.78
20050112,1.75,1.78,1.78,1.75
20050113,1.77,1.77,1.77,1.77
20050114,1.78,1.76,1.78,1.76
20050117,1.82,1.88,1.88,1.82
20050118,1.91,1.82,1.91,1.81
20050119,1.85,1.88,1.89,1.85
20050120,1.82,1.85,1.85,1.81
20050124,1.82,1.8,1.82,1.8
20050125,1.82,1.82,1.82,1.82
20050126,1.86,1.82,1.86,1.82
20050127,1.86,1.83,1.86,1.83
20050128,1.86,1.86,1.88,1.86
20050131,1.88,1.86,1.88,1.86
20050201,1.88,1.85,1.88,1.85
20050202,1.86,1.88,1.88,1.86
20050203,1.84,1.86,1.86,1.84
20050204,1.85,1.88,1.88,1.84
20050207,1.86,1.87,1.87,1.85
20050208,1.88,1.86,1.88,1.86
20050209,1.87,1.88,1.88,1.85
20050210,1.84,1.85,1.85,1.84
20050211,1.82,1.84,1.85,1.82
20050214,1.83,1.83,1.83,1.8
20050215,1.86,1.84,1.86,1.84
20050216,1.87,1.84,1.87,1.84
20050217,1.93,1.85,1.93,1.85
20050218,1.95,1.9,1.95,1.9
20050221,1.84,1.93,1.94,1.84
20050222,1.85,1.83,1.85,1.83
20050223,1.87,1.85,1.87,1.85
20050224,1.9,1.85,1.9,1.84
20050225,1.92,1.9,1.93,1.9
20050228,1.93,1.94,1.94,1.9
20050301,1.98,1.96,1.99,1.96
20050302,1.98,2.0,2.04,1.95
20050303,1.98,1.98,2.0,1.98
20050304,1.97,2.0,2.0,1.97
20050307,2.02,2.0,2.02,1.99
20050308,2.09,2.03,2.09,2.03
20050309,2.07,2.08,2.08,2.05
20050310,1.99,2.05,2.05,1.95
20050311,1.95,2.0,2.0,1.95
20050314,1.99,1.95,2.0,1.9
20050315,2.0,2.0,2.06,2.0
20050316,2.02,2.02,2.04,1.98
20050317,2.01,2.0,2.02,2.0
20050318,2.05,2.05,2.05,2.01
20050321,2.02,2.05,2.05,2.0
20050322,2.03,2.03,2.04,2.02
20050323,2.02,2.03,2.03,1.97
20050328,2.02,1.99,2.02,1.97
20050329,1.98,1.99,2.02,1.98
20050330,1.99,1.94,1.99,1.9
20050331,1.95,1.95,1.95,1.95
20050401,1.95,1.95,1.95,1.95
20050404,1.9,2.0,2.0,1.9
20050405,1.9,1.9,1.9,1.9
20050406,1.9,1.9,1.9,1.9
20050407,1.88,1.85,1.88,1.85
20050408,1.96,1.9,1.96,1.9
20050411,1.96,1.96,1.96,1.95
20050412,1.89,1.95,1.95,1.89
20050414,1.85,1.85,1.85,1.85
20050418,1.85,1.85,1.85,1.85
20050420,1.8,1.8,1.8,1.8
20050421,1.8,1.8,1.8,1.8
20050425,1.84,1.83,1.84,1.83
20050428,1.8,1.8,1.8,1.8
20050429,1.79,1.77,1.79,1.77
20050502,1.82,1.81,1.82,1.81
20050503,1.85,1.83,1.85,1.83
20050504,1.86,1.85,1.86,1.85
20050505,1.86,1.86,1.86,1.85
20050506,1.86,1.86,1.87,1.86
20050509,1.93,1.95,1.95,1.93
20050510,1.9,1.9,1.92,1.9
20050511,1.97,1.89,1.97,1.89
20050513,1.95,1.92,1.95,1.92
20050516,1.95,2.0,2.0,1.95
20050517,1.93,1.92,1.93,1.91
20050518,1.95,1.93,1.95,1.93
20050519,1.96,1.95,1.97,1.95
20050520,1.96,1.96,1.98,1.96
20050523,1.99,1.98,1.99,1.98
20050524,2.0,2.0,2.01,2.0
20050527,2.0,1.98,2.0,1.98
20050530,2.04,2.0,2.05,2.0
20050531,2.0,2.04,2.04,2.0
20050601,2.02,2.0,2.02,2.0
20050602,2.0,2.01,2.02,2.0
20050603,1.99,2.0,2.0,1.99
20050607,1.98,1.95,1.98,1.95
20050610,1.93,1.93,1.93,1.93
20050613,1.95,1.88,1.95,1.88
20050615,1.96,1.93,1.96,1.93
20050616,1.98,1.9,1.98,1.9
20050617,1.98,1.98,1.98,1.98
20050623,1.97,1.97,1.97,1.97
20050627,1.97,1.97,1.97,1.97
20050628,1.97,1.97,1.97,1.97
20050629,1.94,1.97,1.97,1.94
20050630,1.9,1.9,1.9,1.9
20050701,1.71,1.83,1.83,1.71
20050704,1.77,1.75,1.77,1.75
20050706,1.77,1.77,1.77,1.77
20050707,1.77,1.77,1.77,1.77
20050708,1.77,1.77,1.78,1.77
20050711,1.79,1.82,1.82,1.79
20050712,1.77,1.77,1.77,1.77
20050713,1.79,1.77,1.79,1.77
20050714,1.79,1.8,1.8,1.79
20050715,1.82,1.8,1.83,1.8
20050718,1.85,1.84,1.85,1.84
20050719,1.91,1.87,1.91,1.87
20050720,1.96,1.95,1.96,1.95
20050721,2.0,1.96,2.0,1.96
20050722,1.99,1.99,1.99,1.99
20050725,1.96,1.99,1.99,1.96
20050726,1.96,1.93,1.96,1.9
20050727,1.92,1.95,1.95,1.91
20050728,1.91,1.9,1.91,1.89
20050801,1.9,1.89,1.93,1.89
20050802,1.93,1.9,1.93,1.9
20050803,1.91,1.91,1.91,1.9
20050804,1.92,1.91,1.92,1.9
20050805,1.9,1.9,1.9,1.9
20050808,1.9,1.91,1.91,1.9
20050809,1.93,1.9,1.93,1.9
20050810,1.91,1.9,1.91,1.9
20050816,1.87,1.83,1.87,1.83
20050818,1.8,1.83,1.83,1.8
20050819,1.79,1.78,1.79,1.77
20050822,1.8,1.8,1.8,1.78
20050823,1.8,1.8,1.8,1.8
20050824,1.8,1.8,1.8,1.79
20050825,1.77,1.8,1.8,1.77
20050826,1.76,1.78,1.78,1.76
20050829,1.8,1.73,1.8,1.73
20050830,1.8,1.8,1.8,1.8
20050831,1.8,1.8,1.8,1.8
20050901,1.83,1.82,1.83,1.81
20050902,1.83,1.81,1.83,1.81
20050905,1.84,1.84,1.84,1.8
20050906,1.85,1.85,1.87,1.85
20050907,1.89,1.85,1.89,1.84
20050908,1.9,1.88,1.9,1.88
20050909,1.9,1.9,1.9,1.9
20050912,1.91,1.9,1.91,1.88
20050914,1.95,1.88,1.95,1.87
20050915,2.0,2.0,2.01,1.97
20050916,2.04,2.02,2.05,2.0
20050919,2.1,2.07,2.1,2.06
20050920,2.1,2.12,2.12,2.09
20050921,2.11,2.12,2.12,2.09
20050922,2.1,2.09,2.1,2.07
20050923,2.09,2.06,2.09,2.06
20050926,2.09,2.1,2.1,2.09
20050927,2.09,2.1,2.1,2.05
20050928,2.05,2.09,2.11,2.05
20050929,2.1,2.05,2.1,2.05
20050930,2.08,2.1,2.1,2.08
20051003,2.05,2.05,2.05,2.05
20051004,2.03,2.03,2.03,2.0
20051005,2.02,2.02,2.03,2.02
20051006,2.03,2.03,2.05,2.03
20051007,2.04,2.05,2.05,2.04
20051011,2.0,2.0,2.0,1.98
20051012,1.96,1.97,1.97,1.95
20051013,1.88,1.95,1.95,1.88
20051014,1.92,1.88,1.92,1.88
20051018,1.98,1.95,1.98,1.95
20051019,2.02,1.98,2.02,1.98
20051020,2.04,2.05,2.05,2.04
20051021,2.04,2.04,2.04,2.04
20051024,2.05,2.03,2.05,2.03
20051025,2.0,2.06,2.06,1.95
20051026,2.02,2.05,2.07,2.02
20051027,2.0,2.0,2.0,2.0
20051028,1.98,2.0,2.0,1.98
20051031,1.98,1.95,1.98,1.95
20051101,1.97,1.97,1.97,1.97
20051102,1.97,1.95,1.97,1.95
20051103,1.98,1.97,1.98,1.97
20051104,1.98,1.98,1.98,1.9
20051107,1.95,1.95,1.95,1.95
20051109,1.9,1.91,1.91,1.9
20051110,1.91,1.91,1.91,1.9
20051111,1.9,1.85,1.9,1.85
20051115,1.85,1.87,1.87,1.85
20051116,1.85,1.86,1.86,1.85
20051117,1.89,1.85,1.89,1.85
20051121,1.92,1.9,1.92,1.9
20051122,1.99,1.94,1.99,1.94
20051125,1.97,1.97,1.97,1.97
20051128,1.82,1.82,1.82,1.82
20051129,1.82,1.8,1.82,1.78
20051130,1.83,1.83,1.83,1.83
20051201,1.83,1.83,1.83,1.83
20051205,1.86,1.87,1.87,1.86
20051206,1.85,1.87,1.87,1.85
20051207,1.86,1.86,1.86,1.86
20051209,1.86,1.86,1.86,1.86
20051212,1.86,1.86,1.86,1.86
20051214,1.86,1.86,1.86,1.86
20051215,1.86,1.86,1.86,1.86
20051216,1.83,1.85,1.85,1.8
20051219,1.82,1.81,1.82,1.8
20051221,1.8,1.8,1.8,1.75
20051222,1.82,1.78,1.82,1.78
20051226,1.82,1.83,1.83,1.82
20051228,1.8,1.82,1.82,1.8
20051229,1.75,1.81,1.81,1.75
20060102,1.78,1.78,1.78,1.78
20060103,1.88,1.78,1.88,1.78
20060104,1.93,1.93,1.93,1.9
20060105,1.95,1.93,1.95,1.93
20060106,1.98,1.97,2.0,1.97
20060109,2.0,2.0,2.0,2.0
20060110,2.0,1.97,2.01,1.97
20060111,2.01,2.02,2.02,2.01
20060112,1.99,1.95,1.99,1.95
20060113,1.97,1.95,1.97,1.95
20060116,1.97,1.97,1.97,1.97
20060117,2.0,2.0,2.0,1.97
20060118,2.01,2.01,2.01,2.01
20060119,2.0,2.0,2.0,1.99
20060123,1.99,1.99,1.99,1.99
20060124,1.95,1.99,1.99,1.94
20060125,1.99,1.99,1.99,1.98
20060130,1.97,1.99,1.99,1.95
20060131,1.97,1.93,1.97,1.93
20060201,1.94,1.95,1.95,1.9
20060202,1.94,1.9,1.94,1.85
20060203,1.94,1.92,1.94,1.92
20060206,1.94,1.94,1.94,1.94
20060207,1.94,1.98,1.98,1.92
20060214,1.95,1.95,1.95,1.95
20060215,1.93,1.95,1.95,1.9
20060216,1.93,1.93,1.93,1.93
