fecha,ultima,apertura,maximo,minimo
20071019,30.45,30.15,30.6,30.0
20071022,30.4,30.4,30.4,30.15
20071023,30.5,30.55,30.6,30.25
20071024,30.9,30.6,31.0,30.6
20071025,32.2,31.0,32.2,31.0
20071026,32.3,32.5,32.5,32.0
20071029,32.3,32.5,32.6,32.25
20071030,32.0,32.4,32.4,31.9
20071031,32.1,32.05,32.2,31.9
20071101,31.95,32.2,32.2,31.9
20071102,32.6,31.95,32.6,31.9
20071105,32.75,32.6,32.8,32.55
20071107,32.7,32.8,32.85,32.5
20071108,32.45,32.6,32.6,32.3
20071109,32.3,32.45,32.5,31.9
20071112,32.2,32.1,32.3,31.75
20071113,32.2,32.15,32.2,32.15
20071114,31.8,32.2,32.2,31.8
20071115,31.3,31.55,31.55,31.0
20071116,31.2,31.25,31.3,31.0
20071119,31.3,31.2,31.3,31.0
20071120,31.0,30.85,31.0,30.85
20071121,30.25,30.95,30.95,30.0
20071122,30.1,30.1,30.2,29.8
20071123,30.2,30.0,30.2,29.8
20071126,30.25,30.1,30.25,30.0
20071127,30.0,30.25,30.25,29.9
20071128,30.1,31.5,31.5,29.75
20071129,29.8,29.85,30.0,29.4
20071130,29.3,29.8,30.0,29.15
20071203,28.8,28.8,28.9,28.75
20071204,28.5,28.4,28.5,28.3
20071205,28.0,28.25,28.25,27.8
20071206,27.75,27.55,27.8,27.45
20071207,27.9,27.4,27.9,27.15
20071210,27.5,27.7,27.7,27.25
20071211,27.35,27.5,27.5,27.25
20071212,27.5,27.2,27.5,27.1
20071213,27.05,27.15,27.3,27.0
20071214,27.2,27.0,27.2,27.0
20071217,27.2,27.0,27.2,26.95
20071218,27.5,27.3,27.5,27.3
20071219,27.55,27.75,27.75,27.5
20071220,27.55,27.7,27.7,27.5
20071221,28.0,27.55,28.0,27.55
20071226,28.5,28.0,28.5,28.0
20071227,29.25,28.5,29.25,28.5
20071228,29.5,29.25,29.5,28.85
20080102,28.8,29.4,29.4,28.5
20080103,29.0,29.0,29.0,28.4
20080104,29.0,28.5,29.0,28.5
20080108,28.5,28.0,28.5,27.8
20080109,27.5,27.75,28.2,27.5
20080110,27.75,27.25,27.75,27.25
20080111,27.0,27.8,27.8,27.0
20080114,27.8,27.2,27.8,27.2
20080115,27.7,27.8,27.8,27.4
20080116,27.5,27.5,27.5,27.0
20080117,27.25,27.05,27.25,27.0
20080118,27.4,27.25,27.4,26.85
20080121,26.5,27.05,27.05,26.0
20080122,25.75,26.0,26.0,25.7
20080123,24.75,25.6,25.6,24.0
20080124,25.55,24.75,25.55,24.75
20080125,26.0,25.75,26.0,25.75
20080129,24.85,24.8,25.0,24.75
20080130,24.6,24.6,24.6,24.0
20080131,24.0,24.0,24.0,24.0
20080201,24.4,23.5,24.4,23.5
20080204,23.5,24.6,24.6,23.1
20080205,23.1,23.1,23.1,22.9
20080206,23.1,22.9,23.1,22.9
20080207,22.5,22.25,22.75,22.25
20080208,22.5,22.2,22.5,22.1
20080211,21.5,22.0,22.0,21.0
20080212,22.0,22.0,22.2,21.5
20080213,22.9,22.6,22.9,22.6
20080214,24.0,23.0,24.0,23.0
20080215,22.85,22.8,23.0,22.8
20080218,23.0,22.85,23.0,22.85
20080219,23.0,22.75,23.15,22.75
20080220,22.75,22.65,22.75,22.25
20080221,22.85,22.75,23.0,22.75
20080222,22.3,22.0,22.3,21.65
20080225,21.8,22.3,22.3,21.75
20080226,22.3,22.0,22.3,21.95
20080227,22.0,22.0,22.0,21.9
20080228,22.3,21.75,22.3,21.75
20080229,22.3,22.35,22.35,22.15
20080303,22.65,22.5,22.65,22.5
20080304,22.6,22.65,22.65,22.5
20080305,22.35,22.25,22.35,22.2
20080306,22.7,22.5,22.7,22.5
20080307,22.5,22.6,22.7,22.5
20080310,22.25,22.5,22.5,22.2
20080311,22.0,22.0,22.0,21.9
20080312,21.9,21.95,21.95,21.9
20080313,21.5,21.5,21.5,21.25
20080314,21.5,21.5,21.5,21.25
20080317,21.4,21.0,21.5,21.0
20080318,21.8,21.8,21.8,21.8
20080319,21.5,21.5,21.5,21.0
20080325,21.5,21.1,21.5,20.9
20080326,21.0,21.2,21.2,20.5
20080327,21.0,21.0,21.1,20.9
20080328,20.9,21.0,21.1,20.9
20080331,21.7,21.0,21.7,21.0
20080401,21.0,21.0,21.1,21.0
20080403,20.75,21.0,21.0,20.75
20080404,20.95,20.75,20.95,20.75
20080407,20.75,20.8,20.8,20.75
20080408,20.65,20.6,20.7,20.6
20080409,20.3,20.3,20.3,20.25
20080410,20.25,20.0,20.35,19.4
