fecha,ultima,apertura,maximo,minimo
20160609,37.4,37.5,37.6,37.3
20160610,37.6,37.6,37.6,37.5
20160613,37.75,37.7,37.75,37.6
20160614,37.7,37.7,37.7,37.65
20160615,37.6,37.7,37.7,37.6
20160616,37.65,37.65,37.7,37.6
20160621,37.6,37.65,37.65,37.5
20160622,37.6,37.75,37.75,37.4
20160623,37.6,37.6,37.7,37.6
20160624,36.65,37.0,37.0,36.65
20160627,36.0,36.2,36.5,35.5
20160628,36.6,36.5,36.6,36.0
20160629,36.5,36.9,36.9,36.3
20160630,36.5,36.5,36.5,36.0
20160701,36.5,36.5,36.8,36.5
20160704,36.2,36.5,36.5,35.75
20160705,36.2,36.2,36.2,36.2
20160706,35.5,36.2,36.2,35.0
20160707,35.3,35.5,35.5,35.0
20160711,34.0,35.3,35.3,33.15
20160712,32.9,34.0,34.0,32.5
20160713,33.3,32.7,33.3,32.7
20160714,33.5,33.6,33.6,33.45
20160715,33.9,33.5,33.9,33.2
20160718,33.9,33.0,33.9,32.6
20160719,33.8,34.0,34.0,33.5
20160720,33.5,33.5,33.5,32.5
20160721,32.7,33.5,33.5,32.7
20160722,32.3,32.8,32.8,32.0
20160725,32.15,32.3,32.3,32.0
20160726,32.3,32.5,33.5,32.1
20160727,32.0,32.3,32.3,32.0
20160728,31.2,32.1,32.1,31.2
20160729,31.0,31.0,31.25,30.0
20160801,30.4,30.85,31.0,30.0
20160802,30.0,30.2,30.2,29.9
20160803,30.1,30.0,30.35,29.5
20160804,30.4,30.3,30.4,30.25
20160805,31.0,30.9,31.0,30.9
20160808,31.0,31.2,31.2,30.0
20160809,31.6,31.5,31.6,30.9
20160810,32.2,31.65,32.2,31.65
20160811,32.5,32.5,32.55,32.5
20160812,33.4,32.85,33.4,32.6
20160816,32.0,34.0,34.0,32.0
20160817,32.3,32.5,32.5,32.1
20160818,32.3,32.3,32.3,32.3
20160819,32.5,32.5,32.5,32.5
20160822,33.1,33.5,33.5,33.1
20160823,33.1,33.1,33.2,33.1
20160824,32.1,33.1,33.1,32.1
20160825,32.1,32.1,32.1,32.1
20160826,32.1,32.15,32.3,32.1
20160829,32.1,32.15,32.15,32.0
20160830,32.1,32.1,32.1,32.1
20160831,32.1,32.75,32.8,32.1
20160901,31.7,32.1,32.15,31.7
20160902,32.1,31.9,32.1,31.9
20160905,32.1,32.8,32.8,32.1
20160906,32.1,32.1,32.1,32.1
20160907,32.1,32.1,32.3,32.1
20160908,32.1,32.1,32.35,32.1
20160909,32.6,32.7,32.7,32.2
20160912,32.6,32.6,32.6,32.6
20160913,32.1,32.1,32.15,32.1
20160914,32.1,32.15,32.15,32.1
20160915,32.1,32.1,32.15,32.1
20160916,32.1,32.1,32.1,32.1
20160919,32.25,32.1,32.25,32.1
20160920,32.35,32.5,32.5,32.35
20160921,32.1,32.4,32.4,32.1
20160922,32.2,32.2,32.6,32.1
20160923,32.1,32.1,32.1,32.1
20160926,32.3,32.3,32.3,32.3
20160927,32.25,32.3,32.3,32.1
20160928,32.2,33.0,33.0,32.2
20160929,32.2,32.2,32.4,32.2
20160930,32.3,32.25,32.3,32.25
20161003,32.3,32.2,32.3,32.2
20161004,32.2,32.0,32.2,32.0
20161005,32.2,32.2,32.2,32.2
20161006,32.2,32.4,32.4,32.2
20161007,32.2,32.0,32.25,32.0
20161011,32.25,32.2,32.25,32.2
20161012,32.25,32.2,32.25,32.2
20161013,32.2,32.2,32.2,32.2
20161014,32.2,32.2,32.2,32.2
20161017,32.2,32.2,32.35,32.2
20161018,32.2,32.2,32.5,32.2
20161019,33.0,32.2,33.0,32.2
20161020,32.9,32.85,32.9,32.85
20161021,32.4,32.5,32.5,32.2
20161024,32.2,32.85,32.85,32.2
20161025,32.5,32.0,32.5,32.0
20161026,32.2,32.2,32.5,32.2
20161027,32.2,32.2,32.2,32.2
20161028,32.2,32.3,32.85,32.2
20161031,32.2,32.2,32.2,32.2
20161101,32.2,32.2,32.3,32.2
20161102,32.2,32.2,32.2,32.1
20161103,32.2,32.2,32.3,32.2
20161104,32.2,32.3,32.3,32.2
20161107,32.2,32.2,32.2,32.1
20161108,32.2,32.1,32.2,32.1
20161109,31.0,31.9,32.0,31.0
20161110,30.5,31.0,31.0,30.5
20161111,29.75,30.5,30.5,29.75
20161114,28.5,29.25,29.25,28.5
20161115,29.0,29.0,29.5,28.5
20161116,28.5,28.5,28.5,28.45
20161117,28.25,28.45,28.45,28.25
20161121,29.0,29.0,29.0,29.0
20161122,29.0,29.0,29.0,28.5
20161123,28.75,29.0,29.0,28.75
20161124,31.0,29.0,31.0,29.0
20161125,30.5,29.7,30.5,29.7
20161129,31.9,28.6,31.9,28.6
20161130,31.0,31.9,31.9,31.0
20161201,29.6,30.5,30.5,29.6
20161202,29.6,29.7,29.7,29.6
20161205,29.8,29.5,29.8,29.5
20161206,30.9,30.9,30.9,30.9
20161207,31.2,30.5,31.9,30.1
20161212,31.1,31.0,31.2,31.0
20161213,30.2,30.2,30.2,30.2
20161214,30.0,30.0,30.0,30.0
20161215,29.9,29.9,29.9,29.9
20161216,30.0,30.7,30.7,30.0
20161219,30.1,30.0,30.1,30.0
20161220,31.4,30.0,31.4,30.0
20161222,31.35,31.35,31.35,31.35
20161223,31.4,31.4,31.4,31.4
20161226,31.0,31.0,31.0,31.0
20161228,31.0,31.0,31.0,31.0
20161229,32.3,31.0,32.3,31.0
20170102,31.0,32.3,32.3,31.0
20170103,31.0,31.0,31.0,30.95
20170104,31.0,31.0,31.0,31.0
20170105,31.0,31.0,31.0,31.0
20170106,31.0,31.0,31.0,31.0
20170109,31.0,31.0,31.0,31.0
20170110,31.0,31.0,31.0,31.0
20170111,31.0,31.0,32.0,31.0
20170112,31.0,31.0,31.0,31.0
20170113,31.0,31.0,31.0,31.0
20170116,31.0,31.3,31.3,31.0
20170117,31.0,31.0,31.0,31.0
20170118,31.0,31.0,31.0,31.0
20170119,31.0,31.0,31.0,31.0
20170120,31.1,31.1,31.1,31.1
20170123,31.0,31.2,31.2,31.0
20170124,31.0,31.0,31.0,31.0
20170125,31.0,31.0,31.0,31.0
20170126,31.0,31.0,31.0,31.0
20170130,31.0,31.0,31.0,31.0
20170131,31.0,31.0,31.0,31.0
20170201,31.0,31.0,31.0,31.0
20170203,31.0,31.0,31.0,31.0
20170206,31.0,31.0,31.0,31.0
20170208,32.4,31.0,32.5,31.0
20170209,33.3,32.9,33.7,32.9
20170210,32.8,33.0,33.0,32.8
20170214,31.5,31.0,31.5,30.0
20170216,31.0,31.0,31.0,31.0
20170217,31.0,31.0,31.35,31.0
20170220,31.0,31.0,31.0,31.0
20170221,31.0,31.0,31.0,31.0
20170222,31.0,31.0,31.0,31.0
20170223,31.5,31.5,31.5,31.5
20170224,31.0,31.0,31.0,31.0
20170301,31.0,31.0,31.0,31.0
20170302,31.0,31.0,31.0,31.0
20170303,31.0,31.0,31.0,31.0
20170306,31.0,31.0,31.0,31.0
20170307,31.0,31.0,31.0,31.0
20170308,31.0,31.0,31.0,31.0
20170309,31.0,31.0,31.0,31.0
20170310,31.0,31.0,31.0,31.0
20170313,31.0,31.0,31.5,31.0
20170314,31.5,31.0,31.5,31.0
20170315,31.0,31.0,31.0,31.0
20170316,31.0,31.0,31.0,31.0
20170320,31.0,31.0,31.0,31.0
20170321,31.5,31.0,31.5,31.0
20170322,31.0,31.5,31.5,31.0
20170327,31.0,31.0,31.0,31.0
20170328,31.0,31.0,31.0,31.0
20170329,31.0,31.0,31.0,31.0
20170330,31.0,31.0,31.5,31.0
20170331,31.0,31.0,31.0,31.0
20170403,31.0,31.0,31.0,31.0
20170404,31.0,31.0,31.0,31.0
20170405,31.0,31.0,31.0,31.0
20170406,31.0,31.0,31.0,31.0
20170407,31.0,31.0,31.0,31.0
20170410,31.0,31.0,31.0,30.05
20170411,31.5,31.0,31.5,31.0
20170412,31.5,31.5,31.5,31.5
20170417,31.2,31.0,31.2,31.0
20170418,31.5,33.0,33.0,31.5
20170419,31.5,0.0,0.0,0.0
20170420,30.0,30.0,30.0,29.75
20170421,30.0,30.3,30.3,30.0
20170424,30.0,30.0,30.0,30.0
20170425,31.3,30.1,31.3,30.1
20170426,30.5,31.5,31.5,30.0
20170427,30.5,30.5,30.5,30.5
20170502,30.0,30.05,30.05,30.0
20170503,30.05,30.0,30.05,30.0
20170504,30.05,30.05,30.05,30.05
20170508,30.0,30.0,30.0,30.0
20170509,30.0,30.05,30.05,30.0
20170510,30.0,30.0,30.5,30.0
20170511,30.4,30.5,30.55,30.0
20170512,30.0,30.0,30.0,30.0
20170515,30.0,30.5,30.5,30.0
20170516,31.0,31.0,31.0,31.0
20170517,30.5,30.0,30.5,30.0
20170518,30.0,30.0,30.0,30.0
20170519,30.0,30.0,30.0,30.0
20170522,30.0,30.0,30.0,30.0
20170523,30.0,30.0,30.0,30.0
20170524,30.05,30.05,30.05,30.0
20170526,30.05,0.0,0.0,0.0
20170529,30.0,30.0,30.25,30.0
20170530,30.0,30.0,30.0,30.0
20170531,30.0,30.0,30.0,30.0
20170601,30.0,30.0,30.0,30.0
20170602,30.0,30.0,30.0,30.0
20170605,30.0,32.0,32.0,30.0
20170606,30.0,30.0,30.0,30.0
20170607,30.0,32.3,32.3,30.0
20170608,30.0,30.0,30.0,30.0
20170609,30.0,30.4,30.4,30.0
20170612,31.1,30.0,31.6,30.0
20170613,32.0,32.0,32.0,32.0
20170614,30.0,30.0,30.0,30.0
20170615,30.0,30.0,30.0,30.0
20170616,30.05,30.0,30.05,30.0
20170619,30.5,30.0,30.5,30.0
20170621,30.0,30.0,30.0,30.0
20170623,30.0,30.0,30.0,30.0
20170626,30.0,30.0,30.0,30.0
20170628,30.0,30.0,30.0,30.0
20170629,31.0,30.0,31.0,30.0
20170630,31.1,31.0,32.3,30.95
20170703,31.5,31.0,32.1,31.0
20170704,32.0,32.1,32.1,32.0
20170705,31.0,31.0,31.0,31.0
20170706,31.0,31.0,31.1,31.0
20170707,32.0,32.0,32.0,32.0
20170711,33.0,32.0,33.0,32.0
20170712,33.0,32.8,33.0,32.5
20170713,33.0,32.0,33.0,32.0
20170714,33.0,33.0,33.0,33.0
20170717,32.25,32.8,32.8,32.25
20170719,33.0,32.95,33.0,32.95
20170724,32.0,32.0,32.0,32.0
20170727,32.0,32.0,32.0,32.0
20170801,31.0,31.0,31.0,31.0
20170802,32.0,32.0,32.0,32.0
20170804,31.5,31.5,31.5,31.5
20170807,30.0,30.5,30.5,30.0
20170810,31.0,30.6,31.0,30.5
20170811,30.5,30.5,30.5,30.5
20170814,30.5,30.5,30.5,30.5
20170815,30.0,30.3,30.3,30.0
20170818,30.1,30.0,30.1,30.0
20170822,30.0,30.0,31.0,30.0
20170823,30.1,30.1,30.1,30.1
20170824,30.1,30.1,30.1,30.1
20170825,31.5,31.0,31.5,31.0
20170828,31.5,31.0,31.5,31.0
20170829,31.6,31.6,31.6,31.6
20170830,32.0,32.0,32.0,32.0
20170831,32.0,32.0,32.0,32.0
20170901,33.0,32.0,33.0,32.0
20170905,33.0,33.0,33.0,33.0
20170906,33.0,33.0,33.0,33.0
20170907,33.0,33.0,33.0,33.0
