fecha,ultima,apertura,maximo,minimo
20101216,1.807,1.837,1.847,1.797
20101217,1.867,1.827,1.867,1.827
20101220,1.867,1.867,1.867,1.837
20101221,1.847,1.867,1.867,1.837
20101222,1.837,1.847,1.847,1.817
20101223,1.807,1.827,1.837,1.807
20101227,1.807,1.817,1.817,1.777
20101228,1.797,1.807,1.807,1.777
20101229,1.777,1.807,1.807,1.777
20101230,1.758,1.787,1.787,1.758
20110103,1.807,1.758,1.807,1.758
20110104,1.768,1.807,1.817,1.768
20110105,1.787,1.777,1.787,1.768
20110106,1.768,1.797,1.797,1.768
20110107,1.777,1.777,1.787,1.768
20110110,1.797,1.787,1.797,1.777
20110111,1.797,1.787,1.797,1.777
20110112,1.787,1.787,1.797,1.777
20110113,1.787,1.797,1.797,1.777
20110114,1.787,1.787,1.787,1.777
20110117,1.787,1.797,1.797,1.777
20110118,1.787,1.787,1.787,1.777
20110119,1.777,1.787,1.787,1.768
20110120,1.758,1.758,1.758,1.758
20110121,1.748,1.758,1.768,1.7480000000000002
20110124,1.748,1.738,1.7480000000000002,1.7380000000000002
20110125,1.758,1.748,1.777,1.7480000000000002
20110126,1.758,1.768,1.768,1.758
20110127,1.758,1.758,1.758,1.7480000000000002
20110128,1.728,1.748,1.7480000000000002,1.7280000000000002
20110131,1.758,1.738,1.758,1.7380000000000002
20110201,1.758,1.777,1.777,1.7480000000000002
20110202,1.758,1.758,1.758,1.7480000000000002
20110203,1.768,1.768,1.777,1.758
20110204,1.777,1.777,1.777,1.777
20110207,1.777,1.787,1.787,1.768
20110208,1.777,1.807,1.807,1.768
20110209,1.758,1.758,1.758,1.7480000000000002
20110210,1.719,1.738,1.7380000000000002,1.719
20110211,1.719,1.719,1.7280000000000002,1.709
20110214,1.709,1.728,1.7280000000000002,1.709
20110215,1.719,1.709,1.7280000000000002,1.699
20110216,1.728,1.728,1.7280000000000002,1.699
20110217,1.709,1.719,1.719,1.699
20110218,1.709,1.709,1.709,1.689
20110222,1.699,1.689,1.719,1.689
20110223,1.689,1.699,1.699,1.689
20110224,1.679,1.679,1.679,1.679
20110225,1.679,1.679,1.679,1.669
20110228,1.689,1.679,1.689,1.669
20110301,1.669,1.669,1.669,1.669
20110302,1.669,1.669,1.669,1.649
20110303,1.679,1.649,1.679,1.649
20110309,1.649,1.659,1.659,1.649
