fecha,ultima,apertura,maximo,minimo
20050103,3.35,3.39,3.39,3.35
20050104,3.27,3.3,3.3,3.27
20050105,3.22,3.25,3.25,3.2
20050106,3.3,3.25,3.3,3.25
20050110,3.3,3.3,3.3,3.3
20050111,3.37,3.3,3.37,3.28
20050112,3.42,3.37,3.45,3.37
20050113,3.4,3.4,3.4,3.4
20050114,3.4,3.39,3.4,3.39
20050117,3.44,3.44,3.44,3.44
20050118,3.33,3.4,3.4,3.33
20050119,3.33,3.32,3.33,3.32
20050120,3.33,3.33,3.33,3.33
20050121,3.35,3.35,3.35,3.35
20050124,3.4,3.35,3.4,3.32
20050126,3.5,3.38,3.5,3.36
20050127,3.5,3.5,3.51,3.5
20050128,3.6,3.5,3.6,3.5
20050131,3.59,3.6,3.62,3.59
20050201,3.6,3.6,3.6,3.6
20050202,3.58,3.6,3.62,3.58
20050203,3.6,3.58,3.6,3.58
20050204,3.7,3.6,3.7,3.6
20050207,3.74,3.7,3.8,3.7
20050208,3.8,3.8,3.83,3.79
20050209,3.83,3.82,3.88,3.82
20050210,3.84,3.81,3.88,3.81
20050211,4.04,3.95,4.1,3.95
20050214,4.36,4.05,4.44,4.05
20050215,4.4,4.36,4.41,4.35
20050216,4.5,4.42,4.5,4.4
20050217,4.4,4.5,4.5,4.29
20050218,4.38,4.38,4.38,4.2
20050221,4.35,4.34,4.35,4.2
20050222,4.35,4.28,4.35,4.28
20050223,4.64,4.28,4.65,4.28
20050224,4.67,4.69,4.85,4.58
20050225,4.97,4.67,5.0,4.67
20050228,4.94,5.0,5.15,4.93
20050301,4.94,4.89,4.94,4.86
20050302,5.05,4.94,5.06,4.94
20050303,4.93,5.08,5.08,4.93
20050304,4.95,4.98,5.06,4.95
20050307,4.9,4.9,4.95,4.8
20050308,4.88,4.92,4.92,4.88
20050309,4.45,4.89,4.89,4.43
20050310,4.35,4.45,4.45,4.3
20050311,4.2,4.4,4.4,4.2
20050314,4.0,4.2,4.2,4.0
20050315,4.05,4.0,4.05,3.98
20050316,4.17,4.05,4.2,4.05
20050317,4.09,4.16,4.16,4.06
20050318,4.05,4.1,4.12,4.05
20050321,3.86,4.2,4.2,3.84
20050322,3.86,3.86,3.86,3.86
20050323,3.78,3.78,3.78,3.78
20050328,3.76,3.75,3.8,3.75
20050329,3.8,3.9,3.9,3.8
20050330,3.82,3.82,3.82,3.7
20050331,3.74,3.8,3.8,3.74
20050401,3.75,3.77,3.77,3.75
20050404,3.8,3.77,3.8,3.75
20050405,3.65,3.8,3.8,3.65
20050406,3.66,3.7,3.7,3.66
20050407,3.65,3.65,3.65,3.65
20050408,3.6,3.7,3.7,3.6
20050412,3.6,3.55,3.6,3.46
20050413,3.55,3.55,3.55,3.55
20050414,3.45,3.5,3.5,3.45
20050415,3.3,3.37,3.37,3.3
20050418,3.35,3.35,3.35,3.35
20050419,3.35,3.35,3.35,3.32
20050420,3.3,3.35,3.35,3.3
20050421,3.26,3.32,3.32,3.26
20050422,3.22,3.31,3.31,3.22
20050425,3.4,3.25,3.4,3.25
20050426,3.35,3.5,3.5,3.33
20050427,3.35,3.39,3.42,3.33
20050428,3.25,3.28,3.29,3.24
20050429,3.32,3.32,3.32,3.32
20050502,3.32,3.4,3.4,3.32
