fecha,ultima,apertura,maximo,minimo
20171101,75.55,76.5,78.2,74.1
20171103,75.75,77.0,77.5,75.0
20171107,74.9,76.0,77.4,74.85
20171108,76.5,75.1,76.5,74.65
20171109,75.5,77.2,77.7,75.0
20171110,74.1,75.5,77.3,74.0
20171113,74.25,75.0,75.0,73.8
20171114,73.0,74.35,74.35,72.5
20171115,74.15,73.0,74.5,72.0
20171116,76.65,74.2,76.9,74.2
20171117,77.0,76.5,77.25,76.5
20171121,79.3,77.9,79.85,77.9
20171122,82.6,80.0,82.9,80.0
20171123,83.2,84.75,84.95,82.6
20171124,82.9,83.0,83.0,81.5
20171127,80.4,84.0,84.0,79.0
20171128,79.7,80.4,81.0,79.6
20171129,77.9,80.0,80.0,75.1
20171130,77.9,77.0,80.0,76.1
20171201,75.9,77.9,78.0,75.9
20171204,75.2,76.0,77.9,74.0
20171205,74.0,76.95,76.95,73.0
20171206,74.0,74.2,74.7,72.75
20171207,75.0,74.0,75.8,73.8
20171211,76.0,76.0,76.95,74.9
20171212,76.25,76.4,76.7,75.0
20171213,75.1,77.0,78.0,75.0
20171214,75.8,76.0,77.0,73.5
20171215,75.3,76.5,76.5,75.0
20171218,75.6,76.0,76.8,74.95
20171219,81.0,76.8,81.0,76.0
20171220,79.75,81.0,81.0,78.5
20171221,79.6,79.0,80.2,79.0
20171222,80.1,79.5,81.0,79.4
20171226,81.9,80.1,82.3,80.1
20171227,83.2,81.9,84.0,81.4
20171228,84.9,83.3,86.9,83.3
20171229,85.4,85.3,87.0,84.0
20180102,88.4,86.0,90.5,85.5
20180103,89.0,89.1,92.0,88.0
20180104,92.1,90.0,94.5,90.0
20180105,92.0,93.0,94.7,91.0
20180108,90.5,92.05,93.0,87.0
20180109,89.25,90.5,92.0,88.8
20180110,90.5,88.05,91.0,88.0
20180111,90.6,91.45,92.0,89.0
20180112,95.0,91.9,95.0,91.9
20180115,98.25,95.2,102.0,95.0
20180116,95.0,99.4,99.4,94.1
20180117,93.0,95.0,95.0,92.3
20180118,93.65,95.0,95.0,92.5
20180119,94.5,93.75,95.0,91.6
20180122,95.0,95.0,95.5,92.15
20180123,94.6,95.15,96.5,93.25
20180124,94.0,95.0,97.5,93.35
20180125,94.35,94.0,94.7,91.8
20180126,94.3,95.3,96.2,93.8
20180129,92.75,96.65,96.65,91.05
20180130,90.6,92.75,94.0,88.5
20180131,93.7,90.8,94.0,90.8
20180201,93.5,95.0,96.0,92.3
20180202,90.1,94.0,94.0,89.4
20180205,85.6,90.1,90.1,84.5
20180206,84.75,82.3,89.0,81.1
20180207,87.1,87.0,90.0,85.85
