fecha,ultima,apertura,maximo,minimo
20170619,193.5,200.0,200.0,190.0
20170621,188.0,188.89999,190.0,180.0
20170622,225.60001,190.0,225.6,189.0
20170623,238.0,227.0,248.0,227.0
20170626,234.0,240.0,243.0,221.0
20170627,237.0,236.0,238.0,234.0
20170628,238.0,234.0,238.5,234.0
20170629,241.5,238.5,241.75,238.5
20170630,245.0,241.0,245.0,238.05
20170703,242.45,246.0,247.0,240.0
20170704,245.89999,243.0,246.0,241.0
20170705,248.0,246.0,249.0,245.0
20170706,248.5,248.5,250.0,248.25
20170707,246.0,249.0,250.0,237.0
20170710,240.0,246.0,248.0,239.0
20170711,232.5,240.0,240.1,232.0
20170712,233.7,232.05,236.0,232.0
20170713,226.60001,236.0,236.0,226.6
20170714,220.0,226.0,229.0,218.0
20170717,206.0,220.0,220.0,205.0
20170718,203.0,205.0,208.0,200.0
20170719,205.0,206.14999,208.0,202.0
20170720,203.0,202.0,204.0,202.0
20170721,205.0,204.0,206.5,203.0
20170724,202.0,203.0,204.9,202.0
20170725,200.0,200.5,202.0,200.0
20170726,203.39999,198.75,205.0,198.75
20170727,201.0,203.3,204.0,201.0
20170728,200.0,198.0,201.0,196.0
20170731,200.0,200.0,200.0,195.35
20170801,202.0,200.64999,203.4,200.65
20170802,204.0,203.0,204.0,202.2
20170803,205.0,204.0,210.0,204.0
20170804,204.0,210.0,210.0,204.0
20170807,200.0,204.0,204.0,200.0
20170808,197.0,195.0,200.0,195.0
20170809,186.89999,195.0,195.5,185.0
20170810,191.0,189.0,192.0,187.1
20170811,192.0,190.0,192.0,190.0
20170814,195.0,195.0,198.0,195.0
20170815,195.0,195.0,196.0,193.0
20170816,195.5,195.0,198.0,193.0
20170817,200.0,196.5,200.0,195.0
20170818,200.2,200.0,202.0,200.0
20170822,200.2,200.10001,202.0,200.0
20170823,199.5,201.0,203.0,199.5
20170824,201.0,199.0,203.25,198.5
20170825,198.0,200.0,202.0,198.0
20170828,200.0,197.0,200.0,197.0
20170829,200.0,197.0,200.0,197.0
20170830,201.8,200.0,201.8,197.5
20170831,204.0,201.0,206.15,199.0
20170901,206.0,201.0,208.95,201.0
20170904,206.0,208.0,208.1,205.0
20170905,204.10001,205.0,207.75,204.1
20170906,202.0,203.39999,203.4,200.0
20170907,205.0,208.0,212.0,202.0
20170908,206.0,206.0,210.0,205.5
20170911,202.0,207.0,207.0,200.0
20170912,200.95,200.64999,200.95,198.0
20170913,198.0,198.0,199.0,197.0
20170914,198.0,197.0,203.95,197.0
20170915,197.0,197.0,197.0,195.0
20170918,196.0,197.0,197.0,195.0
20170919,197.5,198.0,198.0,195.1
20170920,200.0,199.0,200.65,198.0
20170921,198.0,202.0,202.0,198.0
20170922,196.0,197.0,198.0,195.0
20170925,194.5,190.0,196.5,190.0
20170926,193.0,195.5,195.5,192.0
20170927,193.0,191.05,193.5,191.05
20170928,193.0,193.5,193.9,192.0
20170929,192.0,193.0,193.0,190.05
20171002,190.35001,191.0,191.0,190.05
20171003,197.0,190.0,197.5,188.6
20171004,198.05,195.0,198.5,192.0
20171005,201.89999,198.2,201.9,198.2
20171006,197.10001,202.0,203.0,194.0
20171009,197.0,197.0,197.2,196.0
20171010,199.0,197.0,200.0,196.0
20171011,198.25,197.0,201.0,197.0
20171012,195.5,198.25,198.4,195.4
20171013,199.5,196.0,199.9,194.5
20171017,196.0,195.3,196.0,192.55
20171018,193.0,195.5,195.5,192.65
20171019,196.0,193.0,196.0,193.0
20171020,197.0,196.0,197.0,194.0
20171023,196.0,197.0,197.05,192.4
20171024,192.5,196.0,196.0,192.5
20171025,190.0,193.0,193.0,189.0
20171026,193.0,190.0,193.05,190.0
20171027,190.0,193.0,199.45,189.0
20171030,190.0,189.5,190.0,188.0
20171031,190.0,191.0,191.95,189.0
20171101,192.0,188.0,192.0,188.0
20171102,193.2,193.0,193.5,190.0
20171103,195.0,194.0,195.0,192.0
20171107,197.0,195.0,199.0,194.0
20171108,194.0,194.0,194.0,193.0
20171109,190.5,193.0,193.0,190.0
20171110,188.0,191.0,191.0,187.5
20171113,184.0,189.0,189.0,181.0
20171114,180.0,188.0,188.0,178.0
20171115,180.0,174.0,183.0,172.0
20171116,181.0,182.0,182.0,178.0
20171117,180.0,182.0,182.0,180.0
20171121,177.64999,180.0,180.0,172.0
20171122,181.0,177.0,182.0,176.8
20171123,179.05,178.0,180.3,178.0
20171124,178.5,177.0,179.0,177.0
20171127,175.0,177.64999,177.65,173.5
20171128,175.0,175.0,175.0,172.0
20171129,174.0,175.0,175.0,171.5
20171130,173.0,174.14999,174.15,171.0
20171201,171.0,170.0,173.0,170.0
20171204,170.0,170.0,174.0,168.0
20171205,167.0,170.0,171.0,166.0
20171206,164.8,167.0,167.0,164.5
20171207,166.0,164.8,166.0,163.0
20171211,166.0,163.0,166.0,162.0
20171212,165.0,165.0,165.0,162.0
20171213,164.0,162.0,165.0,159.0
20171214,164.0,165.0,165.0,162.0
20171215,167.0,163.0,170.0,161.0
20171218,170.0,167.0,170.0,165.05
20171219,170.0,167.0,170.0,163.0
20171220,174.0,168.0,175.0,167.5
20171221,170.0,174.0,174.0,167.0
20171222,171.0,168.5,171.0,168.0
20171226,172.0,172.0,173.0,165.0
20171227,169.0,170.0,173.0,168.5
20171228,178.0,169.0,178.0,166.0
20171229,180.0,177.5,180.0,175.0
20180102,180.05,180.05,180.05,175.0
20180103,179.0,181.0,183.5,175.0
20180104,178.0,180.0,180.0,177.0
20180105,178.5,178.0,178.5,177.0
20180108,175.0,180.0,180.0,169.0
20180109,172.0,173.05,173.5,169.5
20180110,167.2,174.0,174.0,167.0
20180111,169.0,168.0,170.0,167.1
20180112,170.0,169.0,170.0,167.0
20180115,169.0,170.0,170.0,165.0
20180116,171.0,168.95,175.0,168.95
20180117,172.0,170.0,175.0,170.0
20180118,175.2,172.0,175.2,170.0
20180119,174.0,175.35001,175.35,170.0
20180122,171.0,168.7,172.0,168.7
20180123,179.5,171.0,180.0,170.0
20180124,186.5,175.0,187.0,175.0
20180125,193.0,187.0,198.1,186.5
20180126,198.0,193.10001,200.0,193.0
20180129,188.0,198.0,198.0,188.0
20180130,186.0,184.0,186.1,180.0
