fecha,ultima,apertura,maximo,minimo
20050103,0.98,0.97,0.98,0.97
20050104,1.04,0.98,1.04,0.95
20050107,1.06,1.0,1.06,1.0
20050110,1.02,1.0,1.02,0.96
20050111,1.02,1.02,1.02,1.02
20050112,1.03,1.03,1.03,1.03
20050118,1.0,0.95,1.0,0.95
20050121,0.98,0.94,0.98,0.94
20050127,0.97,0.97,0.97,0.97
20050128,0.96,0.96,0.96,0.96
20050204,0.96,0.96,0.96,0.96
20050208,1.0,0.94,1.0,0.94
20050209,0.98,0.95,0.98,0.95
20050210,0.97,0.98,0.98,0.95
20050211,0.97,0.97,0.97,0.97
20050214,0.98,0.98,0.98,0.98
20050216,0.965,0.965,0.965,0.965
20050218,0.965,0.965,0.965,0.965
20050221,0.96,0.95,0.96,0.95
20050223,0.97,0.97,0.97,0.97
20050225,0.96,0.94,0.96,0.94
20050302,0.96,0.96,0.96,0.96
20050308,0.97,0.96,0.97,0.96
20050429,0.869,0.79,0.8690000000000001,0.79
20050502,0.865,0.79,0.865,0.79
20050503,0.84,0.8,0.84,0.8
20050504,0.86,0.845,0.86,0.845
20050511,0.885,0.86,0.885,0.855
20050516,0.9,0.89,0.9,0.89
20050523,0.905,0.905,0.905,0.905
20050622,0.9,0.82,0.9,0.82
20050628,0.88,0.88,0.88,0.88
20050629,0.87,0.8,0.87,0.8
20050706,0.85,0.85,0.85,0.85
20050713,0.85,0.85,0.85,0.85
20050714,0.81,0.81,0.81,0.81
20050715,0.81,0.81,0.81,0.81
20050718,0.825,0.825,0.825,0.825
20050719,0.815,0.78,0.815,0.78
20050725,0.815,0.78,0.815,0.78
20050726,0.84,0.81,0.84,0.81
20050728,0.86,0.86,0.86,0.86
20050802,0.88,0.88,0.88,0.88
20050810,0.859,0.86,0.86,0.8590000000000001
20050817,0.88,0.85,0.88,0.85
20050824,0.88,0.88,0.88,0.88
20050831,0.87,0.87,0.87,0.87
20050901,0.885,0.885,0.885,0.885
20050922,0.845,0.845,0.845,0.845
20050923,0.845,0.845,0.845,0.845
20050927,0.84,0.82,0.84,0.82
20050928,0.82,0.8,0.82,0.8
20050930,0.8,0.82,0.82,0.8
20051003,0.8,0.8,0.8,0.79
20051004,0.799,0.79,0.799,0.784
20051006,0.799,0.799,0.799,0.799
20051011,0.79,0.79,0.79,0.79
