fecha,ultima,apertura,maximo,minimo
20050110,14.7,14.7,14.7,14.7
20050111,15.0,15.0,15.0,15.0
20050112,14.5,14.7,14.7,14.5
20050114,14.4,14.4,14.4,14.4
20050117,14.4,14.4,14.4,14.4
20050120,14.5,14.5,14.5,14.5
20050127,14.5,14.5,14.5,14.5
20050128,14.7,14.7,14.7,14.7
20050131,14.7,14.8,14.8,14.7
20050204,14.8,14.8,14.8,14.8
20050208,14.8,14.8,14.8,14.8
20050209,14.8,14.8,14.8,14.8
20050210,15.0,14.6,15.0,14.5
20050211,16.5,15.5,16.5,15.5
20050215,16.0,16.5,16.5,16.0
20050216,16.5,16.0,16.5,16.0
20050217,17.0,16.5,17.0,16.5
20050218,17.5,17.3,17.5,17.3
20050222,18.0,17.0,18.0,17.0
20050223,18.0,18.0,18.5,18.0
20050224,17.8,18.0,18.0,17.8
20050225,18.0,17.8,18.0,17.8
20050228,17.8,17.8,17.8,17.8
20050303,17.8,17.8,17.8,17.8
20050307,17.8,17.8,17.8,17.8
20050309,17.6,17.6,17.6,17.6
20050310,17.4,17.4,17.4,17.4
20050311,17.4,17.4,17.4,17.4
20050314,17.0,17.0,17.0,17.0
20050316,16.8,16.8,16.8,16.8
20050317,17.0,17.0,17.0,17.0
20050404,16.6,16.6,16.6,16.6
20050415,16.0,16.4,16.4,16.0
20050427,17.3,17.3,17.3,17.3
20050504,17.5,17.3,17.5,17.3
20050510,17.5,17.5,17.5,17.5
20050511,18.0,18.0,18.0,18.0
20050512,18.0,18.0,18.0,18.0
20050513,18.0,18.0,18.0,18.0
20050518,18.0,18.0,18.0,18.0
20050520,17.5,17.5,17.5,17.5
20050526,17.5,17.5,17.5,17.5
20050531,18.0,18.0,18.0,18.0
20050601,18.0,18.0,18.0,18.0
20050608,17.7,17.7,17.7,17.7
20050624,17.5,17.5,17.5,17.5
20050627,17.5,17.5,17.5,17.5
20050708,17.3,17.3,17.3,17.3
20050711,17.0,16.8,17.0,16.8
20050714,17.3,17.3,17.3,17.3
20050721,17.8,17.8,17.8,17.8
20050722,18.0,18.0,18.0,18.0
20050725,17.5,18.0,18.0,17.5
20050803,17.55,17.55,17.55,17.55
20050804,18.0,18.0,18.0,18.0
20050805,18.0,18.05,18.05,18.0
20050809,18.5,18.5,18.5,18.5
20050810,18.5,18.5,18.5,18.5
20050817,18.5,18.5,18.5,18.5
20050819,19.0,19.0,19.0,19.0
20050822,19.1,19.1,19.1,19.1
20050823,19.3,19.3,19.3,19.3
20050825,19.0,19.0,19.0,19.0
20050826,19.9,20.5,20.9,19.3
20050829,19.9,20.0,20.0,19.5
20050830,19.7,19.7,19.7,19.7
20050901,19.3,19.3,19.3,19.3
20050902,19.5,19.0,19.5,19.0
20050908,19.5,19.5,19.5,19.5
20050909,19.0,19.0,19.0,19.0
20050912,18.7,18.7,18.7,18.7
20050915,18.7,18.7,18.7,18.5
20050920,18.4,18.3,18.4,18.3
20050926,19.3,19.3,19.3,19.3
20050927,20.0,20.0,20.0,20.0
20050928,20.0,20.0,20.0,20.0
20051003,19.6,19.6,19.6,19.6
20051004,19.6,19.6,19.6,19.6
20051005,19.3,19.3,19.3,19.3
20051012,19.0,19.0,19.0,19.0
20051019,18.0,18.0,18.0,18.0
20051020,18.0,18.0,18.0,18.0
20051021,18.5,18.5,18.5,18.5
20051026,19.0,19.0,19.0,19.0
20051027,19.0,19.0,19.0,19.0
20051031,19.0,18.5,19.0,18.5
20051101,18.0,18.0,18.0,18.0
20051103,18.5,19.0,19.0,18.5
20051108,18.0,18.0,18.0,18.0
20051109,18.0,18.0,18.0,17.3
20051114,18.0,18.0,18.0,18.0
20051118,18.0,18.1,18.1,18.0
