fecha,ultima,apertura,maximo,minimo
20140114,1.97,1.88,1.98,1.88
20140115,2.4,2.0,2.4,2.0
20140116,2.8,2.4,2.92,2.4
20140117,2.8,2.95,3.35,2.8
20140120,3.05,2.85,3.07,2.85
20140121,3.05,3.12,3.2,3.05
20140122,3.0,3.05,3.1,3.0
20140123,2.86,3.0,3.0,2.8
20140124,2.83,2.85,2.85,2.8
20140127,2.9,2.7,2.9,2.7
20140128,2.9,2.9,2.9,2.9
20140129,2.8,2.7,2.8,2.7
20140130,3.07,2.75,3.07,2.75
20140131,3.0,3.07,3.1,2.95
20140203,3.0,3.0,3.1,2.95
20140204,3.0,3.0,3.0,2.99
20140205,2.9,2.9,2.9,2.9
20140206,3.19,2.98,3.19,2.98
20140207,3.09,3.1,3.1,3.05
20140210,3.17,3.06,3.17,3.05
20140211,3.23,3.2,3.25,3.2
20140212,3.33,3.25,3.35,3.25
20140213,3.3,3.3,3.34,3.3
20140214,3.35,3.35,3.35,3.3
20140217,3.31,3.3,3.34,3.3
20140218,3.32,3.31,3.33,3.31
20140219,3.1,3.1,3.1,3.1
20140220,3.14,3.0,3.14,3.0
20140221,3.1,3.14,3.14,3.1
20140224,3.0,3.05,3.05,3.0
20140225,3.2,3.2,3.2,3.2
20140226,3.18,3.18,3.18,3.18
20140228,3.2,3.2,3.2,3.0
20140305,3.2,3.2,3.2,3.2
20140306,3.0,3.0,3.0,3.0
20140307,3.15,3.05,3.15,3.05
20140310,3.19,3.15,3.2,3.15
20140311,3.0,3.15,3.15,3.0
20140312,3.09,3.0,3.09,3.0
20140313,3.0,3.09,3.09,3.0
20140314,3.0,3.0,3.02,3.0
20140317,3.0,3.05,3.05,3.0
20140318,3.06,3.1,3.1,3.06
20140319,3.0,3.0,3.0,3.0
20140320,3.03,3.03,3.03,3.03
20140321,3.05,3.05,3.05,3.05
20140325,3.02,3.1,3.1,3.02
20140326,3.14,3.02,3.14,3.0
20140327,3.13,3.1,3.13,3.06
20140328,3.15,3.05,3.15,3.05
20140331,3.13,3.15,3.15,3.12
20140401,3.36,3.13,3.4,3.13
20140403,3.59,3.46,3.6,3.45
20140404,3.45,3.59,3.59,3.45
20140407,3.45,3.45,3.45,3.45
20140408,3.6,3.57,3.6,3.5
20140409,3.8,3.6,3.8,3.6
20140410,3.88,3.83,3.88,3.78
20140411,3.95,3.88,3.96,3.88
20140414,4.0,3.95,4.0,3.94
20140415,4.05,4.1,4.1,4.05
20140416,4.55,4.2,4.55,4.2
20140421,4.8,4.5,5.0,4.5
20140422,4.9,4.9,5.0,4.88
20140423,4.8,4.93,4.95,4.8
20140424,4.88,4.79,4.88,4.79
20140425,4.85,4.92,4.92,4.85
20140428,4.9,4.85,4.95,4.85
20140429,4.9,4.95,4.95,4.9
20140430,5.0,4.9,5.0,4.87
20140505,4.95,5.0,5.0,4.95
20140506,5.04,5.04,5.04,5.0
20140507,5.02,5.03,5.04,5.0
20140508,5.05,5.1,5.1,5.05
20140509,5.0,4.9,5.0,4.9
20140512,5.05,5.1,5.1,5.02
20140513,5.1,5.05,5.17,5.05
20140514,5.2,5.1,5.2,5.1
20140515,5.17,5.2,5.2,5.16
20140516,5.2,5.17,5.2,5.17
20140519,5.18,5.1,5.18,5.1
20140520,5.14,5.12,5.14,5.12
20140521,5.16,5.11,5.16,5.1
20140522,5.32,5.17,5.35,5.14
20140523,6.0,5.4,6.0,5.4
20140526,6.67,6.3,6.67,6.2
20140527,6.7,6.7,6.9,6.5
20140528,6.95,6.72,7.0,6.6
20140529,7.38,7.18,7.4,7.15
20140530,7.5,7.5,7.55,7.3
20140602,8.2,7.7,8.5,7.6
20140603,8.2,8.4,8.4,8.1
20140604,8.3,8.3,8.35,8.21
20140605,8.8,8.4,9.45,8.4
20140606,9.2,8.85,9.35,8.85
20140609,9.4,9.4,9.59,9.3
20140610,8.85,9.5,9.5,8.55
20140611,8.51,8.85,8.85,8.51
20140612,8.55,8.5,8.7,8.5
20140613,8.92,8.55,9.0,8.55
20140616,7.5,8.35,8.35,7.0
20140617,7.88,7.29,8.1,7.0
20140618,8.55,7.8,8.55,7.7
20140619,8.05,8.0,8.25,8.0
20140623,8.98,8.85,9.15,8.8
20140624,9.05,9.02,9.05,8.95
20140625,9.0,9.05,9.05,8.9
20140626,8.8,8.95,9.0,8.5
20140627,8.79,8.75,8.8,8.05
20140630,8.77,8.78,8.78,8.77
20140701,9.13,8.8,9.15,8.8
20140702,8.95,9.13,9.13,8.85
20140703,8.96,9.0,9.1,8.96
20140704,9.0,8.98,9.0,8.98
20140707,9.3,9.0,9.35,8.7
20140708,10.2,9.6,10.2,9.6
20140710,11.35,11.0,11.7,10.6
20140711,11.2,11.9,12.4,11.2
20140714,10.9,11.2,11.5,10.65
20140715,11.0,10.7,11.2,10.25
20140716,11.0,11.3,11.35,10.9
20140717,10.5,11.0,11.2,10.5
20140718,11.05,10.6,11.2,10.6
20140721,10.85,10.6,11.05,10.55
20140722,10.85,11.8,11.8,10.1
20140723,10.6,10.3,10.6,10.3
20140724,10.75,11.0,11.25,10.65
20140725,9.85,10.75,10.75,9.8
20140728,9.5,9.65,9.65,8.9
20140729,10.45,9.5,10.45,9.5
20140730,11.8,11.3,11.8,11.3
20140731,10.55,10.65,11.0,10.4
20140801,10.6,10.65,10.9,9.75
20140804,10.5,10.65,10.65,10.4
20140805,10.1,10.35,10.35,9.85
20140806,10.3,9.86,10.4,9.85
20140807,10.45,10.5,10.7,10.45
20140808,10.15,9.6,10.2,9.6
20140811,10.1,10.2,10.3,10.1
20140812,10.25,10.05,10.3,9.81
20140813,10.3,10.25,10.4,10.25
20140814,10.2,10.2,10.45,10.0
20140815,11.2,10.2,11.2,10.2
20140819,11.4,11.5,11.55,11.35
20140820,11.5,11.0,11.55,10.9
20140821,11.0,11.5,11.7,11.0
20140822,11.6,11.1,11.6,11.0
20140825,11.9,11.7,12.0,11.7
20140826,12.1,11.9,12.1,11.7
20140827,11.95,12.2,12.2,11.9
20140828,12.0,12.0,12.0,11.65
20140829,12.05,12.1,12.15,11.8
20140901,12.1,12.1,12.1,12.0
20140902,12.0,12.0,12.2,12.0
20140903,12.15,12.0,12.35,12.0
20140904,12.0,11.65,12.15,11.65
20140905,12.75,12.2,12.75,12.2
20140908,13.25,12.75,13.4,12.75
20140909,13.25,13.25,13.35,13.2
20140910,14.0,13.25,14.15,13.1
20140911,15.3,14.5,15.3,14.15
20140912,15.3,15.3,15.6,15.0
20140915,15.0,15.4,15.4,14.8
20140916,15.5,15.0,15.5,15.0
20140917,15.35,15.8,15.8,15.1
20140918,15.4,15.8,16.0,15.4
20140919,15.5,15.75,15.75,15.4
20140922,16.4,15.8,16.5,15.8
20140923,17.0,17.0,17.3,16.9
20140924,17.4,17.4,17.7,16.5
20140925,19.0,17.4,19.05,17.0
20140926,18.5,19.0,20.25,18.0
20140929,18.5,18.4,19.3,17.6
20140930,18.35,18.5,18.55,18.1
20141001,17.2,19.5,19.5,17.2
20141002,16.75,16.7,16.75,14.7
20141003,17.95,16.75,18.4,16.75
20141006,17.7,18.2,18.2,17.5
20141007,17.85,17.7,18.2,17.7
20141008,18.1,17.85,18.1,17.5
20141009,17.6,17.5,18.0,17.0
20141010,18.0,17.25,18.0,17.25
20141014,17.25,18.0,18.0,16.9
20141015,16.2,16.0,16.4,15.75
20141016,16.25,15.8,16.35,15.6
20141017,17.0,16.55,17.4,16.45
20141020,18.0,17.4,18.0,17.25
20141021,17.7,18.1,18.45,17.25
20141022,17.4,17.3,17.5,17.3
20141023,16.3,17.5,17.5,16.3
20141024,16.15,16.45,16.8,15.85
20141027,14.9,16.25,16.25,14.9
20141028,15.1,14.95,15.1,14.8
20141029,15.2,15.0,15.3,14.9
20141030,15.6,16.0,16.0,15.6
20141031,16.8,16.0,16.9,15.9
20141103,17.5,16.8,18.0,16.8
20141104,17.1,17.8,17.8,16.4
20141105,17.0,17.05,17.05,16.45
20141107,18.1,17.0,18.5,17.0
20141110,17.5,18.2,18.5,17.4
20141111,17.8,17.0,17.8,17.0
20141112,17.2,17.8,17.8,17.2
20141113,17.2,16.8,17.35,16.8
20141114,16.65,17.2,18.0,16.4
20141117,16.25,16.6,16.6,16.0
20141118,16.4,16.2,16.4,15.95
20141119,16.0,16.6,16.6,16.0
20141120,16.05,15.6,16.5,15.6
20141121,16.0,16.6,16.6,16.0
20141125,16.4,16.5,16.5,16.3
20141126,16.05,16.5,16.5,15.9
20141127,15.3,16.0,16.0,15.0
20141128,13.9,14.85,14.85,13.8
20141201,13.25,13.0,13.5,12.7
20141202,13.5,13.25,13.8,13.1
20141203,14.2,14.0,14.2,14.0
20141204,14.35,14.2,14.7,14.2
20141205,14.7,14.35,14.8,14.35
20141209,13.9,14.0,14.1,13.7
20141210,13.45,13.5,14.0,13.3
20141211,13.45,13.0,13.45,12.5
20141212,13.0,13.3,13.3,12.8
20141215,12.45,13.0,13.05,12.4
20141216,12.85,12.0,12.85,11.8
20141217,13.95,12.9,14.1,12.9
20141218,14.6,14.8,14.8,14.1
20141219,15.3,15.0,15.7,14.95
20141222,15.5,16.0,16.0,15.5
20141223,15.4,16.0,16.0,15.0
20141229,15.45,15.8,16.0,15.4
20141230,15.25,15.45,15.5,15.25
20150102,15.1,15.25,15.5,15.0
20150105,15.3,14.6,15.3,14.55
20150106,15.3,15.3,15.4,15.0
20150107,15.0,15.1,15.1,15.0
20150108,14.9,15.0,15.0,14.7
20150109,15.3,14.8,15.3,14.8
20150112,14.5,14.7,15.0,14.5
20150113,15.0,14.5,15.05,14.5
20150114,15.2,15.0,15.2,14.95
20150115,15.65,15.4,15.7,15.4
20150116,15.65,15.5,15.65,15.5
20150119,15.6,15.4,15.6,15.4
20150120,15.5,15.6,15.7,15.5
20150121,15.3,15.5,15.65,15.3
20150122,15.3,15.3,15.35,15.3
20150123,15.5,16.0,16.0,15.3
20150126,15.0,15.25,15.25,15.0
20150127,15.5,15.0,15.5,15.0
20150128,15.35,15.35,15.4,15.3
20150129,15.25,15.4,15.4,15.25
20150130,15.0,14.75,15.0,14.75
20150202,15.25,15.35,15.35,15.25
20150203,15.4,15.35,15.7,15.35
20150204,15.55,15.0,15.55,15.0
20150205,15.4,15.55,15.55,15.25
20150206,15.55,15.45,15.6,15.4
20150209,14.8,15.5,15.5,14.8
20150210,15.3,15.0,15.3,15.0
20150211,15.3,15.3,15.7,15.3
20150212,15.0,15.3,15.35,15.0
20150213,15.25,15.65,15.65,15.0
20150218,15.3,15.25,15.5,15.25
20150219,15.0,15.0,15.1,15.0
20150220,15.3,15.0,15.35,15.0
20150223,15.35,15.15,15.35,15.0
20150224,15.75,15.3,15.75,15.3
20150225,15.7,15.6,15.7,15.4
20150226,15.5,16.0,16.0,15.5
20150227,16.5,15.5,16.5,15.5
20150302,16.8,17.0,17.0,16.7
20150303,17.2,17.0,17.3,17.0
20150304,17.5,17.3,17.5,17.1
20150305,18.7,17.5,18.7,17.5
20150306,19.05,19.0,20.0,18.8
20150309,19.5,19.8,19.8,19.0
20150310,18.5,19.7,19.7,18.2
20150311,19.0,18.7,19.0,18.7
20150312,19.3,19.25,19.6,18.5
20150313,19.6,19.3,19.6,19.0
20150316,20.0,19.8,20.15,19.7
20150317,19.5,21.0,21.0,19.5
20150318,19.0,18.8,19.0,18.8
20150319,18.9,18.85,19.1,18.8
20150320,18.0,19.2,19.2,18.0
20150325,17.9,17.0,18.0,17.0
20150326,17.0,16.7,17.3,16.55
20150327,18.0,16.8,18.0,16.8
20150330,18.8,19.0,19.2,18.7
20150331,18.25,19.0,19.0,18.25
20150401,18.75,18.25,18.9,18.25
20150406,18.9,19.5,19.5,18.9
20150407,19.0,19.0,19.0,18.8
20150408,19.1,19.0,19.5,19.0
20150409,19.2,19.2,19.2,19.2
20150410,19.5,19.3,19.65,19.2
20150413,19.8,19.5,19.8,19.5
20150414,20.35,20.0,20.35,19.8
20150415,20.4,20.5,20.5,20.3
20150416,20.5,20.5,21.0,20.4
20150417,21.35,20.7,21.4,20.4
20150420,21.9,21.3,22.5,21.3
20150421,22.0,21.95,22.0,21.8
20150422,22.7,22.0,22.7,21.5
20150423,24.0,23.2,24.95,23.2
20150424,24.1,24.5,24.5,23.0
20150427,25.4,24.1,26.0,24.1
20150428,24.7,25.5,25.5,24.0
20150429,24.3,25.0,25.1,24.0
20150430,23.65,25.5,25.5,23.15
20150504,23.0,23.65,23.7,22.7
20150505,22.95,23.0,23.0,22.5
20150506,23.75,23.2,23.8,22.95
20150507,23.3,24.0,24.0,23.2
20150508,23.0,23.5,23.5,23.0
20150511,23.0,23.25,23.25,23.0
20150512,23.0,23.0,23.0,22.75
20150513,23.75,23.0,24.1,23.0
20150514,24.5,24.25,24.7,24.0
