fecha,ultima,apertura,maximo,minimo
20050103,77.0,77.3,77.3,77.0
20050104,75.0,77.0,77.0,75.0
20050105,74.5,74.0,74.5,74.0
20050106,73.0,73.0,73.0,73.0
20050107,72.5,73.0,74.0,72.5
20050110,73.25,72.6,73.25,72.6
20050111,72.8,73.25,73.25,72.6
20050112,74.5,73.5,74.5,73.5
20050113,74.3,74.0,74.5,73.5
20050114,74.1,74.5,74.5,74.1
20050118,75.0,74.35,75.0,73.0
20050119,74.75,74.75,74.75,74.75
20050120,74.0,74.0,74.0,73.9
20050121,74.0,74.0,74.0,74.0
20050124,74.0,74.75,74.75,74.0
20050125,74.0,74.5,74.5,74.0
20050126,74.0,74.0,74.0,73.8
20050127,74.5,74.5,74.5,74.5
20050128,74.5,74.5,74.5,74.0
20050131,75.0,74.5,75.0,74.5
20050201,75.0,75.0,75.0,75.0
20050202,74.0,75.0,75.0,74.0
20050203,74.2,74.0,74.2,74.0
20050204,74.6,74.5,74.8,74.5
20050207,74.0,74.8,75.0,74.0
20050208,74.0,74.5,74.5,74.0
20050209,73.9,74.0,74.5,73.9
20050210,75.0,74.25,75.0,74.25
20050211,75.75,75.5,75.75,75.0
20050214,75.75,76.5,76.5,75.0
20050215,76.0,76.2,76.2,75.75
20050216,76.0,75.3,76.0,75.3
20050217,77.0,77.0,77.0,76.0
20050218,78.0,77.0,80.0,77.0
20050221,78.5,80.0,80.0,77.0
20050222,77.0,78.4,78.4,76.5
20050223,77.0,76.5,77.5,76.5
20050224,78.5,77.5,78.5,77.5
20050225,79.9,78.25,79.9,78.25
20050228,79.0,80.3,80.3,77.0
20050301,80.0,79.0,80.0,79.0
20050302,80.0,80.0,80.0,79.25
20050303,81.0,81.0,82.0,80.0
20050304,82.0,82.1,82.1,82.0
20050307,81.1,81.0,82.0,81.0
20050308,82.3,82.0,82.3,82.0
20050309,82.5,83.3,83.3,82.5
20050310,81.0,82.0,82.0,80.9
20050311,81.0,81.0,82.0,81.0
20050314,80.9,80.7,81.1,80.0
20050315,80.5,81.0,81.0,80.25
20050316,80.0,80.0,80.0,80.0
20050317,80.0,80.0,80.0,80.0
20050318,80.0,80.5,80.5,79.0
20050321,78.5,80.0,80.0,78.5
20050322,79.0,78.5,79.0,78.5
20050323,77.0,77.5,77.5,77.0
20050328,76.25,76.5,76.5,76.25
20050329,76.0,76.0,76.0,76.0
20050330,80.0,77.0,80.0,77.0
20050331,77.9,77.9,77.9,77.9
20050401,77.9,78.0,78.0,77.9
20050404,77.8,77.8,77.8,77.8
20050405,78.0,77.8,78.0,77.8
20050406,77.85,78.0,78.0,77.8
20050407,78.1,78.0,78.1,78.0
20050408,77.7,77.7,78.0,77.7
20050411,77.0,77.5,77.5,77.0
