fecha,ultima,apertura,maximo,minimo
20050103,36.4,36.4,36.4,36.4
20050104,36.1,36.2,36.2,36.1
20050106,36.0,36.0,36.0,36.0
20050110,34.8,34.8,34.8,34.8
20050112,35.0,35.0,35.0,35.0
20050114,34.75,34.75,35.0,34.75
20050117,34.75,34.75,34.75,34.75
20050118,35.0,35.25,35.25,35.0
20050119,34.8,34.8,34.8,34.8
20050120,35.0,34.8,35.0,34.8
20050124,34.1,34.1,34.1,34.1
20050125,33.7,34.0,34.0,33.7
20050127,33.4,33.4,33.4,33.4
20050128,33.3,34.0,34.0,33.3
20050131,33.3,33.2,33.3,33.2
20050202,33.0,33.0,33.0,33.0
20050204,34.75,34.75,34.75,34.75
20050207,34.75,34.75,34.75,34.65
20050209,35.05,35.0,35.05,35.0
20050210,35.2,35.2,35.2,35.2
20050211,35.9,35.9,35.9,35.9
20050215,36.5,36.0,36.5,35.9
20050216,35.8,36.5,36.5,35.8
20050217,36.0,36.0,36.0,36.0
20050218,36.0,36.0,36.0,36.0
20050225,37.0,37.0,37.0,37.0
20050228,37.0,37.0,37.0,37.0
20050303,36.0,36.0,36.0,36.0
20050304,36.0,36.0,36.0,36.0
20050307,36.0,36.0,36.0,36.0
20050308,37.0,37.0,37.0,37.0
20050309,37.0,37.0,37.0,37.0
20050310,36.6,37.0,37.0,36.5
20050311,36.7,36.6,36.7,36.6
20050314,36.7,36.7,36.7,36.7
20050316,37.0,36.7,37.0,36.7
20050321,35.8,35.8,35.8,35.8
20050322,36.0,36.0,36.0,36.0
20050323,35.5,35.5,35.5,35.5
20050330,35.0,35.0,35.5,35.0
20050401,36.0,36.0,36.0,36.0
20050405,34.9,34.95,34.95,34.9
20050408,34.9,34.9,34.9,34.9
20050411,35.1,35.1,35.1,35.1
20050412,34.9,35.0,35.0,34.9
20050420,33.85,33.85,33.85,33.85
20050421,34.0,33.85,34.0,33.85
20050425,34.25,34.25,34.25,34.25
20050426,34.0,34.1,34.1,34.0
20050429,33.0,33.0,33.0,33.0
20050502,33.6,33.6,33.6,33.6
20050503,34.2,33.9,34.2,33.9
20050506,34.2,34.2,34.2,34.2
20050509,34.0,34.0,34.0,34.0
20050511,34.0,34.0,34.0,34.0
20050516,33.85,33.85,33.85,33.85
20050517,33.25,33.25,33.25,33.25
20050518,34.6,33.25,34.6,33.25
20050519,34.0,34.0,34.0,34.0
20050524,33.5,33.25,33.5,33.25
20050530,33.5,33.5,33.5,33.5
20050531,33.0,33.0,33.45,33.0
20050601,33.2,33.2,33.2,33.2
20050602,33.4,33.4,33.4,33.4
20050607,32.5,32.5,32.5,32.5
20050608,32.5,32.5,32.5,32.5
20050609,32.0,32.0,32.0,32.0
20050610,32.4,32.4,32.4,32.4
20050613,32.4,32.4,32.4,32.4
20050615,32.4,32.4,32.4,32.4
20050621,32.0,32.0,32.0,32.0
20050701,32.5,32.5,32.6,32.5
20050706,32.5,32.0,32.5,32.0
20050713,33.9,33.9,33.9,33.9
20050714,34.05,33.9,34.05,33.9
