fecha,ultima,apertura,maximo,minimo
20101108,9.6,9.51,9.6,9.3
20101109,9.35,9.4,9.4,9.2
20101110,9.45,9.2,9.45,9.2
20101111,9.6,9.6,9.6,9.6
20101112,9.45,9.5,9.5,9.45
20101117,9.5,9.4,9.5,9.4
20101123,9.15,9.0,9.15,9.0
20101124,9.0,8.8,9.0,8.75
20101125,9.4,9.0,9.4,9.0
20101201,9.6,9.0,9.6,9.0
20101203,9.6,9.5,9.6,9.5
20101215,9.4,9.6,9.6,9.0
20101216,9.4,9.4,9.4,9.4
20101217,9.03,9.03,9.03,9.03
20101221,9.01,9.01,9.01,9.01
20101223,9.03,9.02,9.03,9.02
20101228,9.3,9.3,9.3,9.3
20101230,9.5,9.45,9.5,9.45
20110103,9.7,9.5,9.7,9.5
20110105,9.68,9.68,9.68,9.68
20110107,9.6,9.6,9.6,9.5
20110110,9.55,9.55,9.55,9.55
20110111,9.55,9.5,9.65,9.45
20110112,9.6,9.55,9.6,9.55
20110119,9.5,9.45,9.5,9.45
20110125,9.4,9.4,9.4,9.4
20110126,9.45,9.45,9.45,9.0
20110131,9.5,9.5,9.5,9.5
20110201,9.6,9.5,9.6,9.5
20110207,9.75,9.75,9.75,9.75
20110208,9.75,9.75,9.75,9.75
20110209,9.75,9.8,9.8,9.75
20110211,9.65,9.65,9.65,9.65
20110214,9.75,9.75,9.75,9.75
20110215,9.5,9.5,9.5,9.5
20110216,9.75,9.75,9.75,9.75
20110224,9.65,9.65,9.65,9.65
20110302,9.55,9.5,9.6,9.5
20110303,9.5,9.5,9.5,9.5
20110321,9.5,9.0,9.5,9.0
20110330,9.45,9.04,9.45,9.03
20110331,9.6,9.4,9.6,9.4
20110405,9.3,9.6,9.6,9.3
20110406,9.5,9.5,9.5,9.5
20110408,9.55,9.55,9.65,9.55
20110411,9.45,9.55,9.55,9.45
20110512,9.45,9.4,9.45,9.4
20110517,9.5,9.5,9.5,9.5
20110518,9.6,9.6,9.6,9.6
20110520,9.5,9.3,9.5,9.3
20110531,9.5,9.5,9.5,9.5
20110603,9.5,9.5,9.5,9.3
20110606,9.5,9.5,9.5,9.5
20110609,9.5,9.5,9.5,9.5
20110613,9.7,9.5,9.7,9.5
20110614,10.45,10.0,10.45,10.0
20110622,10.5,10.5,10.5,10.5
20110627,10.6,10.6,10.6,10.6
20110628,10.8,10.8,10.8,10.8
20110630,11.0,11.0,11.0,11.0
20110701,11.2,11.2,11.2,11.2
20110706,11.0,10.9,11.2,10.9
20110707,11.2,11.2,11.2,11.2
20110708,11.25,11.2,11.3,11.2
20110729,11.3,10.9,11.35,10.9
20110829,11.3,10.6,11.3,10.6
20110907,11.35,11.35,11.35,11.35
20111220,11.2,11.2,11.2,11.2
20111227,11.2,11.2,11.2,11.2
