fecha,ultima,apertura,maximo,minimo
20170808,4.19,4.8,5.0,4.16
20170809,3.94,4.3,4.35,3.94
20170810,3.97,3.96,4.04,3.85
20170811,3.93,4.0,4.14,3.9
20170814,3.98,4.01,4.1,3.96
20170815,3.98,4.0,4.0,3.96
20170816,3.98,3.96,4.0,3.96
20170817,3.96,4.05,4.05,3.96
20170818,3.97,3.96,4.0,3.96
20170822,3.89,3.96,3.96,3.89
20170823,3.97,3.96,4.09,3.9
20170824,4.07,4.0,4.1,3.95
20170825,4.08,4.1,4.1,4.05
20170828,4.04,4.11,4.13,4.04
20170829,3.99,4.04,4.04,3.98
20170830,4.0,4.0,4.0,3.97
20170831,3.99,4.0,4.03,3.97
20170901,3.98,4.02,4.02,3.96
20170904,4.0,3.98,4.0,3.97
20170905,3.97,3.98,4.0,3.97
20170906,3.98,4.0,4.0,3.97
20170907,3.99,4.0,4.0,3.96
20170908,3.94,3.99,3.99,3.94
20170911,3.96,3.95,3.99,3.91
20170912,3.96,3.95,3.97,3.93
20170913,3.98,3.93,4.0,3.93
20170914,3.96,4.0,4.0,3.95
20170915,3.96,4.0,4.0,3.95
20170918,3.98,3.99,3.99,3.95
20170919,3.95,3.99,3.99,3.94
20170920,4.0,3.97,4.0,3.95
20170921,3.97,3.96,4.02,3.96
20170922,3.98,4.0,4.0,3.96
20170925,3.96,3.98,3.99,3.95
20170926,3.96,3.93,3.98,3.93
20170927,3.91,3.97,3.97,3.9
20170928,3.9,3.93,3.95,3.89
20170929,3.87,3.91,3.92,3.86
20171002,3.92,3.88,3.94,3.88
20171003,3.94,3.93,3.95,3.92
20171004,3.97,3.98,3.98,3.9
20171005,4.04,3.99,4.1,3.99
20171006,4.36,4.09,4.43,4.04
20171009,4.45,4.43,4.53,4.42
20171010,4.42,4.53,4.53,4.32
20171011,4.39,4.44,4.46,4.32
20171012,4.39,4.44,4.49,4.37
20171013,4.36,4.41,4.41,4.33
20171017,4.33,4.36,4.39,4.21
20171018,4.25,4.37,4.37,4.23
20171019,4.45,4.26,4.53,4.26
20171020,4.65,4.62,4.69,4.55
20171023,4.85,4.76,4.9,4.71
20171024,4.89,4.9,4.92,4.8
20171025,4.79,4.9,4.9,4.76
20171026,4.85,4.85,4.89,4.79
20171027,5.12,4.86,5.14,4.86
20171030,5.12,5.18,5.23,5.07
20171031,5.12,5.12,5.12,5.03
20171101,5.28,5.2,5.34,5.13
20171102,5.48,5.3,5.52,5.28
20171103,5.53,5.6,5.6,5.43
20171107,5.57,5.7,5.75,5.54
20171108,5.35,5.53,5.6,5.35
20171109,5.48,5.35,5.59,5.28
20171110,5.31,5.53,5.53,5.26
20171113,5.35,5.33,5.45,5.2
20171114,5.2,5.4,5.6,5.18
20171115,5.3,5.15,5.35,5.1
20171116,5.35,5.37,5.41,5.32
20171117,5.23,5.46,5.46,5.2
20171121,5.3,5.3,5.4,5.22
20171122,5.4,5.43,5.44,5.35
20171123,5.69,5.46,5.72,5.42
20171124,5.95,5.8,5.98,5.75
20171127,5.84,5.99,6.07,5.82
20171128,5.89,5.93,5.98,5.85
20171129,5.81,5.89,6.0,5.8
20171130,5.82,5.8,5.9,5.76
20171201,5.78,5.9,5.9,5.77
20171204,5.85,5.8,5.87,5.8
20171205,5.89,5.89,5.95,5.82
20171206,6.14,5.95,6.18,5.75
20171207,6.32,6.21,6.4,6.21
20171211,6.41,6.35,6.49,6.26
20171212,6.39,6.5,6.5,6.36
20171213,6.25,6.45,6.45,6.23
20171214,6.12,6.25,6.27,6.09
20171215,6.14,6.12,6.29,6.12
20171218,6.15,6.2,6.26,6.15
20171219,6.44,6.25,6.49,6.24
20171220,6.8,6.5,6.8,6.5
20171221,6.95,6.9,7.01,6.8
20171222,6.97,7.0,7.05,6.9
20171226,7.23,6.95,7.3,6.95
20171227,7.31,7.33,7.4,7.26
20171228,7.52,7.38,7.53,7.36
20171229,7.55,7.6,7.72,7.52
20180102,7.78,7.7,7.9,7.55
20180103,7.68,7.9,7.96,7.26
20180104,7.6,7.7,7.75,7.31
20180105,7.49,7.6,7.62,7.4
20180108,7.6,7.5,7.62,7.45
20180109,7.74,7.7,7.9,7.7
20180110,7.7,7.77,7.77,7.5
20180111,7.78,7.75,7.85,7.71
20180112,8.02,7.9,8.14,7.8
20180115,8.45,8.1,8.5,8.1
20180116,8.78,8.6,8.86,8.4
20180117,9.39,8.86,9.39,8.86
20180118,9.85,9.48,9.89,9.47
20180119,10.0,10.05,10.4,9.62
20180122,9.8,9.99,10.3,9.7
20180123,9.9,9.85,9.97,9.62
20180124,9.84,9.95,9.97,9.82
20180125,9.66,9.92,9.94,9.62
20180126,9.56,9.75,9.85,9.5
20180129,9.39,9.59,9.59,9.17
20180130,9.05,9.45,9.45,9.01
20180131,9.36,9.1,9.4,9.0
20180201,9.12,9.5,9.5,9.11
20180202,8.65,9.0,9.0,8.6
20180205,7.96,8.5,8.54,7.95
20180206,8.14,7.84,8.2,7.55
20180207,8.34,8.4,8.64,8.22
